species,common_name,family,order,migratory.strategy,breeding.biome,bird.group,abundance.category,ts_source,firstyear,lastyear,year_est1,year_est2,popest,popse,Loss_mean,Loss_sd,Loss_lci95,Loss_med,Loss_uci95,total_proportional_change,annual rate of change
Tringa ochropus,Green Sandpiper,Scolopacidae,CHARADRIIFORMES,Long-distance migrant,Inland wetlands,shorebirds,Common,PECBMS,1980,2017,2013,2017,541373,7460,-100989.523,69683.39349,-244887.1803,-98097.23094,25874.72931,1.215338416,1.005284796
Larus canus,Mew Gull,Laridae,CHARADRIIFORMES,Short-distance migrant,Unclassified,waterbirds,Common,Article12,1980,2017,2014,2017,545454,28960.4514,133741.4105,48286.94822,40014.93974,133630.9918,227986.9373,0.800382152,0.994000073
Dryobates minor,Lesser Spotted Woodpecker,Picidae,PICIFORMES,Resident,Boreal and temperate forests,landbirds,Common,PECBMS,1984,2017,2014,2017,545813,65664.33333,77809.87971,156480.7669,-251615.314,82546.82024,376809.4859,0.865227301,0.995622849
Dryocopus martius,Black Woodpecker,Picidae,PICIFORMES,Resident,Boreal and temperate forests,landbirds,Common,PECBMS,1980,2017,2014,2017,548608,42648.33333,-143743.9081,67861.68711,-288608.8486,-140350.113,-21662.18288,1.336867244,1.007877596
Accipiter nisus,Eurasian Sparrowhawk,Accipitridae,ACCIPITRIFORMES,Partial migrant within Europe,Unclassified,landbirds,Common,PECBMS,1980,2017,2014,2017,550985,18044.33333,40247.07585,81824.24098,-128096.8238,42092.61984,195185.5933,0.925142587,0.997899307
Pluvialis apricaria,Eurasian Golden Plover,Charadriidae,CHARADRIIFORMES,Short-distance migrant,"Tundra, mires and moorland",shorebirds,Common,PECBMS,1981,2017,2013,2017,553296,6360,-30423.28145,105324.9273,-253072.1039,-24575.86642,157354.8951,1.03952273,1.001077294
Anas crecca,Common Teal,Anatidae,ANSERIFORMES,Partial migrant within Europe,Inland wetlands,waterfowl,Common,Article12,1980,2017,2014,2017,599023,28121.57645,162440.9335,53141.15592,59391.90265,162293.3439,268881.1128,0.785010182,0.993479229
Alectoris chukar,Chukar,Phasianidae,GALLIFORMES,Resident,"mediterranean forest, shrubland and rocky habitats",landbirds,Common,Article12,1980,2017,2015,2017,623407,23064.6303,44206.76836,41101.13364,-36013.1948,43725.77728,124390.257,0.932001998,0.998098558
Actitis hypoleucos,Common Sandpiper,Scolopacidae,CHARADRIIFORMES,Long-distance migrant,Inland wetlands,shorebirds,Common,PECBMS,1980,2017,2014,2017,626189,5275.333333,402950.5611,88730.79806,228070.6741,403655.5306,574590.2605,0.603920822,0.98646241
Larus fuscus,Lesser Black-backed Gull,Laridae,CHARADRIIFORMES,Short-distance migrant,Marine,waterbirds,Common,Article12,1980,2017,2014,2017,646696,10684.04348,-482261.0197,20028.13713,-521794.5701,-482090.6616,-443596.8982,3.291302204,1.032720772
Cyanecula svecica,Bluethroat,Muscicapidae,PASSERIFORMES,Long-distance migrant,"Tundra, mires and moorland",landbirds,Common,PECBMS,1981,2017,2014,2017,712609,8297,1253211.129,172423.742,931838.1616,1249069.662,1601361.27,0.360450196,0.972053451
Morus bassanus,Northern Gannet,Sulidae,SULIFORMES,Short-distance migrant,Marine,waterbirds,Common,Article12,1980,2017,2014,2016,721624,6699.951307,-423470.3497,11462.82861,-446121.1274,-423307.7372,-401203.0672,2.276394726,1.022481219
Falco tinnunculus,Common Kestrel,Falconidae,FALCONIFORMES,Partial migrant within Europe,agricultural and grassland,landbirds,Common,PECBMS,1980,2017,2014,2017,754100,38784,211514.693,132852.9997,-56429.506,214539.4628,461774.9588,0.781694223,0.993365575
Fulmarus glacialis,Northern Fulmar,Procellariidae,PROCELLARIIFORMES,Partial migrant within Europe,Marine,waterbirds,Common,Article12,1980,2017,2015,2016,768720,251282.6458,122619.3158,485346.36,-1011024.378,158998.4624,956372.4838,0.787344933,0.993558972
Emberiza melanocephala,Black-headed Bunting,Emberizidae,PASSERIFORMES,Long-distance migrant,Unclassified,landbirds,Common,PECBMS,2005,2017,2014,2017,793381,93142.33333,154873.5191,41114.33294,79199.6902,152830.5876,239697.8024,0.834890347,0.985074598
