study_id,participant_id,phase,condition,hit,fa
2,052,pre-conditioning,CSp,0.47,0.33
2,053,conditioning,CSm,0.97,0.48
2,053,conditioning,CSp,0.67,0.09
2,053,post-conditioning,CSm,0.77,0.48
2,053,post-conditioning,CSp,0.37,0.09
2,053,pre-conditioning,CSm,0.77,0.48
2,053,pre-conditioning,CSp,0.43,0.09
2,054,conditioning,CSm,0.7,0.32
2,054,conditioning,CSp,0.87,0.28
2,054,post-conditioning,CSm,0.6,0.32
2,054,post-conditioning,CSp,0.8,0.28
2,054,pre-conditioning,CSm,0.73,0.32
2,054,pre-conditioning,CSp,0.93,0.28
2,055,conditioning,CSm,0.5,0.18
2,055,conditioning,CSp,0.93,0.41
2,055,post-conditioning,CSm,0.37,0.18
2,055,post-conditioning,CSp,0.7,0.41
2,055,pre-conditioning,CSm,0.53,0.18
2,055,pre-conditioning,CSp,0.8,0.41
2,056,conditioning,CSm,0.9,0.26
2,056,conditioning,CSp,0.83,0.23
2,056,post-conditioning,CSm,0.43,0.26
2,056,post-conditioning,CSp,0.57,0.23
2,056,pre-conditioning,CSm,0.7,0.26
2,056,pre-conditioning,CSp,0.63,0.23
2,057,conditioning,CSm,0.53,0.14
2,057,conditioning,CSp,0.7,0.13
2,057,post-conditioning,CSm,0.5,0.14
2,057,post-conditioning,CSp,0.5,0.13
2,057,pre-conditioning,CSm,0.67,0.14
2,057,pre-conditioning,CSp,0.7,0.13
2,058,conditioning,CSm,0.47,0.17
2,058,conditioning,CSp,0.77,0.59
2,058,post-conditioning,CSm,0.37,0.17
2,058,post-conditioning,CSp,0.6,0.59
2,058,pre-conditioning,CSm,0.5,0.17
2,058,pre-conditioning,CSp,0.73,0.59
2,059,conditioning,CSm,0.6,0.54
2,059,conditioning,CSp,0.3,0.36
2,059,post-conditioning,CSm,0.67,0.54
2,059,post-conditioning,CSp,0.37,0.36
2,059,pre-conditioning,CSm,0.63,0.54
2,059,pre-conditioning,CSp,0.47,0.36
2,060,conditioning,CSm,0.43,0.21
2,060,conditioning,CSp,0.6,0.21
2,060,post-conditioning,CSm,0.27,0.21
2,060,post-conditioning,CSp,0.53,0.21
2,060,pre-conditioning,CSm,0.5,0.21
2,060,pre-conditioning,CSp,0.43,0.21
2,061,conditioning,CSm,0.5,0.1
2,061,conditioning,CSp,0.97,0.27
2,061,post-conditioning,CSm,0.43,0.1
2,061,post-conditioning,CSp,0.6,0.27
2,061,pre-conditioning,CSm,0.63,0.1
2,061,pre-conditioning,CSp,0.8,0.27
2,062,conditioning,CSm,0.9,0.22
2,062,conditioning,CSp,0.73,0.16
2,062,post-conditioning,CSm,0.43,0.22
2,062,post-conditioning,CSp,0.43,0.16
2,062,pre-conditioning,CSm,0.73,0.22
2,062,pre-conditioning,CSp,0.53,0.16
2,064,conditioning,CSm,0.47,0.26
2,064,conditioning,CSp,0.87,0.42
2,064,post-conditioning,CSm,0.23,0.26
2,064,post-conditioning,CSp,0.57,0.42
2,064,pre-conditioning,CSm,0.63,0.26
2,064,pre-conditioning,CSp,0.73,0.42
2,065,conditioning,CSm,0.67,0.54
2,065,conditioning,CSp,0.73,0.39
2,065,post-conditioning,CSm,0.73,0.54
2,065,post-conditioning,CSp,0.63,0.39
2,065,pre-conditioning,CSm,0.77,0.54
2,065,pre-conditioning,CSp,0.53,0.39
2,066,conditioning,CSm,0.77,0.2
2,066,conditioning,CSp,0.47,0.17
2,066,post-conditioning,CSm,0.4,0.2
2,066,post-conditioning,CSp,0.7,0.17
2,066,pre-conditioning,CSm,0.63,0.2
2,066,pre-conditioning,CSp,0.73,0.17
2,067,conditioning,CSm,0.3,0.1
2,067,conditioning,CSp,0.57,0.2
2,067,post-conditioning,CSm,0.23,0.1
2,067,post-conditioning,CSp,0.4,0.2
2,067,pre-conditioning,CSm,0.43,0.1
2,067,pre-conditioning,CSp,0.57,0.2
2,068,conditioning,CSm,0.7,0.59
2,068,conditioning,CSp,0.7,0.41
2,068,post-conditioning,CSm,0.8,0.59
2,068,post-conditioning,CSp,0.73,0.41
2,068,pre-conditioning,CSm,0.83,0.59
2,068,pre-conditioning,CSp,0.8,0.41
2,069,conditioning,CSm,0.9,0.49
2,069,conditioning,CSp,0.77,0.2
2,069,post-conditioning,CSm,0.77,0.49
2,069,post-conditioning,CSp,0.57,0.2
2,069,pre-conditioning,CSm,0.87,0.49
2,069,pre-conditioning,CSp,0.63,0.2
2,070,conditioning,CSm,0.5,0.19
2,070,conditioning,CSp,0.47,0.23
2,070,post-conditioning,CSm,0.6,0.19
2,070,post-conditioning,CSp,0.53,0.23
2,070,pre-conditioning,CSm,0.43,0.19
2,070,pre-conditioning,CSp,0.53,0.23
2,071,conditioning,CSm,0.8,0.29
2,071,conditioning,CSp,0.9,0.2
2,071,post-conditioning,CSm,0.53,0.29
2,071,post-conditioning,CSp,0.57,0.2
2,071,pre-conditioning,CSm,0.6,0.29
2,071,pre-conditioning,CSp,0.67,0.2
2,072,conditioning,CSm,0.87,0.61
2,072,conditioning,CSp,0.5,0.26
2,072,post-conditioning,CSm,0.77,0.61
2,072,post-conditioning,CSp,0.17,0.26
2,072,pre-conditioning,CSm,0.8,0.61
2,072,pre-conditioning,CSp,0.37,0.26
2,073,conditioning,CSm,0.5,0.16
2,073,conditioning,CSp,1,0.29
2,073,post-conditioning,CSm,0.53,0.16
2,073,post-conditioning,CSp,0.73,0.29
2,073,pre-conditioning,CSm,0.47,0.16
2,073,pre-conditioning,CSp,0.8,0.29
2,074,conditioning,CSm,0.47,0.29
2,074,conditioning,CSp,0.43,0.29
2,074,post-conditioning,CSm,0.5,0.29
2,074,post-conditioning,CSp,0.5,0.29
2,074,pre-conditioning,CSm,0.67,0.29
2,074,pre-conditioning,CSp,0.63,0.29
2,075,conditioning,CSm,0.63,0.16
2,075,conditioning,CSp,0.7,0.13
2,075,post-conditioning,CSm,0.6,0.16
2,075,post-conditioning,CSp,0.63,0.13
2,075,pre-conditioning,CSm,0.7,0.16
2,075,pre-conditioning,CSp,0.63,0.13
2,078,conditioning,CSm,0.47,0.21
2,078,conditioning,CSp,0.57,0.28
2,078,post-conditioning,CSm,0.43,0.21
2,078,post-conditioning,CSp,0.5,0.28
2,078,pre-conditioning,CSm,0.67,0.21
2,078,pre-conditioning,CSp,0.6,0.28
2,079,conditioning,CSm,0.83,0.31
2,079,conditioning,CSp,0.8,0.31
2,079,post-conditioning,CSm,0.77,0.31
2,079,post-conditioning,CSp,0.77,0.31
2,079,pre-conditioning,CSm,0.87,0.31
2,079,pre-conditioning,CSp,0.97,0.31
2,080,conditioning,CSm,0.47,0.06
2,080,conditioning,CSp,0.43,0.08
2,080,post-conditioning,CSm,0.4,0.06
2,080,post-conditioning,CSp,0.47,0.08
2,080,pre-conditioning,CSm,0.47,0.06
2,080,pre-conditioning,CSp,0.5,0.08
2,081,conditioning,CSm,0.77,0.46
2,081,conditioning,CSp,0.93,0.27
2,081,post-conditioning,CSm,0.77,0.46
2,081,post-conditioning,CSp,0.67,0.27
2,081,pre-conditioning,CSm,0.83,0.46
2,081,pre-conditioning,CSp,0.97,0.27
2,082,conditioning,CSm,0.7,0.38
2,082,conditioning,CSp,0.77,0.17
2,082,post-conditioning,CSm,0.7,0.38
2,082,post-conditioning,CSp,0.57,0.17
2,082,pre-conditioning,CSm,0.77,0.38
2,082,pre-conditioning,CSp,0.67,0.17
2,083,conditioning,CSm,0.43,0.21
2,083,conditioning,CSp,0.83,0.42
2,083,post-conditioning,CSm,0.23,0.21
2,083,post-conditioning,CSp,0.53,0.42
2,083,pre-conditioning,CSm,0.6,0.21
2,083,pre-conditioning,CSp,0.6,0.42
2,084,conditioning,CSm,0.6,0.12
2,084,conditioning,CSp,0.77,0.17
2,084,post-conditioning,CSm,0.5,0.12
2,084,post-conditioning,CSp,0.6,0.17
2,084,pre-conditioning,CSm,0.6,0.12
2,084,pre-conditioning,CSp,0.67,0.17
