title,type,creator,year
Portretten van de courtisanes Maria van Straatsburg en slagersvrouw Catrijn van Praag,prent,"Passe, Crispijn van de (II)",1635
"Portretten van twee onbekende vrouwen, beiden als herderin",prent,"Passe, Crispijn van de (II)",1640
Hemelbed,prent,anonymous,1658
Opdracht bij een serie ontwerpen voor voorwerpen uit de edelsmeedkunst,albumblad,"Pasquier, Jacques Jean",1748
Ontwerp voor een opdienschaal met bijbehorende standaard,albumblad,"Pasquier, Jacques Jean",1748
"Toneel met keizer Rudolf II, 1594",prent,anonymous,1594
Ontmoeting van Karel I en Maria de' Medici in Middle Mead,prent,anonymous,1639
Band- en rolwerk met gevleugelde kinderen om een cartouche,prent,"Brentel, Friedrich",1618
Gezicht op de kathedraal van Toledo,prent,"Berge, Pieter van den",1694
"Verovering van Gibraltar door een Engels-Nederlandse vloot, 1704",prent,"Schenk, Pieter (I)",1707
Vooraanzicht van de kerk en het klooster van San Lorenzo,prent,"Falck, Jeremias",1665
Portret van Jacques Léopold de la Tour d'Auvergne,prent,"Cochin, Charles Nicolas (II)",1756
Portret van Carlo Goldoni,prent,"Le Beau, Pierre Adrien",1787
Graaf Godfried III met de Bult,prent,"Goltzius, Hendrick",1586
"Afkondiging van het Eeuwig Edict, 1577",prent,"Frisius, Simon",1613
"Cabinet des Modes ou les Modes Nouvelles, 15 Septembre 1786, pl. III",prent,"Duhamel, A.B.",1786
Loflied van Simeon,prent,"Rijn, Rembrandt van",1637
Oude man met een klaverblad op zijn jas,prent,"Bol, Ferdinand",1626
Schrijfvoorbeeld: Ghy sondigt als 't geen Menschen sien (...),prent,"Boers, Bastiaan",1660
Hoek van het San Marcoplein met het Dogepaleis en de zuil met de Leeuw van Venetië,albumblad,"Visentini, Antonio",1742
"Très Parisien, 1923, No 1: Creations ""LA TUNIQUE RADIAH""",modeprent,anonymous,1923
"Très Parisien, 1923, No. 3: Tissus de chez KISMETT... Fleurs d'Amandiers",modeprent,"Dory, J.",1923
"Très Parisien, 1923, No 6: 6.- CRICRI. - Pour le soir, cette robe...",modeprent,anonymous,1923
Journal der Moden 1786. T. IX,tijdschrift,anonymous,1786
"Journal des dames et des modes, editie Frankfurt 1 juillet 1806, Costume Parisien (27)",modeprent,anonymous,1806
Zes veelvlakken met een hexaëder als uitgangspunt,boekillustratie,"Amman, Jost",1568
Porta Magna van het Venetiaans Arsenaal,albumblad,anonymous,1610
Japanse koophandel; Hof van de koning van de Calaminhans,prent,"Hooghe, Romeyn de",1682
"Wijding van de St.-Thomaskerk te Utrecht, 7e eeuw",prent,"Sluyter, Hendrik D. Jzn",1865
"Aankomst van Abel Tasman in Nieuw-Zeeland, 1642-1643",prent,"Rennefeld, Johann Heinrich Maria Hubert",1865
Portret van een onbekende zittende Japanse vrouw met thee en tabak,fotomechanische afdruk,anonymous,1882
Portret van keizer Philippikos,prent,"Gietleughen, Joos",1557
Portret van keizer Balbinus,prent,"Gietleughen, Joos",1557
Portret van keizer Anastasius I,prent,"Gietleughen, Joos",1557
"Journal des Dames et des Modes, Costume Parisien, 1805, An 13 (640) Colerettes et Manches à la Médicis",modeprent,"Vernet, Horace",1805
Twee boothuizen en een schuur met waterrad,prent,"Wagenbauer, Max Josef",1823
Medaillon,ontwerptekening,Firma Feuchère,1830
Eijergatje,prent,"Vinne, Isaac Vincentsz. van der",1731
"Le Moniteur de la Mode 1865, nr. 788",NA,"David, Jules (1808-1892)",1865
Giovanni de' Medici gaat naar het conclaaf,prent,"Bartoli, Pietro Sante",1645
"Toneel met personificatie van de Kracht (Fortitudo), 1578",prent,"Leest, Antoni van",1578
"Soldaat die zijn spies met beide handen horizontaal boven zijn rechterschouder tilt (nr. 27), ca. 1600",prent,"Gheyn, Jacob de (II)",1597
"Soldaat die de pan van zijn musket sluit (nr. 18), ca. 1600",prent,"Gheyn, Jacob de (II)",1597
"Soldaat die zijn spies met zijn linkerhand boven zijn linkerschouder draagt, zijn rechterhand uitgestrekt naar voren (nr. 28), ca. 1600",prent,"Gheyn, Jacob de (II)",1597
"Soldaat die zijn musket met beide handen rechtop voor zich vasthoudt (nr. 21), ca. 1600",prent,"Gheyn, Jacob de (II)",1597
"Soldaat die de pan van zijn musket sluit (nr. 18), ca. 1600",prent,"Gheyn, Jacob de (II)",1597
"Soldaat die de pan van zijn roer sluit (nr. 17), ca. 1600",prent,"Gheyn, Jacob de (II)",1597
"Soldaat met een musket die zijn rechterhand naar het uiteinde van zijn laadstok schuift (nr. 29), ca. 1600",prent,"Gheyn, Jacob de (II)",1597
"Blazoen van De Bloeiende Wijngaard (Berchem), 1561",prent,anonymous,1561
"Beleg van Oostende: verovering van de forten in de polder door het Spaanse leger, 1603",prent,anonymous,1603
"Spotprent op Cromwell, 1656",pamflet,anonymous,1656
"Vier vrouwen gekleed volgens de Romeinse mode, ca. 1580",prent,anonymous,1872
"Titelblad van Historisch verhael, band 3 (dl. 9), 1625",prent,"Scheyndel, Gillis van (I)",1625
"De triomferende Harlekijn en de Actionisten, 1720",prent,anonymous,1720
"Orpheus wordt de welvaart van Amsterdam getoond, 1625",prent,anonymous,1625
"Kaart van het strijdtoneel in Lombardije, 1701-1713",prent,anonymous,1701
"Plan van het beleg van Gent, 1708",prent,"Call, Pieter van (II)",1708
"Serietitel voor de groep van vaandels en standaarden veroverd in de slag bij Ekeren, 1703",tekening,anonymous,1713
"Frans vaandel veroverd in de slag bij Oudenaarde, 1708",tekening,anonymous,1713
"Slag bij Oudenaarde, 1708",prent,"Corvinus, Johann August",1712
"Beleg van Tournai, 1709",prent,"Harrewijn, Jacobus",1709
"Slag bij Ekeren, 1703",prent,"Harrewijn, Jacobus",1703
"Uitslag van de windnegotie, 1720",prent,anonymous,1720
"Toverkaart of geneesmiddel voor de windbreuken, 1720",prent,anonymous,1720
"De lachende Aesopus bij het koolmaal bij het afscheid van de Actieapen, 1720",prent,anonymous,1720
"De dwerg Robert von Parukenfeldt, ca. 1710",prent,"Engelbrecht, Martin",1705
"De dwerg Cornutus Foxhornius als hoorndrager, 1716",prent,"Sassen, Joost van",1716
"De dwerg Doctor Rocus Tabacius, 1720",prent,"Sassen, Joost van",1716
"De Franse dwerg Over-seese Politike Draayster, 1720",prent,"Sassen, Joost van",1718
"Dansend dwergenpaar, 1720",prent,"Folkema, Jacob",1718
"Lijkstatie van Willem IV, 1752, plaat 36",prent,"Punt, Jan",1754
Kaart van Marokko,prent,anonymous,1700
Kaart van de meierij van 's-Hertogenbosch,prent,anonymous,1700
"Ontzet van Turijn, 1706",prent,anonymous,1735
Plattegrond van Lérida,prent,anonymous,1735
Portret van E. Adan,prent,"De La Rue, J.F.",1787
Spotprent op E.M. de Cock,prent,anonymous,1575
"Comité van Remotie, 1795",prent,"Gillray, James",1795
"De Vernietiging van de Oude Constitutie, decoratie op de Botermarkt, 1795",prent,anonymous,1795
Man en vrouw van Zuid-Beveland,prent,"Portman, Ludwig Gottlieb",1804
Brusselse boerinnen,prent,"Senus, Willem van",1815
Invaliden,prent,"Sluyter, Dirk",1826
"Haven van Middelburg, ca. 1790",prent,"Bendorp, Carel Frederik (I)",1786
"Ruggengraat van de walvis, 1827",prent,Bossuet,1828
Vaandel van het Korps Jagers der Utr: H. Sch.,prent,"Verhoesen, Albertus",1835
Marketentster van het Korps Jagers,prent,"Verhoesen, Albertus",1835
Standaard-drager van 't Reg.t Lanciers,prent,"Verhoesen, Albertus",1835
"Illuminatie te Scheveningen, 1874",prent,"Méaulle, Fortune Louis",1874
"Historische optocht door studenten van de Groningse Hogeschool, 1850 (plaat 2)",prent,"Weijer, Johannes Hermanus van de",1850
"Maskerade van de Leidse studenten, 1850 (plaat 12)",prent,"Last, Carel Christiaan Antony",1850
"Klederdracht van Alblasserwaard in Zuid-Holland, 1857",prent,"Vries, Ruurt de",1857
"Uniform van gepensioneerde officieren, 1845",prent,"Magnenat, Willem Charles",1845
"Maskerade van de Leidse studenten, 1865 (plaat 8)",prent,"Constant Rebecque, Jan Daniël Cornelis Carel Willem baron de",1865
"Optocht te Haarlem, 1872 (plaat 11)",prent,Emrik & Binger,1872
Twee gedenkpenningen van de oude beurs van Hendrik de Keyser te Amsterdam,prent,"Steuerwald, Jan Dam",1846
Portret van een proefpersoon tijdens elektrostimulatie: 'un vieillard',foto,"Duchenne, Guillaume Benjamin Amand",1860
Beeld van 'Laocoon de Bruxelles',foto,"Duchenne, Guillaume Benjamin Amand",1860
Balustrade op het stadhuis in Delft,foto,anonymous,1900
Zeilschepen in de haven van Chioggia,foto,Neue Photographische Gesellschaft,1900
De triomfboog van de Duitse natien,prent,"Coecke van Aelst, Pieter (I)",1549
Zes gipsen afgietsels van panelen van profeten van het reliekschrijn van de Drie Koningen uit de Dom van Keulen,albumblad,anonymous,1875
Drie gipsen afgietsels,albumblad,anonymous,1875
Drie gipsen afgietsels van reliëfs door Quellinus,albumblad,anonymous,1875
"Frank [Frans] Hals, The Humourist",foto,"Delamotte, Philip Henry",1855
"Burgerzaal, Paleis op de Dam, Amsterdam",fotomechanisch procedé,anonymous,1899
Portret van Cornelis Springer,fotomechanisch procedé,anonymous,1875
Interieur van een woonhuis (Syrie/Intérieur de Maison - Damas),foto,Bonfils,1872
"De begrafenisstoet van Frederik Hendrik, plaat nr. 13.",prent,"Nolpe, Pieter",1651
Lap batist met randen kantborduurwerk met vogels en zoogdieren,lap,anonymous,1900
"Fragment (voet) met rode scherf, in sgraffito-techniek een naar links gewende mannenkop met okerkleurig krullend haar, groene gestippelde achtergrond",scherf,anonymous,1200
"Fragment (voet) met rode scherf, in sgraffito-techniek een Jezus-monogram in oker op groene, vertikaal gestippelde grond",scherf,anonymous,1200
Peervormige schenkkan van tin met deksel,kan,anonymous,1725
Melkkan,melkkan,Weesper porseleinfabriek,1759
"Onderschotel met bladslingers, bloemen en strooibloemen.",schotel,Manufactuur Oud-Loosdrecht,1774
"Theepot, beschilderd met bloemboeketten",theepot,Manufactuur Oud-Loosdrecht,1778
"Schotel, beschilderd met korenbloemen",schotel,Manufactuur Oud-Loosdrecht,1784
Kop,kop,"Den Haag, Porseleinfabriek",1777
Kandelaar,kandelaar,"Simons, Francois Marcus",1803
Klok,muziekinstrument,"Hemony, François",1663
Trommelspit met hoenders van zilver,miniatuur (poppenhuisgoed),"Jansen, Wessel",1676
"Pop, voorstellende de keukenmeid",speelgoed,anonymous,1676
Aanrecht van without,aanrechtbank,anonymous,1676
"Rol linnen, damastweefsel met pellenpatroon",rol,anonymous,1600
"Hemd van linnen, kraag en manchet afgezet met kloskant",hemd,anonymous,1676
Botervat van esdoornhout,vat,anonymous,1676
"Bord, gedraaid van hout, beschilderd in blauw op wit met bloemmotieven",bord (vaatwerk),anonymous,1676
Vaas,decoratief object,Meissener Porzellan Manufaktur,1750
"Vogel, lichtbruin met zwarte vlekken",dierfiguur,anonymous,1700
"Kelkglas, met bolle kelk op stam met nodus",kelkglas,anonymous,1800
"Kop met oor, beschilderd met bloem in wit, rood en groen",miniatuur (poppenhuisgoed),anonymous,1800
Bezem van zilver,miniatuur (poppenhuisgoed),"Somerwil, Pieter van (I)",1738
Poppenhuis van Petronella Dunois,meubilair,anonymous,1676
Onderrok van tijk met bruine strepen,dameskleding,anonymous,1850
Blaker,blaker,Manufactuur Oud-Loosdrecht,1774
Hostiedoos,pyxide,anonymous,1770
Snuiterschaar op drie balusterpootjes,snuiter,"Haggenauer, Johann Balthasar",1751
Toiletspiegel,miniatuur,anonymous,1700
Armstoel,armstoel,anonymous,1650
Horloge van zilver,sieraad,anonymous,1800
Horloge in sirihdoos,sieraad,anonymous,1750
Arm van een kaarsenkroon in drie hoogten,kroonluchter,anonymous,1625
Soepbord uit het Rode Draken-servies,soepbord,Meissener Porzellan Manufaktur,1730
Schoudermantel of sortie van satijn versierd met gaze-de-lisse en voorzien van een kanten kraag rond de opstaande boord,dameskleding,anonymous,1894
