Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
David 'Doctor' Martinez,David Martinez,Doctor,5.5,135.0,Orthodox,13,1,0,False,2.0,0.5,38.0,0.0,0.0,37.5,0.52,0.45,0.56,0.9,0.48,0.5,0.36,0.0,0.0,Bantamweight,Male,Hybrid
Adriano 'No Nickname' Martins,Adriano Martins,No Nickname,5.1,155.0,Southpaw,28,9,0,False,2.0,0.29,15.57,0.14,0.29,53.71,0.45,0.36,0.32,0.8,0.45,0.0,0.25,0.29,0.0,Lightweight,Male,Hybrid
Lucas 'Mineiro' Martins,Lucas Martins,Mineiro,6.0,145.0,Southpaw,19,3,0,False,2.29,0.57,32.0,0.57,0.29,10.43,0.36,0.3,0.69,0.7,0.36,0.18,0.36,0.29,0.0,Featherweight,Male,Hybrid
Bristol 'No Nickname' Marunde,Bristol Marunde,No Nickname,6.1,170.0,Orthodox,16,10,0,False,2.0,1.0,33.0,0.0,0.0,72.5,0.12,0.11,0.5,0.5,0.12,0.22,0.0,0.0,0.0,Middleweight,Male,No Clear Style
Mike 'The Master of Disaster' Massenzio,Mike Massenzio,The Master of Disaster,6.2,185.0,Southpaw,13,9,0,False,2.0,0.14,20.86,1.14,1.14,147.29,0.38,0.29,0.46,0.43,0.27,0.36,0.14,0.71,0.0,Middleweight,Male,Wrestler
Jorge 'Gamebred' Masvidal,Jorge Masvidal,Gamebred,5.11,170.0,Orthodox,35,17,0,False,2.82,0.41,43.5,0.68,0.14,118.0,0.53,0.44,0.72,0.7,0.48,0.64,0.63,0.32,0.05,Welterweight,Male,Striker
Tateki 'Tech' Matsuda,Tateki Matsuda,Tech,5.7,125.0,Orthodox,13,8,0,False,3.0,0.5,49.5,1.0,0.5,58.0,0.34,0.28,0.46,0.72,0.33,0.44,0.5,0.0,0.5,Flyweight,Male,Hybrid
Jean 'No Nickname' Matsumoto,Jean Matsumoto,No Nickname,5.6,135.0,Orthodox,17,1,0,False,2.75,0.0,65.75,6.0,0.0,162.25,0.45,0.36,0.58,0.77,0.43,0.74,0.25,0.75,0.25,Bantamweight,Male,Striker
Jake 'The Celtic Kid' Matthews,Jake Matthews,The Celtic Kid,5.11,170.0,Orthodox,22,7,0,False,2.48,0.26,35.26,1.13,0.57,165.35,0.43,0.38,0.61,0.63,0.38,0.62,0.47,0.57,0.17,Welterweight,Male,Striker
Connor 'The Controller' Matthews,Connor Matthews,The Controller,5.8,145.0,Switch,7,4,0,False,1.67,0.33,28.0,0.33,0.0,29.0,0.33,0.22,0.17,0.55,0.33,0.33,0.22,0.0,0.0,Featherweight,Male,Hybrid
John 'No Nickname' Matua,John Matua,No Nickname,6.2,400.0,Orthodox,1,4,0,False,1.0,0.0,0.0,0.0,0.0,123.13869442198869,0.44064717348927873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Open Weight,Male,No Clear Style
Vladimir 'The Janitor' Matyushenko,Vladimir Matyushenko,The Janitor,6.0,205.0,Orthodox,27,8,0,False,2.0,0.17,15.75,1.42,0.08,175.08,0.45,0.42,0.41,0.39,0.33,0.4,0.47,0.08,0.08,Light Heavyweight,Male,Hybrid
Miranda 'Fear The' Maverick,Miranda Maverick,Fear The,5.3,125.0,Southpaw,17,6,0,False,2.75,0.0,36.25,2.08,0.5,241.17,0.44,0.32,0.72,0.84,0.4,0.62,0.31,0.33,0.17,Women's Flyweight,Female,Striker
Nick 'No Nickname' Maximov,Nick Maximov,No Nickname,6.0,185.0,Southpaw,8,2,0,False,2.5,0.0,39.25,2.25,0.5,272.5,0.42,0.37,0.8,0.62,0.37,0.4,0.33,0.25,0.75,Middleweight,Male,Striker
Jack 'The Outlaw' May,Jack May,The Outlaw,6.8,255.0,Switch,9,3,0,False,2.0,0.0,12.5,0.5,0.0,55.5,0.58,0.39,0.81,0.75,0.46,0.32,0.5,0.0,0.5,Heavyweight,Male,Hybrid
Don'Tale 'Lord Kong' Mayes,Don'Tale Mayes,Lord Kong,6.6,260.0,Orthodox,11,9,0,False,2.67,0.08,35.0,0.67,0.08,98.08,0.42,0.32,0.62,0.67,0.4,0.56,0.1,0.0,0.0,Heavyweight,Male,Hybrid
Gray 'No Nickname' Maynard,Gray Maynard,No Nickname,5.9,155.0,Orthodox,13,7,1,False,2.8,0.6,32.5,2.2,0.65,223.95,0.38,0.33,0.67,0.36,0.33,0.57,0.47,0.6,0.2,Lightweight,Male,Wrestler
Gina 'Danger' Mazany,Gina Mazany,Danger,5.6,125.0,Southpaw,7,6,0,False,2.0,0.25,30.5,1.25,0.12,196.88,0.47,0.36,0.6,0.64,0.39,0.66,0.31,0.12,0.0,Women's Flyweight,Female,Striker
Sabina 'Colombian Queen' Mazo,Sabina Mazo,Colombian Queen,5.7,125.0,Orthodox,9,4,0,False,2.86,0.29,84.14,1.29,0.43,117.14,0.42,0.31,0.67,0.77,0.41,0.53,0.26,0.14,0.0,Women's Flyweight,Female,Striker
Michael 'No Nickname' McBride,Michael McBride,No Nickname,6.1,155.0,Orthodox,8,3,0,False,2.5,0.0,49.5,1.5,1.0,43.5,0.5,0.42,0.5,0.86,0.5,0.19,0.57,1.0,0.5,Lightweight,Male,Striker
Ian 'Uncle Creepy' McCall,Ian McCall,Uncle Creepy,5.5,125.0,Orthodox,13,5,1,False,3.0,0.0,51.67,1.17,0.5,156.0,0.42,0.27,0.68,0.68,0.35,0.57,0.54,0.0,0.0,Flyweight,Male,Striker
Molly 'Meatball' McCann,Molly McCann,Meatball,5.4,115.0,Orthodox,14,8,0,False,2.21,0.14,52.86,2.14,0.64,75.5,0.49,0.4,0.73,0.83,0.47,0.52,0.45,0.36,0.07,Women's Strawweight,Female,Striker
Charles 'Chainsaw' McCarthy,Charles McCarthy,Chainsaw,5.1,185.0,Orthodox,10,5,0,False,1.33,0.0,1.0,1.0,1.0,88.0,0.08,0.03,0.33,0.33,0.06,0.33,0.0,1.0,0.0,Middleweight,Male,No Clear Style
Eric 'No Nickname' McConico,Eric McConico,No Nickname,6.0,185.0,Southpaw,10,3,1,False,2.5,0.0,18.0,1.5,0.0,96.0,0.37,0.26,0.44,0.8,0.34,0.26,0.0,0.0,0.0,Light Heavyweight,Male,Hybrid
Sean 'No Nickname' McCorkle,Sean McCorkle,No Nickname,6.7,265.0,Orthodox,17,7,0,False,1.33,0.0,9.33,1.0,1.33,88.67,0.34,0.31,0.33,0.0,0.17,0.0,0.5,1.33,0.0,Heavyweight,Male,No Clear Style
Kris 'Savage' McCray,Kris McCray,Savage,6.0,170.0,Orthodox,8,5,0,False,2.0,0.0,23.0,1.0,0.33,182.0,0.42,0.27,0.73,0.46,0.27,0.48,0.64,0.0,0.33,Welterweight,Male,Hybrid
Tamdan 'The Barncat' McCrory,Tamdan McCrory,The Barncat,6.4,185.0,Switch,14,5,0,False,2.0,0.11,14.78,1.22,1.11,187.22,0.48,0.4,0.69,0.42,0.41,0.42,0.36,1.22,0.44,Middleweight,Male,Wrestler
Justin 'The Insane One' McCully,Justin McCully,The Insane One,6.1,225.0,Orthodox,11,5,2,False,2.5,0.25,18.5,1.0,0.0,308.25,0.34,0.28,0.17,0.65,0.35,0.55,0.12,0.0,0.25,Heavyweight,Male,Hybrid
Robert 'Bubba' McDaniel,Robert McDaniel,Bubba,6.3,185.0,Southpaw,28,10,0,False,2.33,0.0,23.0,0.67,1.33,227.67,0.43,0.33,0.55,0.79,0.38,0.58,0.44,1.0,0.67,Middleweight,Male,Wrestler
Michael 'The Black Sniper' McDonald,Michael McDonald,The Black Sniper,5.11,205.0,Orthodox,1,1,0,False,2.11,0.44,20.67,0.78,0.56,46.67,0.42,0.38,0.63,0.49,0.39,0.26,0.51,0.78,0.0,Bantamweight,Male,Hybrid
Michael 'Mayday' McDonald,Michael McDonald,Mayday,5.9,135.0,Orthodox,17,4,0,False,2.11,0.44,20.67,0.78,0.56,46.67,0.42,0.38,0.63,0.49,0.39,0.26,0.51,0.78,0.0,Bantamweight,Male,Hybrid
Drew 'The Massacre' McFedries,Drew McFedries,The Massacre,6.0,185.0,Southpaw,12,7,0,False,1.11,0.67,12.0,0.22,0.11,6.89,0.55,0.56,0.44,0.32,0.42,0.5,0.57,0.11,0.0,Middleweight,Male,Hybrid
Gan 'The Giant' McGee,Gan McGee,The Giant,6.1,265.0,Orthodox,13,5,0,False,1.25,0.0,10.75,0.5,0.0,134.0,0.36,0.33,0.5,0.62,0.3,0.25,0.26,0.0,0.0,Heavyweight,Male,Hybrid
Court 'The Crusher' McGee,Court McGee,The Crusher,5.11,170.0,Orthodox,23,14,0,False,2.62,0.17,55.17,1.58,0.42,179.62,0.38,0.27,0.55,0.84,0.36,0.49,0.39,0.38,0.04,Welterweight,Male,Striker
Marcus 'The Maniac' McGhee,Marcus McGhee,The Maniac,5.8,135.0,Orthodox,10,2,0,False,2.2,0.2,38.8,0.2,0.0,34.6,0.47,0.42,0.56,0.7,0.46,0.51,0.28,0.2,0.0,Bantamweight,Male,Hybrid
Ryan 'The Kid' McGillivray,Ryan McGillivray,The Kid,5.11,170.0,Orthodox,12,0,1,False,3.0,0.0,33.0,5.0,0.0,0.0,0.2,0.2,0.67,0.0,0.2,0.0,1.0,0.0,0.0,Welterweight,Male,Wrestler
Conor 'The Notorious' McGregor,Conor McGregor,The Notorious,5.9,155.0,Southpaw,22,6,0,False,2.0,0.21,40.5,0.79,0.21,59.36,0.52,0.5,0.57,0.49,0.46,0.54,0.66,0.07,0.07,Welterweight,Male,Striker
Antonio 'Mandingo' McKee,Antonio McKee,Mandingo,5.8,155.0,Southpaw,29,6,2,False,3.0,0.0,25.0,1.0,0.0,168.0,0.45,0.33,0.89,1.0,0.39,0.8,0.67,0.0,1.0,Lightweight,Male,Striker
Rhys 'Skeletor' McKee,Rhys McKee,Skeletor,6.2,170.0,Orthodox,14,7,1,False,2.33,0.5,51.17,0.0,0.0,81.33,0.38,0.26,0.64,0.56,0.3,0.48,0.44,0.0,0.0,Welterweight,Male,Hybrid
