Full Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Roman Kopylov,No Nickname,6.0,185.0,75.0,Southpaw,14,4,0,False
Bruno Korea,No Nickname,5.6,135.0,65.0,Orthodox,7,3,0,False
Chungreng Koren,The Indian Rhino,,135.0,,Orthodox,7,1,0,False
Andrey Koreshkov,Spartan,6.0,170.0,,Orthodox,19,2,0,False
Josh Koscheck,No Nickname,5.1,170.0,73.0,Orthodox,17,11,0,False
Steven Koslow,Obi Won Shinobi The Pillow,5.7,125.0,69.0,Switch,6,1,0,False
Naoyuki Kotani,No Nickname,5.8,155.0,66.0,Southpaw,34,14,7,False
Ilya Kotau,No Nickname,,170.0,,Orthodox,1,2,0,False
Iouri Kotchkine,No Nickname,6.2,235.0,,Orthodox,7,4,1,False
Matt Kovacs,300,6.0,244.0,,Orthodox,12,16,0,False
Marcus Kowal,No Nickname,,135.0,,Orthodox,3,1,1,False
Karolina Kowalkiewicz,No Nickname,5.3,115.0,64.0,Orthodox,16,9,0,False
Steve Kozola,No Nickname,,155.0,,Orthodox,8,0,0,False
Derrick Krantz,D-Rock,5.1,170.0,72.0,Orthodox,22,12,0,False
James Krause,The,6.2,170.0,73.0,Orthodox,28,9,0,False
Pascal Krauss,Panzer,6.1,170.0,,Orthodox,11,2,0,False
Rene Kronvold,No Nickname,5.8,170.0,,Orthodox,5,1,0,False
Kaynan Kruschewsky,Bahia,6.0,155.0,73.0,Orthodox,15,3,0,False
Jorgen Kruth,The Last Viking,6.2,205.0,,Orthodox,5,0,0,False
Nikita Krylov,The Miner,6.3,205.0,77.0,Orthodox,30,11,0,False
Mariusz Ksiazkiewicz,The Iron Pol,6.3,185.0,75.0,Southpaw,8,1,0,False
Eliezer Kubanza,No Nickname,,170.0,,Orthodox,7,0,0,False
Junya Kudo,No Nickname,,135.0,,Orthodox,10,7,2,False
John Kuhner,No Nickname,,170.0,,Orthodox,1,2,0,False
Michael Kuiper,No Nickname,6.0,185.0,73.0,Orthodox,15,5,0,False
Anton Kuivanen,No Nickname,5.8,155.0,72.0,Orthodox,24,10,0,False
Maiju Kujala,No Nickname,,135.0,,Orthodox,6,3,0,False
Sumit Kumar,The Indian Kid,5.5,125.0,66.0,Orthodox,8,1,0,False
Aleksei Kunchenko,No Nickname,5.8,170.0,70.0,Orthodox,20,2,0,False
Rizvan Kuniev,No Nickname,6.4,240.0,76.0,Orthodox,12,3,1,False
Keigo Kunihara,No Nickname,6.0,235.0,,Orthodox,3,2,0,False
Kiichi Kunimoto,Strasser,5.1,170.0,71.0,Orthodox,18,7,2,False
Jon Kunneman,AK-47,,185.0,,Orthodox,10,0,0,False
Leo Kuntz,The Lion,5.1,155.0,,Orthodox,18,4,1,False
Korey Kuppe,No Nickname,6.5,170.0,77.0,Switch,8,4,0,False
Ramazan Kuramagomedov,No Nickname,6.1,170.0,73.0,Orthodox,8,0,0,False
Tsuyoshi Kurihara,No Nickname,5.1,185.0,,Orthodox,10,8,2,False
Eldari Kurtanidze,No Nickname,5.6,235.0,,Orthodox,0,1,0,False
Kyle Kurtz,No Nickname,,170.0,,Orthodox,7,5,0,False
Guram Kutateladze,Georgian Viking,5.11,155.0,72.0,Orthodox,13,5,0,False
Vadym Kutsyi,No Nickname,6.0,170.0,71.0,Orthodox,17,2,0,False
Lina Kvokov,No Nickname,5.9,135.0,,Orthodox,0,3,0,False
Kaleo Kwan,Leo Boy,5.7,155.0,,Orthodox,11,16,0,False
Jarrod Kwitty,No Nickname,5.8,185.0,,Orthodox,2,2,0,False
Mike Kyle,MAK,6.4,205.0,77.0,Orthodox,22,14,1,False
Lisa Kyriacou,The Savage,5.5,125.0,64.0,Orthodox,7,2,0,False
Achmed Labasanov,No Nickname,6.3,215.0,,Orthodox,7,4,0,False
Josh LaBerge,No Nickname,5.1,145.0,,Orthodox,11,6,0,False
Jeremiah Labiano,The Kid,5.1,135.0,,Orthodox,11,5,0,False
Daniel Lacerda,Miojo,5.6,125.0,70.0,Switch,11,6,0,False
Luan Lacerda,No Nickname,5.7,135.0,71.0,Orthodox,12,3,0,False
Kemran Lachinov,No Nickname,,170.0,,Orthodox,3,2,0,False
Aspen Ladd,No Nickname,5.6,135.0,66.0,Orthodox,9,3,0,False
Ryan LaFlare,No Nickname,6.1,170.0,74.0,Southpaw,14,3,0,False
Corinne Laframboise,No Nickname,5.4,125.0,65.0,Orthodox,8,5,0,False
Ben Lagman,Bad News,6.2,185.0,,Orthodox,6,5,0,False
Noad Lahat,Neo,5.9,145.0,69.0,Orthodox,11,2,0,False
Tina Lahdemaki,Jelly Bean,5.2,115.0,,Orthodox,5,1,0,False
Yohan Lainesse,White Lion,6.1,170.0,76.0,Orthodox,9,3,0,False
Tim Lajcik,The Bohemian,6.1,225.0,,Orthodox,7,6,1,False
Todd Lally,No Nickname,5.7,145.0,,Orthodox,2,1,0,False
Sean Lally,The Unpredictable One,6.0,170.0,,Orthodox,7,3,0,False
Ricardo Lamas,The Bully,5.8,145.0,71.0,Orthodox,20,8,0,False
Jason Lambert,The Punisher,6.3,185.0,75.0,Orthodox,26,13,0,False
Jose Landi-Jons,Pele,5.11,170.0,,Orthodox,29,16,0,False
Nate Landwehr,The Train,5.9,145.0,72.0,Orthodox,18,7,0,False
Austen Lane,No Nickname,6.6,245.0,80.0,Orthodox,13,7,0,False
Aaron Lanfranco,No Nickname,,155.0,,Orthodox,5,1,0,False
Jeremy Lang,No Nickname,5.11,205.0,,Southpaw,21,2,0,False
Lionel Lanham,No Nickname,,205.0,,Orthodox,5,1,0,False
Lina Lansberg,Elbow Queen,5.7,135.0,65.0,Orthodox,10,8,0,False
Taylor Lapilus,Double Impact,5.6,135.0,73.0,Southpaw,21,4,0,False
Chad Laprise,The Disciple,5.1,170.0,71.0,Orthodox,13,4,0,False
Anthony Lapsley,The Recipe,5.9,170.0,,Southpaw,23,7,0,False
TJ Laramie,No Nickname,5.6,145.0,66.0,Orthodox,12,5,0,False
Icho Larenas,No Nickname,6.3,235.0,,Orthodox,6,5,0,False
Lorenz Larkin,The Monsoon,5.11,170.0,72.0,Orthodox,18,6,0,False
Jeremy Larsen,No Nickname,5.1,145.0,70.0,Orthodox,8,5,0,False
Brock Larson,No Nickname,5.11,170.0,71.0,Southpaw,42,10,0,False
Ryan Larson,No Nickname,,170.0,,Orthodox,6,2,0,False
Bobby Lashley,No Nickname,6.3,255.0,78.0,Orthodox,15,2,0,False
Ilir Latifi,The Sledgehammer,5.1,230.0,73.0,Orthodox,17,9,0,False
Sione Latu,No Nickname,6.0,215.0,,Orthodox,1,0,0,False
Phillip Latu,The Doctor,6.3,205.0,76.0,Orthodox,6,2,0,False
Jenel Lausa,No Nickname,5.5,125.0,68.0,Orthodox,7,5,0,False
Joe Lauzon,No Nickname,5.1,155.0,71.0,Orthodox,28,16,0,False
Dan Lauzon,The Upgrade,5.1,155.0,,Orthodox,17,6,0,False
Sandra Lavado,Peruvian Zombie,5.7,115.0,66.0,Orthodox,10,3,0,False
Chatt Lavender,No Nickname,5.8,170.0,,Orthodox,9,7,0,False
Cody Law,No Nickname,,145.0,,Orthodox,9,2,0,False
Muhammed Lawal,King Mo,6.0,205.0,78.0,Southpaw,21,6,0,False
Robbie Lawler,Ruthless,5.11,170.0,74.0,Southpaw,30,16,0,False
Tom Lawlor,Filthy,6.0,205.0,74.0,Southpaw,10,6,0,False
Justin Lawrence,The American Kidd,5.8,145.0,67.0,Orthodox,10,4,0,False
Lance Lawrence,No Nickname,6.1,145.0,74.0,Orthodox,4,1,0,False
Ronnie Lawrence,The Heat,5.8,135.0,68.0,Switch,8,2,0,False
Eric Lawson,No Nickname,6.0,185.0,,Orthodox,9,5,0,False
Jimmy Lawson,Greedy,6.0,265.0,77.0,Orthodox,4,2,0,False
Valmir Lazaro,Bidu,6.0,155.0,73.0,Orthodox,15,5,0,False
Zviad Lazishvili,No Nickname,5.6,135.0,69.0,Orthodox,13,1,0,False
Mounir Lazzez,The Sniper,6.1,170.0,76.0,Orthodox,11,3,0,False
Cung Le,No Nickname,5.9,185.0,70.0,Southpaw,9,3,0,False
Thanh Le,No Nickname,5.9,145.0,74.0,Orthodox,6,1,0,False
Quang Le,Bang,5.7,135.0,70.0,Orthodox,9,3,0,False
Carlos Leal,The Lion,5.11,170.0,74.0,Orthodox,22,7,0,False
Jordan Leavitt,The Monkey King,5.9,155.0,71.0,Southpaw,12,3,0,False
Jerome LeBanner,No Nickname,6.3,265.0,,Southpaw,3,2,0,False
Chris Leben,The Crippler,5.11,185.0,73.0,Southpaw,22,11,0,False
Jean-Paul Lebosnoyani,Mufasa,5.11,170.0,72.0,Switch,9,2,0,False
Mickael Lebout,Ragnar,5.11,155.0,73.0,Orthodox,16,7,1,False
Stephen Ledbetter,No Nickname,5.9,145.0,,Orthodox,8,3,0,False
Justin Ledet,El Blanco,6.4,205.0,80.0,Orthodox,9,4,0,False
James Lee,No Nickname,5.11,205.0,,Southpaw,15,3,0,False
David Lee,No Nickname,5.1,155.0,,Orthodox,12,10,0,False
Jackie Lee,No Nickname,,,,Orthodox,0,1,0,False
Eun Soo Lee,No Nickname,6.1,215.0,,Orthodox,17,4,0,False
Tae Hyun Lee,No Nickname,6.6,295.0,,Orthodox,1,2,0,False
Tommy Lee,No Nickname,5.7,145.0,,Orthodox,25,6,0,False
Matt Lee,No Nickname,5.11,155.0,,Orthodox,14,10,1,False
Imani Lee,No Nickname,,,,Orthodox,2,4,0,False
Vaughan Lee,No Nickname,5.6,125.0,66.0,Orthodox,14,13,1,False
Kevin Lee,The Motown Phenom,5.9,170.0,77.0,Orthodox,18,8,0,False
Rocky Lee,No Nickname,5.9,145.0,,Orthodox,3,2,0,False
Andrea Lee,KGB,5.6,125.0,69.0,Orthodox,13,11,0,False
JeongYeong Lee,Korean Tiger,5.1,145.0,73.0,Orthodox,11,3,0,False
JungHyun Lee,The Phenom,5.5,125.0,65.0,Orthodox,8,1,0,False
ChangHo Lee,No Nickname,5.8,135.0,69.0,Orthodox,11,1,0,False
Macksom Lee,No Nickname,6.1,135.0,75.0,Orthodox,9,1,0,False
Ricky Legere Jr.,IE Bad Boy,5.8,170.0,,Orthodox,14,4,0,False
Sherron Leggett,Rob Roy,5.8,155.0,,Southpaw,21,6,0,False
Cheyden Leialoha,Steadfast,5.8,135.0,73.0,Orthodox,6,0,0,False
Claudia Leite,No Nickname,5.3,135.0,64.0,Orthodox,8,3,0,False
Thales Leites,No Nickname,6.1,185.0,78.0,Orthodox,28,9,0,False
Jovan Leka,No Nickname,,265.0,,Orthodox,10,2,0,False
Stefan Leko,Blitz,6.2,215.0,,Orthodox,0,3,0,False
Gabe Lemley,No Nickname,5.8,155.0,,Orthodox,13,9,0,False
Amanda Lemos,No Nickname,5.4,115.0,65.0,Southpaw,15,5,1,False
Giacomo Lemos,No Nickname,6.3,247.0,75.0,Orthodox,6,0,0,False
Christophe Leninger,No Nickname,6.0,200.0,,Southpaw,3,4,0,False
Jesse Lennox,The Ox,5.9,170.0,72.0,Orthodox,14,4,0,False
Jean Francois Lenogue,No Nickname,6.0,185.0,,Orthodox,16,17,3,False
Nik Lentz,The Carny,5.8,145.0,68.0,Orthodox,30,12,2,False
Alberta Cerra Leon,No Nickname,5.8,238.0,,Orthodox,0,1,0,False
Victoria Leonardo,Fury,5.5,125.0,64.0,Orthodox,9,7,0,False
Anthony Leone,No Nickname,5.6,135.0,,Orthodox,15,8,0,False
Chad Leonhardt,The Boss,6.0,170.0,,Orthodox,9,4,0,False
Kimo Leopoldo,No Nickname,6.3,235.0,,Orthodox,10,7,1,False
Michael Lerma,No Nickname,,,,Orthodox,0,1,0,False
Lukasz Les,No Nickname,,170.0,,Orthodox,8,3,0,False
Brock Lesnar,No Nickname,6.3,265.0,81.0,Orthodox,5,3,0,False
Frank Lester,No Nickname,5.11,170.0,,Orthodox,11,6,0,False
Valerie Letourneau,Trouble,5.7,115.0,68.0,Orthodox,8,6,0,False
Leah Letson,Nidas,5.7,145.0,71.0,Southpaw,5,3,0,False
Justin Levens,The Executioner,5.11,185.0,,Orthodox,10,7,0,False
Marcus LeVesseur,The Prospect,5.9,155.0,70.0,Southpaw,22,7,0,False
David Levicki,No Nickname,6.5,275.0,,Orthodox,1,3,0,False
Kyle Levinton,No Nickname,,,,Orthodox,0,3,0,False
Natan Levy,Lethal,5.9,155.0,71.0,Southpaw,8,2,0,False
John Lewis,No Nickname,6.0,155.0,,Southpaw,3,4,3,False
Derrick Lewis,The Black Beast,6.3,260.0,79.0,Orthodox,29,12,0,False
Bevon Lewis,No Nickname,6.3,185.0,79.0,Orthodox,7,3,0,False
Brandon Lewis,No Nickname,5.4,135.0,70.0,Orthodox,6,2,0,False
Malik Lewis,Hard Knock,6.0,155.0,75.0,Orthodox,6,2,0,False
Chi Lewis-Parry,Chopper,6.9,243.0,,Orthodox,7,0,1,False
Li Jingliang,The Leech,6.0,170.0,71.0,Orthodox,19,9,0,False
Li Yunfeng,No Nickname,5.8,135.0,68.0,Orthodox,9,5,0,False
Liang Na,The Dragon Girl,5.5,125.0,67.0,Orthodox,19,8,0,False
Jess Liaudin,The Joker,5.9,170.0,72.0,Orthodox,20,11,0,False
Chuck Liddell,The Iceman,6.2,205.0,76.0,Orthodox,21,8,0,False
Rodrigo Lidio,Dynamis,5.11,155.0,73.0,Orthodox,12,3,0,False
Sam Liera,No Nickname,,,,Orthodox,12,10,0,False
Zach Light,No Nickname,5.8,170.0,,Orthodox,9,11,0,False
Scott Lighty,No Nickname,6.2,205.0,,Orthodox,6,2,0,False
Chris Liguori,No Nickname,5.9,185.0,,Orthodox,15,10,0,False
Donnie Liles,No Nickname,5.9,170.0,,Orthodox,17,7,0,False
Jae Suk Lim,No Nickname,5.9,170.0,,Orthodox,17,6,0,False
Hyun Gyu Lim,The Ace,6.3,170.0,77.0,Orthodox,13,7,1,False
Juliana Lima,Ju Thai,5.5,115.0,65.0,Orthodox,9,5,0,False
Dhiego Lima,No Nickname,6.2,170.0,75.0,Orthodox,17,9,0,False
Douglas Lima,The Phenom,6.1,170.0,,Orthodox,29,6,0,False
Mabelly Lima,No Nickname,5.2,135.0,,Orthodox,7,1,0,False
Andre Lima,Mascote,5.7,125.0,67.0,Orthodox,11,0,0,False
Felipe Lima,Jungle Boy,5.6,135.0,68.0,Orthodox,14,2,0,False
Miguel Linares,No Nickname,,,,Orthodox,2,4,0,False
Emiliano Linares,Golden Bull,5.8,145.0,72.0,Orthodox,8,2,0,False
Matt Lindland,The Law,6.0,185.0,74.0,Southpaw,22,9,0,False
Jake Lindsey,The Librarian,5.11,155.0,,Switch,12,7,0,False
John Lineker,Hands of Stone,5.3,135.0,67.0,Orthodox,31,9,0,False
Austin Lingo,Lights Out,5.1,145.0,70.0,Orthodox,9,3,0,False
Lucio Linhares,No Nickname,6.2,185.0,,Orthodox,19,8,0,False
Philipe Lins,Monstro,6.2,205.0,78.0,Orthodox,18,5,0,False
Tainara Lisboa,Thai Panther,5.7,135.0,67.0,Orthodox,7,3,0,False
Dean Lister,The Boogeyman,6.1,185.0,75.0,Orthodox,13,7,0,False
Wesley Little,No Nickname,6.4,205.0,,Orthodox,4,8,0,False
Adam Livingston,Bomb,6.2,155.0,71.0,Orthodox,6,1,0,False
James Llontop,Goku,6.0,155.0,73.0,Orthodox,14,5,0,False
Abner Lloveras,Skullman,5.11,155.0,,Orthodox,20,9,1,False
Brian Lo-A-Njoe,No Nickname,5.7,155.0,,Orthodox,6,10,3,False
John Lober,The Machine,5.11,199.0,,Orthodox,5,9,4,False
Artem Lobov,The Russian Hammer,5.9,145.0,65.0,Southpaw,13,15,1,False
Dylan Lockard,No Nickname,5.9,145.0,72.0,Orthodox,6,2,0,False
Ryan Loder,Man of Steel,6.2,185.0,76.0,Southpaw,8,2,0,False
Sean Loeffler,The Destroyer,6.3,185.0,,Orthodox,31,5,0,False
Christian Lohsen,Hollywood,6.2,155.0,77.0,Southpaw,4,2,0,False
David Loiseau,The Crow,6.0,185.0,76.0,Orthodox,23,11,0,False
Hector Lombard,No Nickname,5.9,185.0,71.0,Southpaw,34,10,1,False
Michael Lombardo,The Don,6.0,170.0,72.0,Orthodox,11,2,0,False
Rocky Long,No Nickname,,145.0,,Orthodox,21,37,1,False
Thomas Longacre,No Nickname,5.9,145.0,,Orthodox,6,1,0,False
Loma Lookboonmee,No Nickname,5.1,115.0,61.0,Orthodox,10,3,0,False
Ange Loosa,The Last Ninja,5.1,170.0,74.0,Orthodox,10,5,0,False
Lucas Lopes,No Nickname,6.2,185.0,,Orthodox,29,19,0,False
Dileno Lopes,No Nickname,5.5,135.0,,Orthodox,19,3,0,False
Diego Lopes,No Nickname,5.11,145.0,72.0,Orthodox,27,7,0,False
Bruno Lopes,Brunao,6.2,205.0,74.0,Orthodox,14,2,0,False
Arthur Lopes,Demolidor,6.2,234.0,77.0,Southpaw,6,2,0,False
Ivan Lopez,No Nickname,5.6,135.0,,Southpaw,14,3,1,False
Steve Lopez,No Nickname,5.11,155.0,,Orthodox,13,6,1,False
Federico Lopez,Kiko,5.4,139.0,,Orthodox,10,6,0,False
Jorge Lopez,No Nickname,5.1,170.0,,Orthodox,11,5,0,False
Christopher Lopez,No Nickname,5.1,170.0,,Orthodox,9,1,0,False
Matthew Lopez,No Nickname,5.7,135.0,69.0,Southpaw,10,4,0,False
Benito Lopez,Golden Boy,5.1,135.0,73.0,Switch,10,2,0,False
Gustavo Lopez,No Nickname,5.5,135.0,67.0,Orthodox,12,6,1,False
Alik Lorenz,No Nickname,6.2,205.0,77.0,Orthodox,6,2,0,False
Brendan Loughnane,No Nickname,5.1,145.0,70.0,Switch,17,3,0,False
Nate Loughran,No Nickname,6.2,185.0,,Orthodox,11,2,0,False
Caolan Loughran,The Don,5.6,135.0,68.0,Orthodox,10,2,0,False
Rashard Lovelace,No Nickname,,155.0,,Orthodox,4,1,0,False
Ian Loveland,The Barn Owl,5.8,145.0,,Orthodox,18,10,0,False
Jakob Lovstad,The Striking Viking,6.3,205.0,,Orthodox,11,4,0,False
Waylon Lowe,No Nickname,5.7,145.0,,Southpaw,16,7,0,False
Brandon Lowe,No Nickname,,155.0,,Orthodox,2,1,0,False
Joe Lowry,No Nickname,5.11,155.0,73.0,Orthodox,9,2,0,False
Lu Kai,The Last Gladiator,5.9,145.0,69.0,Orthodox,8,5,0,False
Lu Zhengyong,No Nickname,,125.0,,Orthodox,12,7,0,False
Robert Lucarelli,No Nickname,6.2,245.0,,Orthodox,0,1,0,False
Matt Lucas,Luke Duke,6.1,205.0,,Orthodox,15,3,0,False
Cleber Luciano,No Nickname,5.6,155.0,,Orthodox,14,6,0,False
Stephanie Luciano,Rondinha,5.6,115.0,65.0,Orthodox,6,2,1,False
Iasmin Lucindo,No Nickname,5.3,115.0,66.0,Orthodox,18,6,0,False
Duane Ludwig,Bang,5.1,170.0,70.0,Orthodox,21,14,0,False
Lawrence Lui,Lok Yin,5.7,135.0,72.0,Orthodox,7,1,0,False
Mike Lullo,No Nickname,5.8,145.0,,Orthodox,8,3,0,False
Juan Andres Luna,No Nickname,5.7,125.0,72.0,Orthodox,12,1,0,False
Paula Luna,La Prodigia,5.2,125.0,62.0,Orthodox,5,3,0,False
Juan Adrian Luna,No Nickname,,135.0,,Orthodox,16,1,0,False
Santiago Luna,BorderBoy,5.9,135.0,74.0,Orthodox,7,0,0,False
Dalcha Lungiambula,Champion,5.8,185.0,76.0,Orthodox,11,6,0,False
Alexandru Lungu,No Nickname,6.0,385.0,,Orthodox,14,4,0,False
Vicente Luque,The Silent Assassin,5.11,170.0,75.0,Orthodox,23,11,1,False
Thaddeus Luster,No Nickname,6.3,210.0,,Orthodox,0,1,0,False
Travis Lutter,The Serial Killer,5.11,185.0,75.0,Orthodox,10,6,0,False
Joilton Lutterbach,Peregrino,6.1,185.0,75.0,Orthodox,38,9,0,False
Tucker Lutz,Top Gun,5.8,145.0,72.0,Orthodox,12,4,0,False
Lv Zhenhong,No Nickname,5.8,145.0,67.0,Switch,16,6,0,False
Stevie Lynch,No Nickname,5.1,170.0,,Orthodox,5,2,0,False
Adam Lynn,No Nickname,5.1,155.0,,Orthodox,17,10,0,False
Chris Lytle,Lights Out,5.11,170.0,68.0,Orthodox,31,18,5,False
Dong Hyun Ma,Maestro,5.11,155.0,70.0,Orthodox,16,11,3,False
Pawan Maan,No Nickname,5.7,155.0,70.0,Orthodox,7,3,1,False
William Macario,Patolino,5.11,170.0,75.0,Orthodox,9,3,0,False
Jason MacDonald,The Athlete,6.3,185.0,80.0,Orthodox,25,16,0,False
Rob MacDonald,Maximus,6.3,205.0,78.0,Orthodox,5,4,0,False
Rory MacDonald,Red King,6.0,170.0,76.0,Orthodox,19,4,0,False
Ryan MacDonald,Main Event,5.11,135.0,71.0,Switch,10,2,0,False
Clayton MacFarlane,No Nickname,,170.0,,Orthodox,4,1,0,False
Ilima Macfarlane,No Nickname,5.4,125.0,,Orthodox,6,0,0,False
Valesca Machado,Tina Black,5.4,115.0,63.0,Orthodox,8,3,0,False
Caio Machado,Bigfoot,6.4,250.0,78.0,Southpaw,8,4,1,False
Ian Machado Garry,The Future,6.3,170.0,74.0,Orthodox,16,1,0,False
Lyoto Machida,The Dragon,6.1,185.0,74.0,Southpaw,24,8,0,False
War Machine,No Nickname,5.11,170.0,,Orthodox,14,5,0,False
Anthony Macias,Mad Dog,5.9,185.0,,Switch,26,18,0,False
Pauline Macias,PITA,5.4,115.0,64.0,Southpaw,4,1,0,False
Reza Madadi,Mad Dog,5.11,155.0,73.0,Orthodox,14,6,0,False
Don Madge,Magic Man,6.0,155.0,72.0,Southpaw,9,3,1,False
Ryan Madigan,No Nickname,6.0,170.0,,Orthodox,5,3,0,False
Victor Madrigal,Periquito,5.7,135.0,71.0,Orthodox,15,5,0,False
Jon Madsen,No Nickname,6.0,240.0,72.0,Orthodox,8,2,0,False
Mark Madsen,The Olympian,5.8,155.0,72.0,Orthodox,12,2,0,False
Yoshiro Maeda,No Nickname,5.7,139.0,68.0,Southpaw,35,16,5,False
Leonardo Mafra,Macarrao,5.1,155.0,70.0,Orthodox,13,4,0,False
Vinny Magalhaes,Pezao,6.3,205.0,75.0,Orthodox,14,9,0,False
Vinicius Magalhaes,Draculinho,,145.0,,Orthodox,2,1,0,False
Caio Magalhaes,Hellboy,6.1,185.0,73.0,Orthodox,10,3,0,False
Bernardo Magalhaes,Trekko,5.9,155.0,,Orthodox,13,4,0,False
Eric Magana,No Nickname,,,,Orthodox,1,1,0,False
Brandon Magana,No Nickname,,170.0,,Orthodox,6,2,0,False
Angela Magana,Your Majesty,5.1,115.0,65.0,Orthodox,11,9,0,False
Neil Magny,The Haitian Sensation,6.3,170.0,80.0,Orthodox,30,13,0,False
Raimond Magomedaliev,No Nickname,6.1,170.0,75.0,Orthodox,10,2,0,False
Ibragim Magomedov,No Nickname,6.0,250.0,,Orthodox,22,8,1,False
Rashid Magomedov,Highlander,5.9,155.0,70.0,Orthodox,20,2,0,False
Ruslan Magomedov,Leopard,6.3,242.0,78.0,Orthodox,14,1,0,False
Abus Magomedov,No Nickname,6.2,185.0,78.0,Orthodox,28,6,1,False
Shara Magomedov,Bullet,6.2,185.0,73.0,Orthodox,16,1,0,False
Murtazali Magomedov,The Highlight,5.9,145.0,70.0,Orthodox,10,0,0,False
Zabit Magomedsharipov,No Nickname,6.1,145.0,73.0,Orthodox,18,1,0,False
John Maguire,The One,5.9,155.0,69.0,Southpaw,24,9,0,False
Lolohea Mahe,No Nickname,,,,Orthodox,10,4,1,False
Michelle Maher,No Nickname,,145.0,,Orthodox,1,2,0,False
 Maheshate,No Nickname,6.0,155.0,71.0,Orthodox,10,5,0,False
Bill Mahood,The Butcher,6.3,200.0,,Orthodox,20,7,1,False
Klayton Mai,No Nickname,5.9,125.0,,Orthodox,8,3,0,False
Demian Maia,No Nickname,6.1,170.0,72.0,Southpaw,28,11,0,False
Jennifer Maia,No Nickname,5.4,125.0,64.0,Orthodox,21,10,1,False
Nayara Maia,Capita,5.5,125.0,66.0,Orthodox,7,1,1,False
Roshan Mainam,The Indian Notorious,,135.0,,Orthodox,6,3,0,False
Levan Makashvili,The Hornet,5.8,145.0,68.0,Orthodox,15,2,1,False
John Makdessi,The Bull,5.8,155.0,68.0,Orthodox,18,9,0,False
Islam Makhachev,No Nickname,5.1,170.0,70.0,Southpaw,27,1,0,False
Aliev Makhmud,No Nickname,5.6,195.0,,Southpaw,0,1,0,False
Zach Makovsky,Fun Size,5.4,125.0,64.0,Southpaw,20,8,0,False
Azat Maksum,Qazaq,5.7,125.0,70.0,Southpaw,15,2,0,False
Jeremy Malaterre,No Nickname,5.11,155.0,,Orthodox,4,2,0,False
Fabio Maldonado,Caipira de Aco,6.1,205.0,75.0,Orthodox,23,11,0,False
Marvin Maldonado,The Bulldog,5.6,135.0,,Orthodox,2,4,0,False
Bea Malecki,No Nickname,5.9,135.0,74.0,Orthodox,4,1,0,False
Nazareno Malegarie,El Tigre,5.8,155.0,,Orthodox,28,4,0,False
Carl Malenko,No Nickname,5.11,200.0,,Orthodox,6,4,0,False
Jacob Malkoun,Mamba,5.9,185.0,73.0,Orthodox,8,3,0,False
Mike Malott,Proper,6.1,170.0,73.0,Orthodox,12,2,1,False
Regina Malpica Rivera,Kill Bill,,135.0,,Orthodox,5,0,0,False
Dan Manasoiu,No Nickname,,,,Orthodox,0,0,0,False
Troy Mandaloniz,Rude Boy,5.9,170.0,,Orthodox,3,2,0,False
Nate Maness,Mayhem,5.1,125.0,72.0,Orthodox,16,3,0,False
Michael Mangan,No Nickname,,155.0,,Orthodox,0,3,0,False
Gary Mangat,No Nickname,5.7,135.0,,Orthodox,15,3,0,False
George Mangos,No Nickname,5.1,145.0,70.0,Switch,7,1,0,False
Melvin Manhoef,No Mercy,5.9,185.0,,Orthodox,30,14,1,False
Melchor Manibusan,Barracuda,5.5,154.0,,Southpaw,2,4,0,False
Jon Manley,No Nickname,6.1,170.0,,Orthodox,9,4,0,False
Steve Mann,No Nickname,6.1,170.0,,Orthodox,12,5,0,False
Marnic Mann,The Sawed-Off Savage,5.0,115.0,64.0,Southpaw,6,3,0,False
Dylan Mantello,The Quiet Man,6.1,155.0,73.0,Orthodox,8,4,0,False
Chris Manuel,No Nickname,5.9,135.0,,Orthodox,9,7,2,False
Jimi Manuwa,Poster Boy,6.1,205.0,79.0,Orthodox,17,6,0,False
Dom Mar Fan,Street Buddha,5.11,155.0,75.0,Orthodox,8,2,0,False
Cristiano Marcello,No Nickname,5.9,155.0,72.0,Orthodox,13,6,0,False
Daniel Marcos,Soncora,5.7,135.0,69.0,Orthodox,17,1,0,False
Jose Maria,No Chance,5.5,125.0,,Orthodox,37,7,0,False
Marcos Mariano,Dhalsim,6.1,155.0,76.0,Switch,6,6,0,False
Enrique Marin,Wasabi,5.1,170.0,,Orthodox,10,4,0,False
Chepe Mariscal,Machine Gun,5.7,145.0,69.0,Orthodox,18,6,0,False
Ronny Markes,No Nickname,6.1,185.0,75.0,Orthodox,17,5,0,False
Rory Markham,No Nickname,6.0,170.0,71.0,Orthodox,17,6,0,False
Randa Markos,Quiet Storm,5.4,115.0,63.0,Orthodox,11,12,1,False
Christina Marks,No Nickname,5.7,125.0,69.0,Orthodox,8,9,0,False
Brendon Marotte,The Kid,5.9,145.0,70.0,Orthodox,8,3,0,False
Nate Marquardt,The Great,6.0,185.0,74.0,Orthodox,35,19,2,False
Danilo Marques,No Nickname,6.6,205.0,77.0,Orthodox,11,4,0,False
Julian Marquez,The Cuban Missile Crisis,6.2,185.0,72.0,Orthodox,9,6,0,False
Carmelo Marrero,The Fury,6.0,205.0,73.0,Orthodox,16,6,0,False
Cesar Marscucci,No Nickname,,,,Orthodox,3,2,0,False
