Full Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Warlley Alves,No Nickname,5.11,185.0,72.0,Orthodox,15,8,0,False
Rafael Alves,The Turn,5.8,155.0,68.0,Orthodox,20,12,0,False
Sam Alvey,Smile'N,6.2,185.0,75.0,Southpaw,33,18,1,False
Christopher Alvidrez,The Newborn,,170.0,,Orthodox,6,1,0,False
Mahamed Aly,No Nickname,6.2,205.0,78.0,Orthodox,4,1,0,False
Andre Amado,Dida,6.0,154.0,,Orthodox,6,4,1,False
Adlan Amagov,Borz,6.2,170.0,76.0,Orthodox,14,2,1,False
Maiara Amanajas dos Santos,No Nickname,5.5,115.0,,Southpaw,7,3,0,False
Chris Amarante,No Nickname,,185.0,,Orthodox,2,0,0,False
Jimmy Ambriz,The Titan,6.2,315.0,,Southpaw,17,21,1,False
JJ Ambrose,No Nickname,5.1,170.0,,Orthodox,28,7,0,False
Alen Amedovski,No Nickname,5.1,185.0,74.0,Orthodox,8,4,0,False
Hyder Amil,The Hurricane,5.9,145.0,70.0,Switch,11,1,0,False
Hamid Amiri,The Storm,,145.0,,Orthodox,9,0,0,False
Makwan Amirkhani,Mr. Finland,5.1,145.0,72.0,Southpaw,17,9,0,False
Jaqueline Amorim,No Nickname,5.3,115.0,68.0,Orthodox,10,1,0,False
Bertrand Amoussou,No Nickname,5.8,190.0,,Orthodox,1,1,0,False
Karl Amoussou,The Psycho,5.11,185.0,,Orthodox,27,7,2,False
Eryk Anders,Ya Boi,6.1,185.0,75.0,Southpaw,17,9,0,False
Matt Andersen,No Nickname,6.2,230.0,,Southpaw,14,8,1,False
Andy Anderson,The Hammer,5.6,240.0,,Orthodox,0,1,0,False
Lowell Anderson,No Nickname,5.6,160.0,,Orthodox,0,1,0,False
Corey Anderson,Overtime,6.3,205.0,79.0,Orthodox,14,5,0,False
Derek Anderson,Barbaric,6.0,155.0,,Orthodox,14,3,0,False
Megan Anderson,No Nickname,6.0,145.0,72.0,Orthodox,11,5,0,False
Liam Anderson,No Nickname,6.3,185.0,75.0,Orthodox,6,3,0,False
Tatsuya Ando,Kirinji,5.4,145.0,68.0,Southpaw,14,4,1,False
Alex Andrade,El Toro,5.11,200.0,,Orthodox,10,5,0,False
Jessica Andrade,Bate Estaca,5.1,115.0,62.0,Orthodox,26,15,0,False
Viscardi Andrade,No Nickname,5.11,170.0,75.0,Orthodox,19,6,0,False
Jermaine Andre,No Nickname,5.7,200.0,,Orthodox,14,4,0,False
Fellipe Andrew,No Nickname,,,,Orthodox,0,0,0,False
Dylan Andrews,The Villain,6.1,185.0,74.0,Switch,18,7,0,False
Reese Andy,Riptide,6.0,205.0,,Orthodox,7,3,0,False
 Angga,The Hitman,5.7,145.0,68.0,Orthodox,13,3,0,False
Julius Anglickas,No Nickname,6.3,205.0,,Orthodox,5,1,0,False
Collin Anglin,No Nickname,5.9,145.0,71.0,Orthodox,8,3,0,False
Chad Anheliger,The Monster,5.6,135.0,64.0,Orthodox,13,8,0,False
Yoji Anjo,Mr. 200%,5.11,205.0,,Orthodox,0,5,1,False
Magomed Ankalaev,No Nickname,6.3,205.0,75.0,Orthodox,21,1,1,True
Gadzhimurad Antigulov,No Nickname,5.11,205.0,70.0,Orthodox,20,8,0,False
Adam Antolin,Captain Chaos,5.5,125.0,63.0,Orthodox,12,3,0,False
Angelo Antonio,No Nickname,,205.0,,Orthodox,1,4,0,False
Vanilto Antunes,No Nickname,6.0,170.0,72.0,Orthodox,16,7,0,False
Azunna Anyanwu,Zulu,6.1,251.0,,Orthodox,14,5,0,False
Shinsho Anzai,Animal,5.7,170.0,70.0,Orthodox,10,3,0,False
Jin Aoi,No Nickname,5.6,145.0,68.0,Orthodox,14,6,1,False
Shinya Aoki,Tobikan Judan,5.11,154.0,,Southpaw,39,7,0,False
 Aoriqileng,The Mongolian Murderer,5.7,135.0,69.0,Orthodox,25,12,0,False
Josh Appelt,No Nickname,5.1,255.0,,Southpaw,15,7,0,False
Erik Apple,No Nickname,6.0,170.0,,Orthodox,10,3,0,False
Kenji Arai,No Nickname,5.1,145.0,,Southpaw,15,15,5,False
Romie Aram,No Nickname,5.1,170.0,,Orthodox,7,1,0,False
Felipe Arantes,Sertanejo,5.8,135.0,73.0,Orthodox,18,10,1,False
Igor Araujo,No Nickname,6.1,170.0,77.0,Orthodox,25,9,0,False
Viviane Araujo,Vivi,5.4,125.0,68.0,Orthodox,13,7,0,False
Julio Arce,No Nickname,5.7,145.0,70.0,Southpaw,19,6,0,False
Art Arciniega,King Arthur,5.8,145.0,,Orthodox,15,7,0,False
Alice Ardelean,No Nickname,5.3,115.0,62.0,Orthodox,10,7,0,False
Tristan Arenal,No Nickname,,155.0,,Orthodox,7,4,0,False
Gabriel Arges,No Nickname,,170.0,,Orthodox,0,0,0,False
Dan Argueta,The Determined,5.7,135.0,68.0,Southpaw,9,3,0,False
Reza Arianto,The Crazy Lion,,155.0,,Orthodox,5,0,0,False
Hashem Arkhagha,No Nickname,6.2,185.0,75.0,Orthodox,6,1,0,False
Andrei Arlovski,The Pitbull,6.3,240.0,77.0,Orthodox,34,24,0,False
Garrett Armfield,No Nickname,5.6,135.0,70.0,Orthodox,10,5,0,False
Joey Armstrong,No Nickname,,,,Orthodox,5,2,0,False
