Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Accuracy,Feedback,Study
8,1,1,0.65,1.263196,1.702111,1,1,1,1
8,2,1,0.65,1.228192,1.54461,1,0,1,1
8,2,1,0.55,1.363046,0.5986149,1,0,1,1
8,2,2,0.6,1.735875,1.212014,1,1,1,1
8,1,1,0.6,1.103402,0.9090752,1,1,1,1
8,2,2,0.9,1.241321,1.650167,1,1,1,1
8,2,1,0.9,1.055096,1.94953,1,0,1,1
8,1,2,0.7,1.378421,1.564843,1,0,1,1
8,1,1,0.85,1.03849,1.312269,1,1,1,1
8,2,2,0.6,1.396497,0.720088,1,1,1,1
8,1,1,0.6,1.343322,1.294703,1,1,1,1
8,1,1,0.6,1.129665,1.001812,1,1,1,1
8,2,1,0.85,1.086474,2.822459,1,0,1,1
8,1,1,0.7,1.56697,4.419545,1,1,1,1
8,2,2,0.65,1.678624,2.748014,1,1,1,1
8,2,1,0.7,1.876269,1.550469,1,0,1,1
8,2,1,0.6,1.564501,0.8154681,1,0,1,1
8,1,2,0.65,1.351457,1.578181,1,0,1,1
8,1,2,0.5,2.684459,0.7901642,1,0,1,1
8,1,1,0.7,1.341168,1.538585,1,1,1,1
8,2,1,0.7,1.780823,1.470313,1,0,1,1
8,1,1,0.6,1.312984,1.141527,1,1,1,1
8,1,1,0.75,1.383906,1.062442,1,1,1,1
8,2,2,0.75,1.266803,4.484946,1,1,1,1
8,2,1,0.6,3.591311,0.7126137,1,0,1,1
8,2,2,0.55,1.394968,0.709271,1,1,1,1
8,2,2,0.6,1.826416,0.6608276,1,1,1,1
8,2,1,0.6,1.297771,0.7226565,1,0,1,1
8,2,2,0.75,1.302942,1.03242,1,1,1,1
8,2,1,0.75,1.268208,1.261861,1,0,1,1
8,1,1,0.8,1.121587,1.017019,1,1,1,1
8,1,1,0.75,1.351957,1.279708,1,1,1,1
8,2,2,0.6,1.393304,0.7510994,1,1,1,1
8,1,1,0.7,1.083276,1.605297,1,1,1,1
8,2,2,0.5,1.697673,0.3261674,1,1,1,1
8,1,1,0.65,1.37191,0.7656157,1,1,1,1
8,2,1,0.65,1.234434,1.062696,1,0,1,1
8,1,1,0.7,1.010769,3.3983,1,1,1,1
8,1,1,0.75,1.188329,1.310403,1,1,1,1
9,2,1,0.6,4.608352,1.168684,3,0,1,1
9,1,1,0.6,2.642026,0.7547787,3,1,1,1
9,2,1,0.7,1.551395,2.364383,3,0,1,1
9,2,1,0.65,2.63532,1.870688,3,0,1,1
9,2,2,0.6,2.797875,3.671624,3,1,1,1
9,2,2,0.8,1.443218,2.004163,3,1,1,1
9,1,2,0.65,1.983035,1.146379,3,0,1,1
9,2,2,0.75,1.517985,1.356683,3,1,1,1
9,2,1,0.65,1.60773,1.195162,3,0,1,1
9,1,2,0.6,3.128453,0.7804773,3,0,1,1
9,1,1,0.55,1.329337,2.413231,3,1,1,1
9,1,1,0.7,1.388006,1.297862,3,1,1,1
9,2,1,0.65,1.477631,2.104117,3,0,1,1
9,2,2,0.7,1.343235,1.695559,3,1,1,1
9,2,2,0.6,1.189604,0.91164,3,1,1,1
9,1,1,0.7,1.179667,1.655578,3,1,1,1
9,2,2,0.8,1.009917,2.05414,3,1,1,1
9,2,2,0.7,2.160809,2.669094,3,1,1,1
9,1,2,0.7,1.283099,1.179284,3,0,1,1
9,1,1,0.9,0.9205757,1.889958,3,1,1,1
9,2,2,0.7,1.284537,1.434756,3,1,1,1
9,1,1,0.65,1.084945,2.603479,3,1,1,1
9,1,2,0.55,1.640985,0.8177988,3,0,1,1
9,2,2,0.8,1.129947,1.674122,3,1,1,1
9,1,1,0.85,1.288496,1.694042,3,1,1,1
9,2,2,0.65,1.263572,1.122087,3,1,1,1
9,2,2,0.85,0.9265439,1.838486,3,1,1,1
9,2,2,0.65,1.629473,1.105157,3,1,1,1
9,1,2,0.7,2.028731,2.761252,3,0,1,1
9,1,2,0.7,1.460896,1.279744,3,0,1,1
9,1,1,0.65,1.071631,0.9463909,3,1,1,1
9,2,1,0.7,1.343062,1.468258,3,0,1,1
9,1,1,0.7,1.103442,2.273914,3,1,1,1
9,1,1,0.75,1.126225,1.931821,3,1,1,1
9,2,2,0.9,0.9032426,2.276362,3,1,1,1
9,2,2,0.9,1.0561,1.784961,3,1,1,1
9,2,2,0.8,1.297566,1.806408,3,1,1,1
9,2,2,0.7,1.492199,1.435922,3,1,1,1
9,2,2,0.75,1.309706,1.450541,3,1,1,1
9,2,1,0.7,2.062558,1.497855,3,0,1,1
9,2,2,0.75,1.095759,0.8482046,3,1,1,1
9,1,2,0.7,1.225159,1.644071,3,0,1,1
9,1,1,0.9,1.021969,1.161404,3,1,1,1
9,2,2,0.7,1.08604,1.309202,3,1,1,1
9,1,1,0.6,1.022171,1.030503,3,1,1,1
9,2,2,0.6,1.194005,2.336105,3,1,1,1
9,1,1,0.8,1.134426,1.803262,3,1,1,1
9,2,2,0.75,1.23278,1.843069,3,1,1,1
9,1,1,0.7,0.7813923,2.654905,3,1,1,1
9,1,1,0.75,0.7475227,1.794111,3,1,1,1
10,2,2,0.65,1.551321,1.29828,1,1,1,1
10,1,2,0.65,1.167893,2.203771,1,0,1,1
10,2,2,0.8,0.8418229,1.737446,1,1,1,1
10,2,2,0.7,2.94265,1.429297,1,1,1,1
10,2,1,0.8,0.8188754,2.143193,1,0,1,1
10,2,2,0.75,0.8344132,2.613022,1,1,1,1
10,1,1,0.7,1.141966,1.858366,1,1,1,1
10,2,1,0.7,5.170624,3.263965,1,0,1,1
10,2,2,0.7,1.328467,1.270105,1,1,1,1
10,1,2,0.55,5.138688,1.383601,1,0,1,1
10,1,1,0.8,0.7633017,1.766568,1,1,1,1
10,1,1,0.9,0.7295846,1.913657,1,1,1,1
10,2,2,0.95,0.6851056,2.018859,1,1,1,1
10,2,1,0.95,0.8306328,1.255158,1,0,1,1
10,2,2,0.4,0.721748,3.546997,1,1,1,1
10,1,1,0.75,0.6405768,1.979446,1,1,1,1
10,2,2,0.9,0.7866892,3.510433,1,1,1,1
10,2,1,0.8,0.7691022,2.375669,1,0,1,1
10,1,2,0.6,9.625109,1.866756,1,0,1,1
10,1,1,0.75,0.7383331,3.454187,1,1,1,1
10,2,2,0.8,0.674874,3.013127,1,1,1,1
10,1,1,0.6,0.7281075,2.094915,1,1,1,1
10,1,1,0.6,8.241004,3.032717,1,1,1,1
10,2,2,0.75,2.032795,7.619806,1,1,1,1
10,1,2,0.6,5.063041,2.077288,1,0,1,1
10,2,2,0.7,1.328669,1.479428,1,1,1,1
10,2,2,0.55,4.433532,1.640605,1,1,1,1
10,2,2,0.6,1.78427,1.230149,1,1,1,1
10,1,1,0.6,4.86132,2.639193,1,1,1,1
10,1,1,0.6,3.357558,1.747266,1,1,1,1
10,1,1,0.75,0.7839019,2.538044,1,1,1,1
10,2,2,0.65,0.8118232,2.597816,1,1,1,1
10,1,2,0.7,1.572443,1.79421,1,0,1,1
10,1,1,0.8,0.7836778,2.4454,1,1,1,1
10,2,2,0.7,0.7967293,1.370065,1,1,1,1
10,2,2,0.7,0.706917,5.503615,1,1,1,1
10,2,2,0.7,0.7233224,1.394431,1,1,1,1
10,2,2,0.75,0.7761543,1.348878,1,1,1,1
10,2,2,0.7,0.6584458,2.060738,1,1,1,1
10,2,2,0.75,0.7108503,1.816441,1,1,1,1
