Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
Davi Ramos,Arman Tsarukyan,0,0,91,33,1,0,0,0,Lightweight,U-DEC,3,5:00,ddbd0d6259ce57cc,L,W,3 Rnd (5-5-5),Daniel Movahedi,David Lethaby27 - 30.Clemens Werner27 - 30.Lukasz Bosacki28 - 29.,0.32,0.46,0,0,0,0,18,188,0.24,0.38,0.56,0.68,1.0,1.0,0.32,0.44,0.57,0.86,0.0,0.62,0.4,0.52,0.32,0.46
Carlos Felipe,Serghei Spivac,0,0,73,44,3,0,0,0,Heavyweight,M-DEC,3,5:00,ddbd0d6259ce57cc,L,W,3 Rnd (5-5-5),Rich Mitchell,Anders Ohlsson28 - 28.Ben Cartlidge27 - 29.Vito Paolillo27 - 29.,0.36,0.48,0,0,0,0,0,292,0.28,0.49,1.0,1.0,0,0,0.36,0.39,0,1.0,0,0.92,0.36,0.65,0.36,0.49
Calvin Kattar,Dan Ige,0,0,105,84,1,0,0,0,Featherweight,U-DEC,5,5:00,18f5669a92e99d92,W,L,5 Rnd (5-5-5-5-5),Herb Dean,Ben Cartlidge46 - 49.Mark Collett46 - 49.David Lethaby47 - 48.,0.4,0.38,0,0,0,0,66,3,0.33,0.25,0.59,0.65,0.94,0.77,0.4,0.38,0.33,1.0,0.43,0,0.41,0.39,0.4,0.39
Tim Elliott,Ryan Benoit,0,0,67,55,1,1,2,2,Flyweight,U-DEC,3,5:00,18f5669a92e99d92,W,L,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge28 - 29.David Lethaby28 - 29.Clemens Werner28 - 29.,0.39,0.45,2,2,1,0,162,22,0.31,0.4,0.4,0.59,0.69,1.0,0.32,0.44,0.7,0.53,0.9,0,0.47,0.49,0.4,0.45
Jimmie Rivera,Cody Stamann,0,0,48,26,2,1,1,0,Featherweight,U-DEC,3,5:00,18f5669a92e99d92,W,L,3 Rnd (5-5-5),Daniel Movahedi,Anders Ohlsson27 - 30.Vito Paolillo27 - 30.Mark Collett28 - 29.,0.53,0.36,1,0,0,0,119,265,0.36,0.24,0.81,0.73,0.66,0.83,0.47,0.3,0.75,0.73,0.8,0,0.67,0.57,0.54,0.36
Molly McCann,Taila Santos,0,0,57,48,5,0,1,0,Women's Flyweight,U-DEC,3,5:00,18f5669a92e99d92,L,W,3 Rnd (5-5-5),Rich Mitchell,David Lethaby27 - 30.Anders Ohlsson27 - 30.Lukasz Bosacki26 - 30.,0.45,0.39,0,1,0,0,56,473,0.32,0.27,0.76,0.58,1.0,0.71,0.45,0.3,0.5,0.92,0,0.65,0.54,0.46,0.45,0.4
Abdul Razak Alhassan,Mounir Lazzez,0,0,98,67,4,1,0,0,Welterweight,U-DEC,3,5:00,18f5669a92e99d92,L,W,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge27 - 30.Clemens Werner27 - 30.Vito Paolillo28 - 29.,0.5,0.55,0,0,0,0,91,292,0.45,0.43,1.0,0.69,0.63,0.96,0.51,0.52,0.43,0.7,0,1.0,0.51,0.59,0.5,0.55
John Phillips,Khamzat Chimaev,0,0,43,1,2,0,1,0,Middleweight,SUB D'Arce Choke,2,1:12,18f5669a92e99d92,L,W,3 Rnd (5-5-5),Herb Dean,D'Arce Choke On Ground,0.5,0.82,0,1,0,0,0,354,0.5,0.82,0,1.0,0,1.0,0.5,1.0,0,0,0,0.82,0.67,0.89,0.5,0.83
Ricardo Ramos,Lerone Murphy,0,0,22,10,1,0,0,0,Featherweight,KO/TKO Punches,1,4:18,18f5669a92e99d92,L,W,3 Rnd (5-5-5),Rich Mitchell,Punches to Head From Half Guard,0.34,0.55,0,0,0,0,57,82,0.18,0.44,0.33,1.0,0.67,1.0,0.28,0.25,0.5,0.67,1.0,0.68,0.34,0.57,0.34,0.55
Modestas Bukauskas,Andreas Michailidis,0,0,18,23,0,0,0,0,Light Heavyweight,KO/TKO,1,5:00,18f5669a92e99d92,W,L,3 Rnd (5-5-5),Daniel Movahedi,"to    
      Referee Stoppage Between Rounds",0.36,0.5,0,0,0,0,0,9,0.28,0.31,0.67,0.64,1.0,0.89,0.26,0.51,1.0,0.0,0,0,0.37,0.5,0.37,0.5
Jared Gordon,Chris Fishgold,0,0,44,20,3,0,0,1,Featherweight,U-DEC,3,5:00,18f5669a92e99d92,W,L,3 Rnd (5-5-5),Marc Goddard,Lukasz Bosacki26 - 30.Ben Cartlidge26 - 30.Anders Ohlsson26 - 30.,0.63,0.34,0,1,0,1,622,43,0.6,0.27,0.75,0.71,1.0,1.0,0.54,0.31,0.67,0.67,0.74,0,0.85,0.42,0.64,0.34
