Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
Robert Whittaker,Darren Till,1,0,69,41,2,0,0,0,Middleweight,U-DEC,5,5:00,dde70a112e053a6c,W,L,5 Rnd (5-5-5-5-5),Herb Dean,Ben Cartlidge47 - 48.Anders Ohlsson47 - 48.Clemens Werner47 - 48.,0.43,0.41,0,0,0,0,149,35,0.28,0.34,0.7,0.88,0.97,1.0,0.41,0.36,0.64,0.78,0.71,1.0,0.53,0.46,0.44,0.41
Mauricio Rua,Rogerio Nogueira,0,0,54,46,2,0,0,0,Light Heavyweight,S-DEC,3,5:00,dde70a112e053a6c,W,L,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge28 - 29.Mark Collett29 - 28.David Lethaby28 - 29.,0.52,0.46,0,0,0,0,177,81,0.38,0.43,0.79,0.78,0.94,0,0.49,0.43,1.0,1.0,0.5,1.0,0.6,0.58,0.52,0.46
Fabricio Werdum,Alexander Gustafsson,0,0,4,11,1,0,1,0,Heavyweight,SUB Armbar,1,2:30,dde70a112e053a6c,W,L,3 Rnd (5-5-5),Herb Dean,Armbar On Ground,0.8,0.57,1,0,0,0,66,12,0.5,0.6,0,0.5,1.0,0,0.75,0.33,0,0,1.0,1.0,0.8,0.64,0.8,0.58
Carla Esparza,Marina Rodriguez,0,0,33,40,5,0,1,0,Women's Strawweight,S-DEC,3,5:00,dde70a112e053a6c,W,L,3 Rnd (5-5-5),Rich Mitchell,Ben Cartlidge28 - 29.Anders Ohlsson29 - 28.Clemens Werner27 - 30.,0.55,0.52,1,0,0,0,534,64,0.52,0.49,1.0,0,1.0,1.0,0.25,0.39,1.0,0.0,0.65,0.68,0.78,0.71,0.55,0.53
Paul Craig,Gadzhimurad Antigulov,0,0,2,11,0,1,1,0,Light Heavyweight,SUB Triangle Choke,1,2:06,dde70a112e053a6c,W,L,3 Rnd (5-5-5),Marc Goddard,Triangle Choke From Bottom Guard,0.4,0.68,1,0,0,0,0,101,0.4,0.64,0,1.0,0,0,0.4,0.5,0,0,0,0.71,0.57,0.73,0.4,0.69
Alex Oliveira,Peter Sobotta,1,0,45,29,0,0,0,0,Welterweight,U-DEC,3,5:00,dde70a112e053a6c,W,L,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge27 - 30.Anders Ohlsson27 - 30.Vito Paolillo27 - 30.,0.48,0.43,0,0,0,0,26,47,0.37,0.28,0.55,0.64,0.77,0.9,0.44,0.43,1.0,0,1.0,0,0.5,0.44,0.48,0.43
Khamzat Chimaev,Rhys McKee,0,0,40,0,1,0,1,0,Welterweight,KO/TKO Punches,1,3:09,dde70a112e053a6c,W,L,3 Rnd (5-5-5),Rich Mitchell,Punches to Head From Mount,0.64,,1,0,0,0,179,0,0.65,0,0,0,0,0,0.0,0,0,0,0.66,0,0.69,0,0.65,0
Francisco Trinaldo,Jai Herbert,1,1,30,21,2,0,2,0,Lightweight,KO/TKO Punch,3,1:30,dde70a112e053a6c,W,L,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,0.51,0.3,2,0,1,0,198,200,0.43,0.24,0.5,0.8,0.89,1.0,0.42,0.26,0.75,0.83,0.89,0.0,0.56,0.41,0.52,0.3
Nicolas Dalby,Jesse Ronson,0,1,20,30,0,0,0,1,Welterweight,Overturned Rear Naked Choke,1,2:48,dde70a112e053a6c,NC,NC,3 Rnd (5-5-5),Marc Goddard,"Rear Naked Choke
      Failed Drug Test by Ronson",0.4,0.66,0,1,0,0,26,21,0.26,0.65,0.8,0.25,1.0,1.0,0.39,0.66,0.5,0.4,0,0.88,0.38,0.67,0.4,0.67
Tom Aspinall,Jake Collier,1,0,10,3,0,0,0,0,Heavyweight,KO/TKO Punches,1,0:45,dde70a112e053a6c,W,L,3 Rnd (5-5-5),Daniel Movahedi,Punches to Head At Distance,1.0,0.33,0,0,0,0,2,0,1.0,0.14,1.0,0,1.0,1.0,1.0,0.33,0,0,1.0,0,1.0,0.33,1.0,0.33
Movsar Evloev,Mike Grundy,0,0,79,20,0,6,0,1,Featherweight,U-DEC,3,5:00,dde70a112e053a6c,W,L,3 Rnd (5-5-5),Marc Goddard,Lukasz Bosacki27 - 30.Vito Paolillo27 - 30.David Lethaby28 - 29.,0.52,0.3,0,1,0,0,48,155,0.44,0.21,0.93,0.75,0.81,0.0,0.51,0.28,0.88,1.0,0,1.0,0.55,0.31,0.53,0.3
Tanner Boser,Raphael Pessoa,0,0,43,12,0,0,0,0,Heavyweight,KO/TKO Punch,2,2:36,dde70a112e053a6c,W,L,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,0.71,0.33,0,0,0,0,6,0,0.48,0.21,1.0,1.0,0.95,0.67,0.71,0.34,0,0.0,0.75,0,0.72,0.35,0.72,0.33
Bethe Correia,Pannie Kianzad,0,0,103,56,0,1,0,0,Women's Bantamweight,U-DEC,3,5:00,dde70a112e053a6c,L,W,3 Rnd (5-5-5),Rich Mitchell,Lukasz Bosacki27 - 30.Clemens Werner27 - 30.David Lethaby28 - 29.,0.39,0.51,0,0,0,0,121,5,0.34,0.45,0.7,0.71,0.33,1.0,0.37,0.51,0.6,0.75,0.5,0,0.47,0.52,0.39,0.52
Ramazan Emeev,Niklas Stolze,0,0,29,30,4,1,2,0,Welterweight,U-DEC,3,5:00,dde70a112e053a6c,W,L,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge27 - 30.Anders Ohlsson27 - 30.Vito Paolillo28 - 29.,0.43,0.41,2,0,0,0,410,21,0.37,0.31,1.0,0.43,0.67,0.61,0.35,0.41,0.78,0.33,0.75,0.67,0.59,0.48,0.43,0.42
Nathaniel Wood,John Castaneda,0,0,131,55,1,0,0,0,Bantamweight,U-DEC,3,5:00,dde70a112e053a6c,W,L,3 Rnd (5-5-5),Marc Goddard,Lukasz Bosacki27 - 30.Mark Collett27 - 30.David Lethaby27 - 30.,0.56,0.42,0,0,0,0,49,11,0.41,0.32,0.64,0.86,0.87,0.93,0.56,0.41,0.73,1.0,0,0,0.57,0.47,0.56,0.42
Deiveson Figueiredo,Joseph Benavidez,2,0,35,18,0,0,4,0,Flyweight,SUB Rear Naked Choke,1,4:48,ddbd0d6259ce57cc,W,L,5 Rnd (5-5-5-5-5),Marc Goddard,Rear Naked Choke,0.87,0.64,4,0,0,0,143,0,0.86,0.53,1.0,0.71,0,0.83,0.75,0.64,0,0,0.96,0,0.89,0.67,0.88,0.64
Jack Hermansson,Kelvin Gastelum,0,0,2,0,0,1,1,0,Middleweight,SUB Heel Hook,1,1:18,ddbd0d6259ce57cc,W,L,3 Rnd (5-5-5),Herb Dean,Heel Hook From Bottom Guard,0.5,0.0,1,0,0,0,0,33,0.0,0.0,0.0,0.0,1.0,0,0.5,0.0,0,0,0,0,0.5,0.2,0.5,0.0
Marc Diakiese,Rafael Fiziev,0,0,78,68,1,0,0,0,Lightweight,U-DEC,3,5:00,ddbd0d6259ce57cc,L,W,3 Rnd (5-5-5),Rich Mitchell,David Lethaby27 - 30.Lukasz Bosacki28 - 29.Anders Ohlsson28 - 29.,0.45,0.62,0,0,0,0,22,169,0.3,0.43,0.9,0.8,0.82,0.94,0.45,0.61,1.0,0.75,0,1.0,0.48,0.64,0.46,0.63
Ariane da Silva,Luana Carolina,0,0,3,2,0,0,1,1,Women's Flyweight,SUB Kneebar,1,1:28,ddbd0d6259ce57cc,W,L,3 Rnd (5-5-5),Daniel Movahedi,Kneebar On Ground,0.75,0.5,1,1,0,0,67,0,0.5,0.0,1.0,0,0,1.0,0.75,0.5,0,0,0,0,0.92,0.5,0.75,0.5
Alexandre Pantoja,Askar Askarov,0,0,41,32,2,1,0,0,Flyweight,U-DEC,3,5:00,ddbd0d6259ce57cc,L,W,3 Rnd (5-5-5),Marc Goddard,Lukasz Bosacki28 - 29.David Lethaby28 - 29.Clemens Werner28 - 29.,0.51,0.65,0,0,0,1,137,311,0.42,0.58,0.63,1.0,1.0,1.0,0.5,0.63,1.0,0.83,1.0,0.67,0.56,0.67,0.52,0.65
Roman Dolidze,Khadis Ibragimov,1,0,19,4,0,0,0,0,Light Heavyweight,KO/TKO Knee,1,4:15,ddbd0d6259ce57cc,W,L,3 Rnd (5-5-5),Herb Dean,Knee to Head At Distance,0.86,0.28,0,0,0,0,3,34,0.82,0.0,1.0,0.33,0.9,1.0,0.81,0.25,0,0,1.0,0.5,0.86,0.5,0.86,0.29
Grant Dawson,Nad Narimani,0,0,53,31,2,0,1,0,Catch Weight,U-DEC,3,5:00,ddbd0d6259ce57cc,W,L,3 Rnd (5-5-5),Daniel Movahedi,Anders Ohlsson26 - 30.Clemens Werner27 - 30.David Lethaby27 - 29.,0.46,0.4,1,0,0,0,491,9,0.34,0.29,0.36,0.8,0.85,1.0,0.44,0.38,0,1.0,0.71,1.0,0.62,0.54,0.46,0.41
Joe Duffy,Joel Alvarez,0,0,18,14,0,1,1,0,Lightweight,SUB Guillotine Choke,1,2:25,ddbd0d6259ce57cc,L,W,3 Rnd (5-5-5),Marc Goddard,Guillotine Choke From Guard,0.53,0.48,0,1,0,0,9,0,0.38,0.29,0.8,0.75,0.8,0.89,0.54,0.5,0,0.0,0,0,0.54,0.49,0.54,0.49
Brett Johns,Montel Jackson,0,1,11,26,8,2,1,0,Bantamweight,U-DEC,3,5:00,ddbd0d6259ce57cc,W,L,3 Rnd (5-5-5),Daniel Movahedi,Ben Cartlidge28 - 29.Anders Ohlsson28 - 29.Clemens Werner28 - 29.,0.57,0.59,1,0,0,1,522,161,0.5,0.51,0.67,1.0,1.0,0.67,0.36,0.45,1.0,1.0,0.5,0.88,0.77,0.81,0.58,0.59
Malcolm Gordon,Amir Albazi,0,0,12,3,1,0,1,0,Bantamweight,SUB Triangle Choke,1,4:42,ddbd0d6259ce57cc,L,W,3 Rnd (5-5-5),Herb Dean,Triangle Choke From Bottom Guard,0.18,0.42,0,1,1,0,22,141,0.09,0.33,1.0,1.0,0.25,1.0,0.19,0.4,0,0,0,0.67,0.28,0.61,0.19,0.43
