"Status","","'=","in Betrieb",""
"","","'=","genehmigt, noch nicht in Betrieb",""


"Zuständige Dienststelle","Standortgemeinde","Hersteller","Typbezeichnung des Herstellers","Generatorleistung [MW]","Nabenhöhe [m]","Rotordurchmesser [m]","Status","Inbetriebnahmedatum","Stilllegedatum","Ost","Nord","Herkunft der Daten","Stand der Daten"
"Landratsamt Main-Tauber-Kreis","Königheim","Enercon","E40 / WK III","0,60","78,00","44,00","in Betrieb","13.09.2001",,"537673","5493631","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Königheim","Enercon","E40 / WK III","0,60","78,00","44,00","in Betrieb","13.09.2001",,"537540","5493880","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","Jacobs","MD-77","1,50","100,00","77,00","in Betrieb","30.11.2004",,"579183","5485027","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","Jacobs","MD-77","1,50","100,00","77,00","in Betrieb","30.11.2004",,"578705","5484556","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Creglingen","Jacobs","MD-77","1,50","100,00","77,00","in Betrieb","30.11.2004",,"579006","5484436","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Werbach","Vestas","V80-2.0 MW","2,00","95,00","80,00","in Betrieb","01.01.2007",,"549165","5506735","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Werbach","Vestas","V80-2.0 MW","2,00","95,00","80,00","in Betrieb","01.01.2007",,"549925","5507205","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Werbach","Vestas","V80-2.0 MW","2,00","95,00","80,00","in Betrieb","01.01.2007",,"549405","5507035","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Werbach","Vestas","V80-2.0 MW","2,00","95,00","80,00","in Betrieb","01.01.2007",,"549515","5507385","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Werbach","Vestas","V80-2.0 MW","2,00","95,00","80,00","in Betrieb","01.01.2007",,"549585","5506725","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Werbach","Vestas","V80-2.0 MW","2,00","95,00","80,00","in Betrieb","01.01.2007",,"549825","5507365","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Werbach","Vestas","V80-2.0 MW","2,00","95,00","80,00","in Betrieb","01.01.2007",,"549225","5507275","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Werbach","Vestas","V80-2.0 MW","2,00","95,00","80,00","in Betrieb","01.01.2007",,"549645","5507135","LUBW      ","2025"
"Landratsamt Main-Tauber-Kreis","Werbach","Vestas","V80-2.0 MW","2,00","95,00","80,00","in Betrieb","01.01.2007",,"549025","5507085","LUBW      ","2025"
