Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Accuracy
2,1,1,5,1.888,0.754,1
2,1,1,5,1.856,1.11,1
2,2,2,3,2.164,0.822,1
2,1,1,4,1.928,1.475,1
2,2,2,6,1.302,0.618,1
2,2,2,6,1.901,0.545,1
2,2,1,3,2.456,1.358,0
2,1,1,5,2.292,0.89,1
2,1,1,4,1.935,0.767,1
2,1,1,6,2.096,0.741,1
2,2,2,6,1.163,0.668,1
2,2,2,6,3.227,0.796,1
2,1,1,6,1.619,1.449,1
2,2,2,5,1.61,1.026,1
2,1,1,6,1.842,0.781,1
2,1,1,5,11.962,0.934,1
2,2,2,6,1.509,0.72,1
2,2,2,6,2.105,1.062,1
2,1,1,6,5.348,0.76,1
2,2,2,6,1.229,0.736,1
2,1,2,4,4.163,0.747,0
2,2,2,6,1.206,0.654,1
2,1,1,3,4.671,0.683,1
2,2,2,6,2.229,1.957,1
2,2,2,6,1.79,0.711,1
2,2,2,6,1.472,0.72,1
2,2,2,3,3.473,0.751,1
2,2,2,3,3.074,0.909,1
2,1,1,6,1.302,0.666,1
2,1,1,4,2.657,1.239,1
2,2,2,5,1.59,0.742,1
2,1,2,5,2.061,0.859,0
2,1,1,6,1.306,0.697,1
2,1,1,6,1.814,0.629,1
2,1,1,5,1.647,0.723,1
2,1,1,4,2.028,0.822,1
2,1,1,6,1.988,0.94,1
2,2,2,5,1.682,1.057,1
2,1,1,3,3.032,1.006,1
2,2,2,5,1.749,0.814,1
2,1,1,5,2.039,0.679,1
2,2,2,5,10.031,0.69,1
2,2,2,6,1.271,0.593,1
2,1,1,5,4.568,0.904,1
2,2,2,6,3.951,0.73,1
2,2,2,6,1.414,1.103,1
2,1,1,3,5.689,0.799,1
2,2,2,4,13.545,0.957,1
2,2,2,5,5.87,0.765,1
2,2,1,3,4.148,1.013,0
2,2,2,6,5.844,0.779,1
2,2,2,5,1.674,0.595,1
2,2,2,6,0.989,0.636,1
2,2,2,6,1.592,0.573,1
2,1,1,4,1.896,1.242,1
2,1,2,4,2.923,0.667,0
2,2,1,3,3.264,2.162,0
2,2,2,6,4.636,1.015,1
2,1,1,4,1.832,1.102,1
2,1,1,6,0.884,0.711,1
2,2,1,4,5.862,0.97,0
2,2,1,4,3.208,0.783,0
2,2,2,6,1.365,0.649,1
2,2,1,3,4.868,0.536,0
2,1,1,3,3.903,0.989,1
2,1,1,6,1.687,0.571,1
2,2,2,5,2.852,0.735,1
2,1,1,4,6.251,1.014,1
2,1,1,5,2.641,2.146,1
2,1,1,6,3.755,0.763,1
2,2,2,6,1.975,0.774,1
2,1,1,6,2.401,0.567,1
3,2,2,2,3.527,3.041,1
3,1,1,1,1.88,1.109,1
3,1,1,2,2.476,0.969,1
3,1,1,3,1.787,1.355,1
3,2,2,3,2.198,0.944,1
3,2,2,3,2.387,0.97,1
3,1,1,3,1.422,1.163,1
3,1,1,2,1.99,2.343,1
3,1,1,4,1.461,0.891,1
3,1,2,5,1.648,0.756,0
3,1,1,5,1.828,0.951,1
3,2,1,5,1.496,0.864,0
3,1,1,1,3.137,0.761,1
3,2,2,2,1.971,0.694,1
3,1,2,1,1.058,0.853,0
3,1,1,4,1.315,0.779,1
3,2,2,3,1.098,0.813,1
3,2,2,5,1.069,0.848,1
3,1,1,4,1.08,1.07,1
3,2,2,5,1.628,0.963,1
3,1,2,3,2.776,1.359,0
3,2,1,5,2.339,1.305,0
3,1,1,4,1.699,0.876,1
3,1,2,5,1.235,1.093,0
3,1,1,4,1.611,0.972,1
3,2,2,5,1.503,1.294,1
3,2,1,4,0.909,0.74,0
3,2,2,5,0.69,0.731,1
3,1,1,5,1.382,0.996,1
3,2,2,3,0.447,1.413,1
3,2,1,3,0.749,0.767,0
3,2,2,5,0.736,0.904,1
3,1,1,4,0.302,0.675,1
3,1,1,2,2.647,0.967,1
3,1,2,5,1.017,1.483,0
3,2,2,2,3.061,0.711,1
3,1,1,6,1.235,0.788,1
3,2,2,4,1.264,0.797,1
3,2,2,5,1.775,0.809,1
3,2,2,6,1.758,0.732,1
3,2,2,6,1.208,0.758,1
3,2,2,6,1.3,0.751,1
3,1,2,5,1.571,0.886,0
3,2,1,4,1.343,0.855,0
3,2,1,5,1.408,0.661,0
3,2,2,5,5.924,0.734,1
3,1,2,6,3.027,1.106,0
3,1,2,5,2.664,0.819,0
3,1,1,4,2.82,0.754,1
3,1,1,5,1.988,0.767,1
3,2,1,2,1.139,1.009,0
3,2,2,3,1.003,0.8,1
3,1,1,3,2.45,0.992,1
3,1,1,5,2.041,0.82,1
3,2,2,6,1.639,0.696,1
3,2,1,4,2.377,0.772,0
3,2,1,5,1.665,0.725,0
3,1,2,5,0.792,0.748,0
3,2,2,6,1.259,0.672,1
3,2,1,5,0.614,0.65,0
3,2,1,4,1.041,0.764,0
3,1,1,5,0.665,0.895,1
3,1,2,5,1.582,0.873,0
3,1,2,4,1.645,0.69,0
3,2,1,4,1.256,0.64,0
3,1,2,5,0.585,0.644,0
3,1,1,3,0.977,0.732,1
3,2,2,4,1.798,0.918,1
3,2,1,4,6.049,0.812,0
3,1,2,4,0.867,0.735,0
3,1,2,5,1.053,2.696,0
3,2,1,3,1.357,0.775,0
3,1,1,5,2.265,0.716,1
3,2,2,5,1.751,0.751,1
3,1,1,4,1.17,0.86,1
3,1,2,1,1.309,1.726,0
3,1,1,3,1.155,1.101,1
3,2,2,5,0.952,0.789,1
3,2,2,4,1.486,0.7,1
3,2,1,5,1.219,0.953,0
3,1,1,4,1.045,0.699,1
3,2,2,6,0.702,0.736,1
3,1,2,5,1.062,0.613,0
3,2,1,5,1.146,0.816,0
3,1,2,4,1.12,0.782,0
3,2,1,4,1.681,0.704,0
3,2,2,5,1.116,0.739,1
3,1,1,6,1.611,0.753,1
3,1,2,5,1.372,0.679,0
3,2,2,6,1.36,0.591,1
3,1,2,6,1.519,0.646,0
3,1,2,4,1.118,0.836,0
3,2,2,4,1.587,1.629,1
3,2,2,4,1.231,0.665,1
3,2,2,5,1.819,0.653,1
3,1,2,6,1.218,0.69,0
3,2,2,2,1.892,0.851,1
3,1,1,1,1.361,0.679,1
3,1,1,1,1.43,0.708,1
3,2,2,2,1.901,0.617,1
3,2,2,2,2.269,0.569,1
3,1,1,1,4.56,1.006,1
3,1,1,1,1.506,0.867,1
3,2,1,1,3.31,0.937,0
3,2,1,1,1.324,0.738,0
3,1,1,2,2.054,0.73,1
3,1,1,4,1.495,0.78,1
3,2,1,4,1.259,0.864,0
3,1,1,4,1.893,0.919,1
3,1,2,5,1.168,0.793,0
3,2,2,5,1.4,0.714,1
3,1,1,3,1.578,1.113,1
3,2,2,5,2.253,0.995,1
3,2,2,4,1.372,0.796,1
3,1,1,4,1.267,0.671,1
3,2,1,2,3.537,0.818,0
3,2,2,2,1.571,0.589,1
3,1,1,1,4.166,0.831,1
3,1,2,2,1.024,0.523,0
3,2,1,1,1.27,0.63,0
3,2,2,5,1.101,0.69,1
3,2,1,4,1.252,0.54,0
3,2,2,5,0.987,0.552,1
3,1,1,4,1.026,0.551,1
3,1,2,5,0.521,0.6,0
3,1,2,2,0.36,0.634,0
3,1,1,1,0.311,0.711,1
3,2,2,3,1.304,0.682,1
3,2,1,6,1.066,0.683,0
3,1,2,2,1.803,0.7,0
3,1,1,3,0.563,0.713,1
3,2,2,1,0.871,1.051,1
3,2,2,2,0.557,0.518,1
3,2,1,4,0.6,0.919,0
3,2,2,5,0.501,0.626,1
3,1,1,5,0.969,0.596,1
3,1,2,5,0.396,0.539,0
3,1,1,4,0.598,0.555,1
3,1,2,5,0.232,0.548,0
3,2,1,4,0.237,0.572,0
3,1,2,3,0.268,0.717,0
3,2,2,5,0.844,0.801,1
3,2,2,5,0.313,0.639,1
3,1,1,4,0.321,0.692,1
3,1,2,5,1.702,0.592,0
3,1,2,5,1.115,0.542,0
3,2,2,1,1.023,0.906,1
3,2,1,2,0.924,0.664,0
3,2,1,1,1.265,0.851,0
3,1,1,5,1.138,0.776,1
4,2,2,6,4.165,0.999,1
4,1,1,6,2.207,1.2,1
4,1,2,4,3.158,1.441,0
4,2,2,6,2.03,1.039,1
4,2,1,2,3.888,1.046,0
4,2,2,6,1.67,0.905,1
4,1,1,6,1.648,1.299,1
4,2,1,5,2.61,0.9,0
4,2,2,5,1.79,1.086,1
4,2,1,2,4.424,1.42,0
4,1,1,3,2.55,1.795,1
4,1,1,2,3.844,0.853,1
4,1,1,6,0.979,0.909,1
4,2,2,5,2.175,0.883,1
4,2,2,2,3.005,0.907,1
4,1,1,6,1.515,0.881,1
4,1,1,6,1.967,0.847,1
4,1,1,1,2.999,0.756,1
4,1,1,3,3.014,0.991,1
4,2,2,6,1.498,0.914,1
4,1,1,6,2.191,0.695,1
4,2,2,6,1.335,0.772,1
4,1,1,4,2.611,0.844,1
4,1,1,6,1.377,0.753,1
4,1,1,5,1.504,0.835,1
4,2,1,3,2.408,1.28,0
4,2,1,3,1.666,1.004,0
4,1,1,6,3.024,0.801,1
4,1,1,4,2.474,0.835,1
4,2,2,6,2.259,1.172,1
4,2,2,4,2.173,1.682,1
4,1,1,1,2.328,2.487,1
4,1,1,6,2.353,0.762,1
4,1,1,2,4.599,0.953,1
4,1,1,1,1.658,4.793,1
4,1,1,4,2.465,0.838,1
4,1,1,3,2.606,0.959,1
4,1,1,6,0.974,1.069,1
4,2,1,3,2.745,0.861,0
4,2,1,2,2.26,1.949,0
4,1,1,6,1.673,0.781,1
4,1,1,6,2.085,0.665,1
4,2,2,5,1.92,0.738,1
4,2,1,5,4.057,1.715,0
4,1,1,3,3.725,0.734,1
4,2,2,2,3.088,0.785,1
4,1,1,6,2.723,0.929,1
4,1,1,5,1.734,1.102,1
4,1,1,2,4.12,0.795,1
4,2,2,3,6.644,0.793,1
4,2,1,6,1.973,0.696,0
4,2,2,3,6.424,0.732,1
4,1,1,2,2.739,1.021,1
4,2,2,6,1.234,0.777,1
4,1,1,6,2.335,0.676,1
4,1,1,6,4.461,0.699,1
4,2,2,6,1.69,0.879,1
4,2,2,1,3.459,0.783,1
4,2,2,6,1.357,0.709,1
4,2,2,6,1.376,0.753,1
4,1,1,6,1.499,0.71,1
4,2,2,6,2.046,0.592,1
4,2,2,4,8.152,0.77,1
4,1,1,5,1.842,0.848,1
4,2,2,4,2.123,0.806,1
4,2,2,6,3.968,0.657,1
4,2,2,4,2.398,0.877,1
4,2,2,6,4.061,0.807,1
4,2,2,3,4.417,0.71,1
4,2,1,2,3.419,1.711,0
