Fight_Id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id_x,Result_1,Result_2,Time Format,Referee,Method Details,Kd_1,Kd_2,Sig. Str._1,Sig. Str._2,Sig. Str. %_1,Sig. Str. %_2,Total Str._1,Total Str._2,Td_1,Td_2,Td %_1,Td %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_1,Head_2,Body_1,Body_2,Leg_1,Leg_2,Distance_1,Distance_2,Clinch_1,Clinch_2,Ground_1,Ground_2,Event_Id_y
afd5e85676eb697d,win,Johny Hendricks,Ricardo Funch,0,0,49,16,7,1,4,0,Welterweight,U-DEC,3,5:00,821cd80aab70d5f9,W,L,3 Rnd (5-5-5),Dan Miragliotta,27 - 30.27 - 30.25 - 30.,0,0,49 of 83,16 of 26,59%,61%,114 of 155,28 of 39,7 of 14,1 of 6,50%,16%,4,0,0,0,9:55,2:10,36 of 66,6 of 13,6 of 9,6 of 9,7 of 8,4 of 4,10 of 29,6 of 11,30 of 42,10 of 15,9 of 12,0 of 0,821cd80aab70d5f9
a7c63a2b33049ace,win,Rousimar Palhares,Lucio Linhares,0,0,6,8,1,2,3,2,Middleweight,SUB Heel Hook,2,3:21,821cd80aab70d5f9,W,L,3 Rnd (5-5-5),Greg Franklin,Heel Hook On Ground,0,0,6 of 14,8 of 27,42%,29%,21 of 32,31 of 51,1 of 2,2 of 2,50%,100%,3,2,3,0,4:05,1:51,5 of 13,8 of 25,1 of 1,0 of 0,0 of 0,0 of 2,2 of 5,0 of 8,0 of 0,0 of 0,4 of 9,8 of 19,821cd80aab70d5f9
483d934c46351c78,win,DaMarques Johnson,Edgar Garcia,0,0,10,17,0,1,1,1,Welterweight,SUB Triangle Choke,1,4:03,821cd80aab70d5f9,W,L,3 Rnd (5-5-5),Herb Dean,Triangle Choke From Bottom Guard,0,0,10 of 36,17 of 48,27%,35%,10 of 36,26 of 57,0 of 0,1 of 2,---,50%,1,1,0,0,0:00,1:48,6 of 31,15 of 43,3 of 4,1 of 3,1 of 1,1 of 2,8 of 31,6 of 28,2 of 5,3 of 7,0 of 0,8 of 13,821cd80aab70d5f9
7e50ae4dbdd380a1,win,TJ Grant,Kevin Burns,1,1,28,14,1,0,0,0,Welterweight,KO/TKO Punch,1,4:57,821cd80aab70d5f9,W,L,3 Rnd (5-5-5),Greg Franklin,Punch to Head At Distance,1,1,28 of 40,14 of 37,70%,37%,32 of 44,21 of 44,1 of 3,0 of 0,33%,---,0,0,0,0,2:28,0:39,10 of 21,11 of 33,8 of 9,0 of 0,10 of 10,3 of 4,14 of 21,3 of 19,8 of 10,3 of 5,6 of 9,8 of 13,821cd80aab70d5f9
e246b6a8cd7853de,win,Roy Nelson,Brendan Schaub,1,0,8,12,1,0,0,0,Heavyweight,KO/TKO Punch,1,3:45,91d73ee59347ac16,W,L,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,1,0,8 of 35,12 of 48,22%,25%,9 of 36,14 of 50,1 of 2,0 of 0,50%,---,0,0,0,0,1:23,0:00,8 of 35,12 of 44,0 of 0,0 of 4,0 of 0,0 of 0,7 of 31,9 of 36,0 of 2,3 of 12,1 of 2,0 of 0,91d73ee59347ac16
3f0826158f87f41d,win,Matt Hamill,Jon Jones,0,0,5,44,0,1,0,0,Light Heavyweight,DQ,1,4:14,91d73ee59347ac16,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Illegal Elbows by Jones,0,0,5 of 17,44 of 88,29%,50%,7 of 19,55 of 106,0 of 1,1 of 1,0%,100%,0,0,0,0,0:00,1:24,2 of 11,33 of 76,0 of 0,7 of 8,3 of 6,4 of 4,5 of 17,9 of 25,0 of 0,2 of 2,0 of 0,33 of 61,91d73ee59347ac16
de2328aa13e5ecdc,win,Kevin Ferguson,Houston Alexander,0,0,27,43,4,0,1,0,Catch Weight,U-DEC,3,5:00,91d73ee59347ac16,W,L,3 Rnd (5-5-5),Josh Rosenthal,Glenn Trowbridge28 - 29.Tony Weeks28 - 29.Dave Hagen27 - 30.,0,0,27 of 66,43 of 79,40%,54%,36 of 76,61 of 98,4 of 4,0 of 0,100%,---,1,0,0,0,3:21,0:16,23 of 62,11 of 35,4 of 4,0 of 0,0 of 0,32 of 44,12 of 46,40 of 68,4 of 9,1 of 8,11 of 11,2 of 3,91d73ee59347ac16
5ab4bdec4db84f7d,win,Frankie Edgar,Matt Veach,0,0,25,7,0,3,1,0,Lightweight,SUB Rear Naked Choke,2,2:20,91d73ee59347ac16,W,L,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,0,0,25 of 61,7 of 42,40%,16%,36 of 72,7 of 42,0 of 3,3 of 9,0%,33%,1,0,0,0,0:37,2:01,19 of 49,5 of 39,5 of 10,2 of 2,1 of 2,0 of 1,11 of 38,5 of 35,2 of 5,2 of 7,12 of 18,0 of 0,91d73ee59347ac16
f6246d2b9f663e33,win,Matt Mitrione,Marcus Jones,1,0,14,10,0,3,0,1,Heavyweight,KO/TKO Punches,2,0:10,91d73ee59347ac16,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Punches to Head At Distance,1,0,14 of 34,10 of 19,41%,52%,17 of 37,10 of 19,0 of 0,3 of 4,---,75%,0,1,0,0,1:03,2:41,6 of 25,6 of 14,4 of 4,1 of 2,4 of 5,3 of 3,5 of 20,6 of 14,6 of 10,4 of 5,3 of 4,0 of 0,91d73ee59347ac16
f5affe923c640d0e,win,James McSweeney,Darrill Schoonover,0,0,58,16,1,0,2,1,Heavyweight,KO/TKO Knee,3,3:20,91d73ee59347ac16,W,L,3 Rnd (5-5-5),Josh Rosenthal,Knee to Head In Clinch,0,0,58 of 95,16 of 48,61%,33%,103 of 140,27 of 59,1 of 2,0 of 3,50%,0%,2,1,2,1,7:16,2:06,40 of 75,13 of 35,14 of 15,2 of 9,4 of 5,1 of 4,17 of 34,6 of 34,10 of 15,7 of 11,31 of 46,3 of 3,91d73ee59347ac16
