First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Sarah,Kaufman,,"5' 5""",135 lbs.,"66.0""",Orthodox,18,4,0,False
Lone'er,Kavanagh,,"5' 6""",125 lbs.,"67.0""",Orthodox,9,1,0,False
Yusuke,Kawaguchi,,"6' 0""",255 lbs.,--,,18,12,0,False
Canaan,Kawaihae,,"6' 0""",145 lbs.,"71.0""",Southpaw,6,2,0,False
Tatsuya,Kawajiri,Crusher,"5' 7""",145 lbs.,"69.0""",Orthodox,36,11,2,False
Ryo,Kawamura,,"5' 11""",205 lbs.,--,Orthodox,18,9,4,False
Masuto,Kawana,Mast,"5' 6""",145 lbs.,"69.0""",Orthodox,10,4,0,False
Doug,Kay,,--,--,--,,0,0,0,False
Toshiomi,Kazama,,"5' 7""",135 lbs.,"69.0""",Orthodox,11,5,0,False
Julie,Kedzie,,"5' 5""",135 lbs.,--,Orthodox,16,13,0,False
Ryan,Keenan,,"5' 10""",170 lbs.,--,,6,2,0,False
Losene,Keita,Black Panther,"5' 8""",145 lbs.,"72.0""",Orthodox,16,1,0,False
CJ,Keith,,"6' 0""",155 lbs.,--,Orthodox,8,4,0,False
Chris,Kelades,The Greek Assassin,"5' 7""",125 lbs.,"68.0""",Orthodox,9,3,0,False
Brian,Kelleher,Boom,"5' 6""",135 lbs.,"66.0""",Switch,24,16,0,False
Mayana,Kellem,,"5' 5""",135 lbs.,--,Orthodox,7,1,0,False
Tony,Kelley,Primetime,"5' 9""",135 lbs.,"70.0""",Switch,8,3,0,False
Paul,Kelly,,"5' 9""",155 lbs.,"70.0""",Orthodox,14,5,0,False
John,Kelly,,"5' 9""",170 lbs.,--,,5,4,0,False
Daniel,Kelly,,"6' 0""",185 lbs.,"70.0""",Southpaw,13,4,0,False
Tim,Kennedy,,"5' 11""",185 lbs.,"74.0""",Orthodox,18,6,0,False
Steve,Kennedy,The Steamrolla,"5' 11""",170 lbs.,--,Orthodox,24,8,0,False
Jeremy,Kennedy,JBC,"5' 11""",145 lbs.,"71.0""",Orthodox,11,1,0,False
Waylon,Kennell,,"6' 0""",185 lbs.,--,,6,2,0,False
Casey,Kenney,,"5' 7""",135 lbs.,"68.0""",Southpaw,16,4,1,False
Maimaitituoheti,Keremuaili,Kyrgyz Mountain Eagle,"5' 6""",135 lbs.,"66.0""",Orthodox,26,11,0,False
Aurelijus,Kerpe,,--,--,--,Orthodox,11,22,0,False
Mark,Kerr,The Smashing Machine,"6' 3""",266 lbs.,--,Switch,15,11,0,False
Will,Kerr,,"5' 10""",155 lbs.,"69.0""",Orthodox,9,3,0,False
Ron,Keslar,,--,185 lbs.,--,,11,9,0,False
Rustam,Khabilov,Tiger,"5' 8""",155 lbs.,"73.0""",Orthodox,24,4,0,False
Adam,Khaliev,,"6' 0""",170 lbs.,--,Orthodox,6,0,0,False
Sergey,Khandozhko,Honda,"6' 1""",170 lbs.,"74.0""",Orthodox,28,6,1,False
Sergei,Kharitonov,,"6' 0""",245 lbs.,--,Orthodox,26,6,0,False
Alfred,Khashakyan,The Fearless,"5' 8""",135 lbs.,"70.0""",Orthodox,8,3,0,False
Aziz,Khaydarov,,"5' 11""",155 lbs.,"72.0""",Orthodox,21,7,0,False
Mansher,Khera,New Era,"5' 10""",155 lbs.,"68.0""",Orthodox,10,0,0,False
Aliaskhab,Khizriev,Black Wolf,"5' 9""",185 lbs.,"74.0""",Southpaw,14,0,0,False
WonBin,Ki,The Danger,"5' 11""",155 lbs.,"73.0""",Orthodox,18,9,0,False
Pannie,Kianzad,Banzai,"5' 7""",135 lbs.,"66.0""",Orthodox,17,9,0,False
Akira,Kikuchi,,"5' 8""",155 lbs.,--,Orthodox,16,4,0,False
Katsunori,Kikuno,,"5' 8""",145 lbs.,"66.0""",Orthodox,24,8,2,False
Sanae,Kikuta,,"5' 9""",200 lbs.,--,Orthodox,31,9,3,False
Jacob,Kilburn,The Killer,"5' 9""",145 lbs.,"72.0""",Orthodox,8,4,0,False
Dong Hyun,Kim,Stun Gun,"6' 2""",170 lbs.,"76.0""",Southpaw,22,4,1,False
Jin Oh,Kim,,"5' 9""",205 lbs.,--,Orthodox,0,4,0,False
Dae Won,Kim,,"5' 11""",180 lbs.,--,Orthodox,11,7,0,False
Jong Wang,Kim,,"6' 1""",240 lbs.,--,,13,23,0,False
Jong Won,Kim,,"5' 7""",139 lbs.,--,Orthodox,0,1,0,False
Min Soo,Kim,,"6' 1""",255 lbs.,--,Southpaw,3,7,0,False
Jong Man,Kim,Special Force,"5' 7""",139 lbs.,--,Orthodox,23,11,3,False
Ji Yeon,Kim,Firefist,"5' 7""",125 lbs.,"72.0""",Orthodox,9,7,2,False
MinWoo,Kim,Korean MOAI,"5' 8""",135 lbs.,"72.0""",Orthodox,10,2,0,False
HanSeul,Kim,Spade,"6' 1""",170 lbs.,"73.0""",Southpaw,13,6,0,False
KyeungPyo,Kim,Redhorse,"5' 9""",155 lbs.,"71.0""",Orthodox,11,4,0,False
Sangwook,Kim,Frogman,"6' 0""",155 lbs.,"71.0""",Orthodox,13,3,0,False
SangWon,Kim,No Problem,"5' 9""",145 lbs.,"69.0""",Orthodox,10,6,1,False
KyuSung,Kim,,"5' 11""",125 lbs.,"69.0""",Orthodox,12,6,0,False
So Yul,Kim,,--,115 lbs.,--,,8,1,0,False
Jeremy,Kimball,,"6' 0""",205 lbs.,"72.0""",Switch,15,8,0,False
Rob,Kimmons,The Rosedale Reaper,"5' 10""",185 lbs.,"73.0""",Orthodox,25,9,0,False
Dustin,Kimura,The Diamond,"5' 7""",135 lbs.,"71.0""",Orthodox,11,3,0,False
Taiei,Kin,,"5' 11""",185 lbs.,--,Orthodox,6,3,0,False
Mike,King,,"6' 3""",185 lbs.,--,,5,1,0,False
Kyle,Kingsbury,Kingsbu,"6' 4""",205 lbs.,"79.0""",Orthodox,11,6,0,False
Yusaku,Kinoshita,,"6' 0""",170 lbs.,"71.0""",Southpaw,6,3,0,False
Kamuela,Kirk,The Jawaiian,"5' 10""",155 lbs.,"75.0""",Switch,12,6,0,False
Yurij,Kiseliov,Playboy,"5' 8""",185 lbs.,--,Orthodox,5,4,0,False
Justine,Kish,,"5' 5""",125 lbs.,"64.0""",Orthodox,7,4,0,False
Koji,Kitao,,"6' 7""",350 lbs.,--,Southpaw,1,2,0,False
Satoru,Kitaoka,,"5' 6""",154 lbs.,--,,40,14,9,False
Top Noi,Kiwram,,"5' 5""",125 lbs.,"67.0""",Southpaw,9,5,0,False
Ludovit,Klein,Mr. Highlight,"5' 7""",155 lbs.,"72.0""",Southpaw,23,5,1,False
Nick,Klein,Blue Collar,"6' 1""",185 lbs.,"77.0""",Orthodox,6,3,0,False
Seth,Kleinbeck,Mass Destruction,"6' 2""",185 lbs.,--,,8,4,0,False
Stefan,Klever,,--,185 lbs.,--,Orthodox,6,1,0,False
Fatima,Kline,The Archangel,"5' 6""",115 lbs.,"67.0""",Orthodox,8,1,0,False
Felix,Klinkhammer,,"6' 0""",170 lbs.,--,,7,0,0,False
Drakkar,Klose,,"5' 9""",155 lbs.,"70.0""",Orthodox,16,3,1,False
Michael,Knaap,Hammer,"6' 2""",220 lbs.,--,Orthodox,18,22,3,False
Kevin,Knabjian,,"5' 10""",170 lbs.,--,Orthodox,12,7,1,False
Jason,Knight,The Kid,"5' 10""",145 lbs.,"71.0""",Orthodox,20,5,0,False
William,Knight,Knightmare,"5' 10""",205 lbs.,"73.0""",Orthodox,11,5,0,False
Josefine,Knutsson,Thunder,"5' 3""",115 lbs.,"60.0""",Orthodox,8,1,0,False
Seokhyeon,Ko,The Korean Tyson,"5' 10""",170 lbs.,"71.0""",Southpaw,12,2,0,False
Isao,Kobayashi,,"5' 8""",145 lbs.,--,,21,4,4,False
Kelly,Kobold,Blood Red,"5' 6""",135 lbs.,--,Orthodox,19,3,1,False
Erik,Koch,Phoenix,"5' 10""",170 lbs.,"71.0""",Southpaw,16,6,0,False
Sokun,Koh,,"6' 1""",205 lbs.,--,,4,1,0,False
Shingo,Kohara,,"5' 6""",135 lbs.,--,,1,0,0,False
Brad,Kohler,,"5' 9""",220 lbs.,--,Orthodox,12,15,0,False
Charlie,Kohler,,"5' 9""",155 lbs.,--,Orthodox,8,4,1,False
Tsuyoshi,Kohsaka,TK,"5' 11""",225 lbs.,--,Orthodox,27,19,2,False
Kaloyan,Kolev,,"6' 2""",205 lbs.,"73.0""",Orthodox,10,1,0,False
John,Kolosci,,"5' 11""",185 lbs.,--,Orthodox,15,9,0,False
Yuki,Kondo,,"5' 11""",183 lbs.,--,Southpaw,60,33,9,False
Syuri,Kondo,,"5' 4""",115 lbs.,"66.0""",Orthodox,6,3,0,False
Mantas,Kondratavicius,,"6' 2""",185 lbs.,"75.0""",Orthodox,8,1,0,False
Cheick,Kongo,,"6' 4""",240 lbs.,"82.0""",Orthodox,27,10,2,False
Andrei,Kopylov,,"6' 2""",265 lbs.,--,Orthodox,6,11,0,False
Roman,Kopylov,,"6' 0""",185 lbs.,"75.0""",Southpaw,14,4,0,False
Bruno,Korea,,"5' 6""",135 lbs.,"65.0""",,7,3,0,False
Chungreng,Koren,The Indian Rhino,--,135 lbs.,--,,7,1,0,False
Andrey,Koreshkov,Spartan,"6' 0""",170 lbs.,--,,19,2,0,False
Josh,Koscheck,,"5' 10""",170 lbs.,"73.0""",Orthodox,17,11,0,False
Steven,Koslow,Obi Won Shinobi The Pillow,"5' 7""",125 lbs.,"69.0""",Switch,6,1,0,False
Naoyuki,Kotani,,"5' 8""",155 lbs.,"66.0""",Southpaw,34,14,7,False
Ilya,Kotau,,--,170 lbs.,--,,1,2,0,False
Iouri,Kotchkine,,"6' 2""",235 lbs.,--,Orthodox,7,4,1,False
Matt,Kovacs,300,"6' 0""",244 lbs.,--,Orthodox,12,16,0,False
Marcus,Kowal,,--,135 lbs.,--,,3,1,1,False
Karolina,Kowalkiewicz,,"5' 3""",115 lbs.,"64.0""",Orthodox,16,9,0,False
Steve,Kozola,,--,155 lbs.,--,,8,0,0,False
Derrick,Krantz,D-Rock,"5' 10""",170 lbs.,"72.0""",Orthodox,22,12,0,False
James,Krause,The,"6' 2""",170 lbs.,"73.0""",Orthodox,28,9,0,False
Pascal,Krauss,Panzer,"6' 1""",170 lbs.,--,Orthodox,11,2,0,False
Rene,Kronvold,,"5' 8""",170 lbs.,--,Orthodox,5,1,0,False
Kaynan,Kruschewsky,Bahia,"6' 0""",155 lbs.,"73.0""",Orthodox,15,3,0,False
Jorgen,Kruth,The Last Viking,"6' 2""",205 lbs.,--,,5,0,0,False
Nikita,Krylov,The Miner,"6' 3""",205 lbs.,"77.0""",Orthodox,30,11,0,False
Mariusz,Ksiazkiewicz,The Iron Pol,"6' 3""",185 lbs.,"75.0""",Southpaw,8,1,0,False
Eliezer,Kubanza,,--,170 lbs.,--,Orthodox,7,0,0,False
Junya,Kudo,,--,135 lbs.,--,Orthodox,10,7,2,False
John,Kuhner,,--,170 lbs.,--,,1,2,0,False
Michael,Kuiper,,"6' 0""",185 lbs.,"73.0""",Orthodox,15,5,0,False
Anton,Kuivanen,,"5' 8""",155 lbs.,"72.0""",Orthodox,24,10,0,False
Maiju,Kujala,,--,135 lbs.,--,,6,3,0,False
Sumit,Kumar,The Indian Kid,"5' 5""",125 lbs.,"66.0""",Orthodox,8,1,0,False
Aleksei,Kunchenko,,"5' 8""",170 lbs.,"70.0""",Orthodox,20,2,0,False
Rizvan,Kuniev,,"6' 4""",240 lbs.,"76.0""",Orthodox,12,3,1,False
Keigo,Kunihara,,"6' 0""",235 lbs.,--,Orthodox,3,2,0,False
Kiichi,Kunimoto,Strasser,"5' 10""",170 lbs.,"71.0""",Orthodox,18,7,2,False
Jon,Kunneman,AK-47,--,185 lbs.,--,,10,0,0,False
Leo,Kuntz,The Lion,"5' 10""",155 lbs.,--,Orthodox,18,4,1,False
Korey,Kuppe,,"6' 5""",170 lbs.,"77.0""",Switch,8,4,0,False
Ramazan,Kuramagomedov,,"6' 1""",170 lbs.,"73.0""",Orthodox,8,0,0,False
Tsuyoshi,Kurihara,,"5' 10""",185 lbs.,--,Orthodox,10,8,2,False
Eldari,Kurtanidze,,"5' 6""",235 lbs.,--,Orthodox,0,1,0,False
Kyle,Kurtz,,--,170 lbs.,--,,7,5,0,False
Guram,Kutateladze,Georgian Viking,"5' 11""",155 lbs.,"72.0""",Orthodox,13,5,0,False
Vadym,Kutsyi,,"6' 0""",170 lbs.,"71.0""",Orthodox,17,2,0,False
Lina,Kvokov,,"5' 9""",135 lbs.,--,Orthodox,0,3,0,False
Kaleo,Kwan,Leo Boy,"5' 7""",155 lbs.,--,,11,16,0,False
Jarrod,Kwitty,,"5' 8""",185 lbs.,--,,2,2,0,False
Mike,Kyle,MAK,"6' 4""",205 lbs.,"77.0""",Orthodox,22,14,1,False
Lisa,Kyriacou,The Savage,"5' 5""",125 lbs.,"64.0""",Orthodox,7,2,0,False
Achmed,Labasanov,,"6' 3""",215 lbs.,--,Orthodox,7,4,0,False
Josh,LaBerge,,"5' 10""",145 lbs.,--,,11,6,0,False
Jeremiah,Labiano,The Kid,"5' 10""",135 lbs.,--,,11,5,0,False
Daniel,Lacerda,Miojo,"5' 6""",125 lbs.,"70.0""",Switch,11,6,0,False
Luan,Lacerda,,"5' 7""",135 lbs.,"71.0""",Orthodox,12,3,0,False
Kemran,Lachinov,,--,170 lbs.,--,,3,2,0,False
Aspen,Ladd,,"5' 6""",135 lbs.,"66.0""",Orthodox,9,3,0,False
Ryan,LaFlare,,"6' 1""",170 lbs.,"74.0""",Southpaw,14,3,0,False
Corinne,Laframboise,,"5' 4""",125 lbs.,"65.0""",Orthodox,8,5,0,False
Ben,Lagman,Bad News,"6' 2""",185 lbs.,--,,6,5,0,False
Noad,Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2,0,False
Tina,Lahdemaki,Jelly Bean,"5' 2""",115 lbs.,--,Orthodox,5,1,0,False
Yohan,Lainesse,White Lion,"6' 1""",170 lbs.,"76.0""",Orthodox,9,3,0,False
Tim,Lajcik,The Bohemian,"6' 1""",225 lbs.,--,Orthodox,7,6,1,False
Todd,Lally,,"5' 7""",145 lbs.,--,Orthodox,2,1,0,False
Sean,Lally,The Unpredictable One,"6' 0""",170 lbs.,--,Orthodox,7,3,0,False
Ricardo,Lamas,The Bully,"5' 8""",145 lbs.,"71.0""",Orthodox,20,8,0,False
Jason,Lambert,The Punisher,"6' 3""",185 lbs.,"75.0""",Orthodox,26,13,0,False
Jose,Landi-Jons,Pele,"5' 11""",170 lbs.,--,Orthodox,29,16,0,False
Nate,Landwehr,The Train,"5' 9""",145 lbs.,"72.0""",Orthodox,18,7,0,False
Austen,Lane,,"6' 6""",245 lbs.,"80.0""",Orthodox,13,7,0,False
Aaron,Lanfranco,,--,155 lbs.,--,,5,1,0,False
Jeremy,Lang,,"5' 11""",205 lbs.,--,Southpaw,21,2,0,False
Lionel,Lanham,,--,205 lbs.,--,,5,1,0,False
Lina,Lansberg,Elbow Queen,"5' 7""",135 lbs.,"65.0""",Orthodox,10,8,0,False
Taylor,Lapilus,Double Impact,"5' 6""",135 lbs.,"73.0""",Southpaw,21,4,0,False
Chad,Laprise,The Disciple,"5' 10""",170 lbs.,"71.0""",Orthodox,13,4,0,False
Anthony,Lapsley,The Recipe,"5' 9""",170 lbs.,--,Southpaw,23,7,0,False
TJ,Laramie,,"5' 6""",145 lbs.,"66.0""",Orthodox,12,5,0,False
Icho,Larenas,,"6' 3""",235 lbs.,--,Orthodox,6,5,0,False
Lorenz,Larkin,The Monsoon,"5' 11""",170 lbs.,"72.0""",Orthodox,18,6,0,False
Jeremy,Larsen,,"5' 10""",145 lbs.,"70.0""",Orthodox,8,5,0,False
Brock,Larson,,"5' 11""",170 lbs.,"71.0""",Southpaw,42,10,0,False
Ryan,Larson,,--,170 lbs.,--,,6,2,0,False
Bobby,Lashley,,"6' 3""",255 lbs.,"78.0""",Orthodox,15,2,0,False
Ilir,Latifi,The Sledgehammer,"5' 10""",230 lbs.,"73.0""",Orthodox,17,9,0,False
Sione,Latu,,"6' 0""",215 lbs.,--,,1,0,0,False
Phillip,Latu,The Doctor,"6' 3""",205 lbs.,"76.0""",Orthodox,6,2,0,False
Jenel,Lausa,,"5' 5""",125 lbs.,"68.0""",Orthodox,7,5,0,False
Joe,Lauzon,,"5' 10""",155 lbs.,"71.0""",Orthodox,28,16,0,False
Dan,Lauzon,The Upgrade,"5' 10""",155 lbs.,--,Orthodox,17,6,0,False
Sandra,Lavado,Peruvian Zombie,"5' 7""",115 lbs.,"66.0""",Orthodox,10,3,0,False
Chatt,Lavender,,"5' 8""",170 lbs.,--,,9,7,0,False
Cody,Law,,--,145 lbs.,--,,9,2,0,False
Muhammed,Lawal,King Mo,"6' 0""",205 lbs.,"78.0""",Southpaw,21,6,0,False
Robbie,Lawler,Ruthless,"5' 11""",170 lbs.,"74.0""",Southpaw,30,16,0,False
Tom,Lawlor,Filthy,"6' 0""",205 lbs.,"74.0""",Southpaw,10,6,0,False
Justin,Lawrence,The American Kidd,"5' 8""",145 lbs.,"67.0""",Orthodox,10,4,0,False
Lance,Lawrence,,"6' 1""",145 lbs.,"74.0""",Orthodox,4,1,0,False
Ronnie,Lawrence,The Heat,"5' 8""",135 lbs.,"68.0""",Switch,8,2,0,False
Eric,Lawson,,"6' 0""",185 lbs.,--,Orthodox,9,5,0,False
Jimmy,Lawson,Greedy,"6' 0""",265 lbs.,"77.0""",Orthodox,4,2,0,False
Valmir,Lazaro,Bidu,"6' 0""",155 lbs.,"73.0""",Orthodox,15,5,0,False
Zviad,Lazishvili,,"5' 6""",135 lbs.,"69.0""",Orthodox,13,1,0,False
Mounir,Lazzez,The Sniper,"6' 1""",170 lbs.,"76.0""",Orthodox,11,3,0,False
Cung,Le,,"5' 9""",185 lbs.,"70.0""",Southpaw,9,3,0,False
Thanh,Le,,"5' 9""",145 lbs.,"74.0""",Orthodox,6,1,0,False
Quang,Le,Bang,"5' 7""",135 lbs.,"70.0""",Orthodox,9,3,0,False
Carlos,Leal,The Lion,"5' 11""",170 lbs.,"74.0""",Orthodox,22,7,0,False
Jordan,Leavitt,The Monkey King,"5' 9""",155 lbs.,"71.0""",Southpaw,12,3,0,False
Jerome,LeBanner,,"6' 3""",265 lbs.,--,Southpaw,3,2,0,False
Chris,Leben,The Crippler,"5' 11""",185 lbs.,"73.0""",Southpaw,22,11,0,False
Jean-Paul,Lebosnoyani,Mufasa,"5' 11""",170 lbs.,"72.0""",Switch,9,2,0,False
Mickael,Lebout,Ragnar,"5' 11""",155 lbs.,"73.0""",Orthodox,16,7,1,False
Stephen,Ledbetter,,"5' 9""",145 lbs.,--,Orthodox,8,3,0,False
Justin,Ledet,El Blanco,"6' 4""",205 lbs.,"80.0""",Orthodox,9,4,0,False
James,Lee,,"5' 11""",205 lbs.,--,Southpaw,15,3,0,False
David,Lee,,"5' 10""",155 lbs.,--,Orthodox,12,10,0,False
Jackie,Lee,,--,--,--,,0,1,0,False
Eun Soo,Lee,,"6' 1""",215 lbs.,--,Orthodox,17,4,0,False
Tae Hyun,Lee,,"6' 6""",295 lbs.,--,Orthodox,1,2,0,False
Tommy,Lee,,"5' 7""",145 lbs.,--,Orthodox,25,6,0,False
Matt,Lee,,"5' 11""",155 lbs.,--,Orthodox,14,10,1,False
Imani,Lee,,--,--,--,Orthodox,2,4,0,False
Vaughan,Lee,,"5' 6""",125 lbs.,"66.0""",Orthodox,14,13,1,False
Kevin,Lee,The Motown Phenom,"5' 9""",170 lbs.,"77.0""",Orthodox,18,8,0,False
Rocky,Lee,,"5' 9""",145 lbs.,--,Orthodox,3,2,0,False
Andrea,Lee,KGB,"5' 6""",125 lbs.,"69.0""",Orthodox,13,11,0,False
JeongYeong,Lee,Korean Tiger,"5' 10""",145 lbs.,"73.0""",Orthodox,11,3,0,False
JungHyun,Lee,The Phenom,"5' 5""",125 lbs.,"65.0""",Orthodox,8,1,0,False
ChangHo,Lee,,"5' 8""",135 lbs.,"69.0""",Orthodox,11,1,0,False
Macksom,Lee,,"6' 1""",135 lbs.,"75.0""",Orthodox,9,1,0,False
Ricky,Legere Jr.,IE Bad Boy,"5' 8""",170 lbs.,--,,14,4,0,False
Sherron,Leggett,Rob Roy,"5' 8""",155 lbs.,--,Southpaw,21,6,0,False
Cheyden,Leialoha,Steadfast,"5' 8""",135 lbs.,"73.0""",Orthodox,6,0,0,False
Claudia,Leite,,"5' 3""",135 lbs.,"64.0""",Orthodox,8,3,0,False
Thales,Leites,,"6' 1""",185 lbs.,"78.0""",Orthodox,28,9,0,False
Jovan,Leka,,--,265 lbs.,--,,10,2,0,False
Stefan,Leko,Blitz,"6' 2""",215 lbs.,--,Orthodox,0,3,0,False
Gabe,Lemley,,"5' 8""",155 lbs.,--,Orthodox,13,9,0,False
Amanda,Lemos,,"5' 4""",115 lbs.,"65.0""",Southpaw,15,5,1,False
Giacomo,Lemos,,"6' 3""",247 lbs.,"75.0""",Orthodox,6,0,0,False
Christophe,Leninger,,"6' 0""",200 lbs.,--,Southpaw,3,4,0,False
Jesse,Lennox,The Ox,"5' 9""",170 lbs.,"72.0""",Orthodox,14,4,0,False
Jean Francois,Lenogue,,"6' 0""",185 lbs.,--,Orthodox,16,17,3,False
Nik,Lentz,The Carny,"5' 8""",145 lbs.,"68.0""",Orthodox,30,12,2,False
Alberta Cerra,Leon,,"5' 8""",238 lbs.,--,,0,1,0,False
Victoria,Leonardo,Fury,"5' 5""",125 lbs.,"64.0""",Orthodox,9,7,0,False
Anthony,Leone,,"5' 6""",135 lbs.,--,Orthodox,15,8,0,False
Chad,Leonhardt,The Boss,"6' 0""",170 lbs.,--,,9,4,0,False
Kimo,Leopoldo,,"6' 3""",235 lbs.,--,Orthodox,10,7,1,False
Michael,Lerma,,--,--,--,,0,1,0,False
Lukasz,Les,,--,170 lbs.,--,,8,3,0,False
Brock,Lesnar,,"6' 3""",265 lbs.,"81.0""",Orthodox,5,3,0,False
Frank,Lester,,"5' 11""",170 lbs.,--,Orthodox,11,6,0,False
Valerie,Letourneau,Trouble,"5' 7""",115 lbs.,"68.0""",Orthodox,8,6,0,False
Leah,Letson,Nidas,"5' 7""",145 lbs.,"71.0""",Southpaw,5,3,0,False
Justin,Levens,The Executioner,"5' 11""",185 lbs.,--,Orthodox,10,7,0,False
Marcus,LeVesseur,The Prospect,"5' 9""",155 lbs.,"70.0""",Southpaw,22,7,0,False
David,Levicki,,"6' 5""",275 lbs.,--,,1,3,0,False
Kyle,Levinton,,--,--,--,,0,3,0,False
Natan,Levy,Lethal,"5' 9""",155 lbs.,"71.0""",Southpaw,8,2,0,False
John,Lewis,,"6' 0""",155 lbs.,--,Southpaw,3,4,3,False
Derrick,Lewis,The Black Beast,"6' 3""",260 lbs.,"79.0""",Orthodox,29,12,0,False
Bevon,Lewis,,"6' 3""",185 lbs.,"79.0""",Orthodox,7,3,0,False
Brandon,Lewis,,"5' 4""",135 lbs.,"70.0""",Orthodox,6,2,0,False
Malik,Lewis,Hard Knock,"6' 0""",155 lbs.,"75.0""",Orthodox,6,2,0,False
Chi,Lewis-Parry,Chopper,"6' 9""",243 lbs.,--,,7,0,1,False
Li,Jingliang,The Leech,"6' 0""",170 lbs.,"71.0""",Orthodox,19,9,0,False
Li,Yunfeng,,"5' 8""",135 lbs.,"68.0""",Orthodox,9,5,0,False
Liang,Na,The Dragon Girl,"5' 5""",125 lbs.,"67.0""",Orthodox,19,8,0,False
Jess,Liaudin,The Joker,"5' 9""",170 lbs.,"72.0""",Orthodox,20,11,0,False
Chuck,Liddell,The Iceman,"6' 2""",205 lbs.,"76.0""",Orthodox,21,8,0,False
Rodrigo,Lidio,Dynamis,"5' 11""",155 lbs.,"73.0""",Orthodox,12,3,0,False
Sam,Liera,,--,--,--,,12,10,0,False
Zach,Light,,"5' 8""",170 lbs.,--,Orthodox,9,11,0,False
Scott,Lighty,,"6' 2""",205 lbs.,--,,6,2,0,False
Chris,Liguori,,"5' 9""",185 lbs.,--,Orthodox,15,10,0,False
Donnie,Liles,,"5' 9""",170 lbs.,--,Orthodox,17,7,0,False
Jae Suk,Lim,,"5' 9""",170 lbs.,--,Orthodox,17,6,0,False
Hyun Gyu,Lim,The Ace,"6' 3""",170 lbs.,"77.0""",Orthodox,13,7,1,False
Juliana,Lima,Ju Thai,"5' 5""",115 lbs.,"65.0""",Orthodox,9,5,0,False
Dhiego,Lima,,"6' 2""",170 lbs.,"75.0""",Orthodox,17,9,0,False
Douglas,Lima,The Phenom,"6' 1""",170 lbs.,--,,29,6,0,False
Mabelly,Lima,,"5' 2""",135 lbs.,--,Orthodox,7,1,0,False
Andre,Lima,Mascote,"5' 7""",125 lbs.,"67.0""",Orthodox,11,0,0,False
Felipe,Lima,Jungle Boy,"5' 6""",135 lbs.,"68.0""",Orthodox,14,2,0,False
Miguel,Linares,,--,--,--,,2,4,0,False
Emiliano,Linares,Golden Bull,"5' 8""",145 lbs.,"72.0""",Orthodox,8,2,0,False
Matt,Lindland,The Law,"6' 0""",185 lbs.,"74.0""",Southpaw,22,9,0,False
Jake,Lindsey,The Librarian,"5' 11""",155 lbs.,--,Switch,12,7,0,False
John,Lineker,Hands of Stone,"5' 3""",135 lbs.,"67.0""",Orthodox,31,9,0,False
Austin,Lingo,Lights Out,"5' 10""",145 lbs.,"70.0""",Orthodox,9,3,0,False
Lucio,Linhares,,"6' 2""",185 lbs.,--,Orthodox,19,8,0,False
Philipe,Lins,Monstro,"6' 2""",205 lbs.,"78.0""",Orthodox,18,5,0,False
Tainara,Lisboa,Thai Panther,"5' 7""",135 lbs.,"67.0""",Orthodox,7,3,0,False
Dean,Lister,The Boogeyman,"6' 1""",185 lbs.,"75.0""",Orthodox,13,7,0,False
Wesley,Little,,"6' 4""",205 lbs.,--,,4,8,0,False
Adam,Livingston,Bomb,"6' 2""",155 lbs.,"71.0""",Orthodox,6,1,0,False
James,Llontop,Goku,"6' 0""",155 lbs.,"73.0""",Orthodox,14,5,0,False
Abner,Lloveras,Skullman,"5' 11""",155 lbs.,--,,20,9,1,False
Brian,Lo-A-Njoe,,"5' 7""",155 lbs.,--,Orthodox,6,10,3,False
John,Lober,The Machine,"5' 11""",199 lbs.,--,Orthodox,5,9,4,False
Artem,Lobov,The Russian Hammer,"5' 9""",145 lbs.,"65.0""",Southpaw,13,15,1,False
Dylan,Lockard,,"5' 9""",145 lbs.,"72.0""",Orthodox,6,2,0,False
Ryan,Loder,Man of Steel,"6' 2""",185 lbs.,"76.0""",Southpaw,8,2,0,False
Sean,Loeffler,The Destroyer,"6' 3""",185 lbs.,--,Orthodox,31,5,0,False
Christian,Lohsen,Hollywood,"6' 2""",155 lbs.,"77.0""",Southpaw,4,2,0,False
David,Loiseau,The Crow,"6' 0""",185 lbs.,"76.0""",Orthodox,23,11,0,False
Hector,Lombard,,"5' 9""",185 lbs.,"71.0""",Southpaw,34,10,1,False
Michael,Lombardo,The Don,"6' 0""",170 lbs.,"72.0""",Orthodox,11,2,0,False
Rocky,Long,,--,145 lbs.,--,,21,37,1,False
Thomas,Longacre,,"5' 9""",145 lbs.,--,Orthodox,6,1,0,False
Loma,Lookboonmee,,"5' 1""",115 lbs.,"61.0""",Orthodox,10,3,0,False
Ange,Loosa,The Last Ninja,"5' 10""",170 lbs.,"74.0""",Orthodox,10,5,0,False
Lucas,Lopes,,"6' 2""",185 lbs.,--,,29,19,0,False
Dileno,Lopes,,"5' 5""",135 lbs.,--,,19,3,0,False
Diego,Lopes,,"5' 11""",145 lbs.,"72.0""",Orthodox,27,7,0,False
Bruno,Lopes,Brunao,"6' 2""",205 lbs.,"74.0""",Orthodox,14,2,0,False
