First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,False
Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,26,15,0,False
Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,6,0,False
Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,False
Fellipe,Andrew,,--,--,--,,0,0,0,False
Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",Switch,18,7,0,False
Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,False
,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",Orthodox,13,3,0,False
Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,5,1,0,False
Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",Orthodox,8,3,0,False
Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",Orthodox,13,8,0,False
Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,False
Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,21,1,1,True
Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,8,0,False
Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,False
Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,4,0,False
Vanilto,Antunes,,"6' 0""",170 lbs.,"72.0""",Orthodox,16,7,0,False
Azunna,Anyanwu,Zulu,"6' 1""",251 lbs.,--,Orthodox,14,5,0,False
Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,False
Jin,Aoi,,"5' 6""",145 lbs.,"68.0""",Orthodox,14,6,1,False
Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,39,7,0,False
,Aoriqileng,The Mongolian Murderer,"5' 7""",135 lbs.,"69.0""",Orthodox,25,12,0,False
Josh,Appelt,,"5' 10""",255 lbs.,--,Southpaw,15,7,0,False
Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,False
Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,False
Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,False
Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,False
Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,9,0,False
Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,13,7,0,False
Julio,Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,19,6,0,False
Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,False
Alice,Ardelean,,"5' 3""",115 lbs.,"62.0""",Orthodox,10,7,0,False
Tristan,Arenal,,--,155 lbs.,--,,7,4,0,False
