Fight_Id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id
c597fd8bb66d54d8,win,Marcin Prachnio,Khalil Rountree Jr.,0,0,102,49,0,0,0,0,Light Heavyweight,U-DEC,3,5:00,4304992c2acc187b
f3ccbfd7036f3cf3,win,Movsar Evloev,Nik Lentz,0,0,82,46,2,1,0,2,Catch Weight,S-DEC,3,5:00,4304992c2acc187b
aaf45b095452be23,win,Amir Albazi,Zhalgas Zhumagulov,0,0,68,59,2,1,0,0,Flyweight,U-DEC,3,5:00,4304992c2acc187b
61bedad39b15db7a,win,Michael Chiesa,Neil Magny,0,0,24,12,4,1,0,1,Welterweight,U-DEC,5,5:00,56116537d71a578c
dd34dd337e637767,win,Warlley Alves,Mounir Lazzez,1,0,17,2,1,0,0,0,Welterweight,KO/TKO Kick,1,2:35,56116537d71a578c
4f6d3cdf2c77fb57,win,Ike Villanueva,Vinicius Moreira,1,0,24,24,0,0,0,0,Light Heavyweight,KO/TKO Punch,2,0:39,56116537d71a578c
a003e8305d4dbdc8,win,Viviane Araujo,Roxanne Modafferi,0,0,86,46,4,0,1,0,Women's Flyweight,U-DEC,3,5:00,56116537d71a578c
57e784028ef2c17d,win,Matt Schnell,Tyson Nam,0,0,85,58,0,0,0,0,Flyweight,S-DEC,3,5:00,56116537d71a578c
d27ac1bc677b89cf,win,Lerone Murphy,Douglas Silva de Andrade,0,0,48,39,1,1,0,0,Featherweight,U-DEC,3,5:00,56116537d71a578c
ac475de5a3d0d7e2,win,Omari Akhmedov,Tom Breese,0,0,25,1,2,0,1,3,Middleweight,SUB Arm Triangle,2,1:41,56116537d71a578c
4abcf14faa7f92f2,win,Ricky Simon,Gaetano Pirrello,0,0,17,6,7,0,1,0,Bantamweight,SUB Arm Triangle,2,4:00,56116537d71a578c
ddbe6fd66d7f9e35,win,Sumudaerji,Zarrukh Adashev,0,0,50,28,0,0,0,0,Flyweight,U-DEC,3,5:00,56116537d71a578c
76b61ff4c9760f79,win,Dalcha Lungiambula,Markus Perez,0,0,29,25,1,0,0,1,Middleweight,U-DEC,3,5:00,56116537d71a578c
4e451881e0e47b05,win,Francisco Figueiredo,Jerome Rivera,0,0,29,31,4,0,0,0,Flyweight,U-DEC,3,5:00,56116537d71a578c
031e6624f96aceb8,win,Mike Davis,Mason Jones,0,0,108,117,3,1,0,0,Lightweight,U-DEC,3,5:00,56116537d71a578c
11558384f80f6506,win,Umar Nurmagomedov,Sergey Morozov,0,0,25,7,5,0,1,0,Bantamweight,SUB Rear Naked Choke,2,3:39,56116537d71a578c
ae38fb2a6b6a0cc1,win,Manon Fiorot,Victoria Leonardo,0,0,53,17,1,0,0,0,Women's Flyweight,KO/TKO Punches,2,4:08,56116537d71a578c
a4817b7e46028b4a,win,Max Holloway,Calvin Kattar,0,0,445,133,0,0,0,0,Featherweight,U-DEC,5,5:00,307064d3e0f036c2
6b0da0b1cda7799f,win,Carlos Condit,Matt Brown,0,0,39,28,2,1,0,0,Welterweight,U-DEC,3,5:00,307064d3e0f036c2
aeb7ff8ce6e1beac,win,Li Jingliang,Santiago Ponzinibbio,1,0,21,11,0,0,0,0,Welterweight,KO/TKO Punch,1,4:25,307064d3e0f036c2
775c1f401815bbd8,win,Alessio Di Chirico,Joaquin Buckley,1,0,12,3,0,0,0,0,Middleweight,KO/TKO Kick,1,2:12,307064d3e0f036c2
358f816aff469270,win,Punahele Soriano,Dusko Todorovic,2,0,30,22,0,0,0,0,Middleweight,KO/TKO Punch,1,4:48,307064d3e0f036c2
97ad63e644757cf4,win,Joselyne Edwards,Wu Yanan,0,0,88,58,0,1,1,0,Women's Bantamweight,U-DEC,3,5:00,307064d3e0f036c2
0165bd3c26f0c076,win,Carlos Felipe,Justin Tafa,0,0,77,86,0,0,0,0,Heavyweight,S-DEC,3,5:00,307064d3e0f036c2
3fcd53eb27945231,win,Ramazan Emeev,David Zawada,0,0,53,44,4,1,0,0,Welterweight,S-DEC,3,5:00,307064d3e0f036c2
97c80f69ac312030,win,Vanessa Melo,Sarah Moras,0,0,56,44,0,0,0,0,Women's Bantamweight,U-DEC,3,5:00,307064d3e0f036c2
3d903bc35023f50a,win,Austin Lingo,Jacob Kilburn,1,0,95,64,1,1,0,1,Featherweight,U-DEC,3,5:00,307064d3e0f036c2
c7375d5db21cbaae,win,Stephen Thompson,Geoff Neal,0,0,171,85,0,0,0,0,Welterweight,U-DEC,5,5:00,e49c2db95e572dc8
014f1da2083ca174,win,Jose Aldo,Marlon Vera,0,0,44,46,0,0,0,0,Bantamweight,U-DEC,3,5:00,e49c2db95e572dc8
3d35eb2d46bf74de,win,Michel Pereira,Khaos Williams,0,0,44,55,2,0,1,0,Welterweight,U-DEC,3,5:00,e49c2db95e572dc8
8955ea3c7c332e6c,win,Rob Font,Marlon Moraes,1,0,30,9,0,2,0,0,Bantamweight,KO/TKO Punches,1,3:47,e49c2db95e572dc8
cd150cd28738a7c5,win,Marcin Tybura,Greg Hardy,0,0,51,50,1,0,0,0,Heavyweight,KO/TKO Punches,2,4:31,e49c2db95e572dc8
1c4602efe5587902,win,Anthony Pettis,Alex Morono,0,0,50,31,0,1,0,0,Welterweight,U-DEC,3,5:00,e49c2db95e572dc8
4cb249714ff56656,win,Pannie Kianzad,Sijara Eubanks,0,0,92,49,0,2,0,0,Women's Bantamweight,U-DEC,3,5:00,e49c2db95e572dc8
f004d3d50b78af50,win,Deron Winn,Antonio Arroyo,0,0,20,45,12,0,0,0,Catch Weight,U-DEC,3,5:00,e49c2db95e572dc8
f2fb049980631302,win,Taila Santos,Gillian Robertson,0,0,27,9,1,0,1,1,Women's Flyweight,U-DEC,3,5:00,e49c2db95e572dc8
0fe4906754b2d0f9,win,Tafon Nchukwi,Jamie Pickett,1,0,120,40,0,1,0,0,Middleweight,U-DEC,3,5:00,e49c2db95e572dc8
62e6eadbb2805760,win,Jimmy Flick,Cody Durden,0,0,6,21,0,2,1,0,Flyweight,SUB Triangle Choke,1,3:18,e49c2db95e572dc8
8da75fd76a9b8e1d,win,Christos Giagos,Carlton Minus,0,0,31,28,5,0,0,0,Catch Weight,U-DEC,3,5:00,e49c2db95e572dc8
c258996570faeec9,drawdraw,Deiveson Figueiredo,Brandon Moreno,0,0,137,132,2,4,0,0,Flyweight,M-DEC,5,5:00,d0d43cb9b14f231c
b7b867eb3c3cf163,win,Charles Oliveira,Tony Ferguson,0,0,41,19,3,0,3,0,Lightweight,U-DEC,3,5:00,d0d43cb9b14f231c
27200d53ba9020b8,win,Mackenzie Dern,Virna Jandiroba,0,0,82,63,0,1,0,0,Women's Strawweight,U-DEC,3,5:00,d0d43cb9b14f231c
4a172a5191cb8e60,win,Kevin Holland,Jacare Souza,0,0,15,2,0,2,0,0,Middleweight,KO/TKO Punch,1,1:45,d0d43cb9b14f231c
fe3ff5b1d9135add,win,Ciryl Gane,Junior Dos Santos,1,0,59,10,0,0,0,0,Heavyweight,KO/TKO Elbow,2,2:34,d0d43cb9b14f231c
022bdd58cc6e571d,win,Cub Swanson,Daniel Pineda,2,0,46,21,1,1,0,1,Featherweight,KO/TKO Punch,2,1:52,d0d43cb9b14f231c
cb7616f92a9a4e5b,win,Rafael Fiziev,Renato Moicano,1,0,21,15,0,0,0,0,Lightweight,KO/TKO Punch,1,4:05,d0d43cb9b14f231c
87d0b767742d3239,win,Gavin Tucker,Billy Quarantillo,0,0,106,84,7,0,0,0,Featherweight,U-DEC,3,5:00,d0d43cb9b14f231c
5ddf45e816a50fac,win,Tecia Pennington,Sam Hughes,0,0,52,20,1,0,0,0,Women's Strawweight,KO/TKO,1,5:00,d0d43cb9b14f231c
33d52ac2d70b8415,win,Chase Hooper,Peter Barrett,0,0,57,48,0,0,2,0,Featherweight,SUB Heel Hook,3,3:02,d0d43cb9b14f231c
2723f4d275d3f619,win,Marvin Vettori,Jack Hermansson,1,0,164,122,0,2,1,0,Middleweight,U-DEC,5,5:00,398b440e73d55b8b
8d4a475e48722fea,win,Jamahal Hill,Ovince Saint Preux,0,0,68,36,0,0,0,0,Light Heavyweight,KO/TKO Punches,2,3:37,398b440e73d55b8b
46860358da8b8d82,win,Gabriel Benitez,Justin Jaynes,1,0,38,22,0,0,0,0,Lightweight,KO/TKO Knee,1,4:06,398b440e73d55b8b
4478ee77a647ae9d,win,Roman Dolidze,John Allan,0,0,51,29,3,1,3,0,Light Heavyweight,S-DEC,3,5:00,398b440e73d55b8b
856fab879c68ded7,win,Jordan Leavitt,Matt Wiman,0,0,1,0,1,0,0,0,Lightweight,KO/TKO Slam,1,0:22,398b440e73d55b8b
771d8ce136a12a13,win,Louis Smolka,Jose Quinonez,0,0,59,43,3,2,0,0,Bantamweight,KO/TKO Punches,2,2:15,398b440e73d55b8b
b1be8b41b1a4fd85,win,Ilia Topuria,Damon Jackson,1,0,31,16,0,0,0,0,Featherweight,KO/TKO Punch,1,2:38,398b440e73d55b8b
c4d1c4b82cf34afb,win,Jake Collier,Gian Villante,0,0,123,80,0,0,0,0,Heavyweight,U-DEC,3,5:00,398b440e73d55b8b
09a29fb09fe07559,win,Anthony Smith,Devin Clark,0,0,1,1,1,0,1,0,Light Heavyweight,SUB Triangle Choke,1,2:34,992c82450d96f726
28b6ee9c3eb8b753,win,Miguel Baeza,Takashi Sato,0,0,40,15,1,0,1,0,Welterweight,SUB Arm Triangle,2,4:28,992c82450d96f726
32a7da2f34ae3803,win,Parker Porter,Josh Parisian,0,0,126,114,2,0,1,0,Heavyweight,U-DEC,3,5:00,992c82450d96f726
181c3312f14de5a8,win,Bill Algeo,Spike Carlyle,0,0,70,23,1,4,0,1,Featherweight,U-DEC,3,5:00,992c82450d96f726
2a7909acde26a240,win,Norma Dumont,Ashlee Evans-Smith,1,0,94,42,2,0,0,0,Women's Bantamweight,U-DEC,3,5:00,992c82450d96f726
4d56bcd82438e632,win,Jonathan Pearce,Kai Kamaka,0,0,51,47,5,1,1,1,Featherweight,KO/TKO Punches,2,4:28,992c82450d96f726
0c27552ea7bc8c8a,win,Anderson Dos Santos,Martin Day,0,0,11,9,1,1,1,0,Bantamweight,SUB Guillotine Choke,1,4:35,992c82450d96f726
711f00d287344c77,win,Gina Mazany,Rachael Ostovich,1,0,72,41,7,0,1,0,Women's Flyweight,KO/TKO Kick,3,4:10,992c82450d96f726
8868957c1735bcf0,win,Sumudaerji,Malcolm Gordon,1,0,9,0,0,0,0,0,Flyweight,KO/TKO Punches,1,0:44,992c82450d96f726
e64d80dcc6853ea0,win,Nate Maness,Luke Sanders,1,0,33,55,1,0,1,0,Catch Weight,SUB Rear Naked Choke,2,2:29,992c82450d96f726
3c098e2946b4c824,win,Deiveson Figueiredo,Alex Perez,0,0,5,6,0,0,1,0,Flyweight,SUB Guillotine Choke,1,1:57,bbb15f301e4a490a
c93eebe24aa0299d,win,Valentina Shevchenko,Jennifer Maia,0,0,62,36,5,1,0,0,Women's Flyweight,U-DEC,5,5:00,bbb15f301e4a490a
2b13651b97f57b6c,win,Tim Means,Mike Perry,0,0,128,64,0,1,0,2,Welterweight,U-DEC,3,5:00,bbb15f301e4a490a
08ef2ed7393efd24,win,Katlyn Cerminara,Cynthia Calvillo,0,0,69,60,0,1,0,0,Women's Flyweight,U-DEC,3,5:00,bbb15f301e4a490a
1671723154d8e324,win,Paul Craig,Mauricio Rua,0,0,29,10,4,0,0,0,Light Heavyweight,KO/TKO Punches,2,3:36,bbb15f301e4a490a
8d5ea3bf3be7cb91,win,Brandon Moreno,Brandon Royval,0,0,16,17,2,0,2,0,Flyweight,KO/TKO Punches,1,4:59,bbb15f301e4a490a
6c1b38dd918793ff,win,Joaquin Buckley,Jordan Wright,2,0,43,18,0,0,0,0,Middleweight,KO/TKO Punches,2,0:18,bbb15f301e4a490a
a485281be8e9d2e2,win,Antonina Shevchenko,Ariane da Silva,0,0,39,15,1,0,0,0,Women's Flyweight,KO/TKO Punches,2,4:33,bbb15f301e4a490a
e22d5aab3d099c7c,win,Nicolas Dalby,Daniel Rodriguez,0,0,50,83,0,0,0,0,Welterweight,U-DEC,3,5:00,bbb15f301e4a490a
a02764f92a84dd36,win,Alan Jouban,Jared Gooden,0,0,168,100,0,1,2,0,Welterweight,U-DEC,3,5:00,bbb15f301e4a490a
90eb22b9eb6ed2a8,win,Kyle Daukaus,Dustin Stoltzfus,0,0,64,32,2,0,1,0,Middleweight,U-DEC,3,5:00,bbb15f301e4a490a
91afc389191d41fb,win,Sasha Palatnikov,Louis Cosce,0,1,125,99,1,1,0,0,Welterweight,KO/TKO Punches,3,2:47,bbb15f301e4a490a
80cb3cf9134b677c,win,Rafael Dos Anjos,Paul Felder,0,0,92,98,6,1,0,0,Lightweight,S-DEC,5,5:00,3bc27ec15facbcf3
30eb24f7904c2128,win,Khaos Williams,Abdul Razak Alhassan,1,0,5,2,0,0,0,0,Welterweight,KO/TKO Punch,1,0:30,3bc27ec15facbcf3
34db1e0e2499e7ae,win,Ashley Yoder,Miranda Granger,0,0,26,33,2,0,3,0,Women's Strawweight,U-DEC,3,5:00,3bc27ec15facbcf3
fa6e8fa6c3f05e31,win,Sean Strickland,Brendan Allen,1,0,94,51,1,0,0,0,Catch Weight,KO/TKO Punches,2,1:32,3bc27ec15facbcf3
742dc4196d329db0,win,Cory McKenna,Kay Hansen,0,0,57,67,0,2,0,2,Women's Strawweight,U-DEC,3,5:00,3bc27ec15facbcf3
470391c4067bf49b,win,Kanako Murata,Randa Markos,0,0,29,29,4,0,2,0,Women's Strawweight,U-DEC,3,5:00,3bc27ec15facbcf3
9e4dcac049327529,win,Tony Gravely,Geraldo de Freitas,0,0,49,76,7,1,0,0,Bantamweight,S-DEC,3,5:00,3bc27ec15facbcf3
d80fd2ec736f7df2,win,Alex Morono,Rhys McKee,0,0,176,124,3,0,0,0,Welterweight,U-DEC,3,5:00,3bc27ec15facbcf3
f6472ca263a863d1,win,Don'Tale Mayes,Roque Martinez,0,0,59,58,1,1,0,0,Heavyweight,U-DEC,3,5:00,3bc27ec15facbcf3
923e151bd990961b,win,Glover Teixeira,Thiago Santos,0,1,46,40,4,0,2,0,Light Heavyweight,SUB Rear Naked Choke,3,1:49,41dca66f9dadfc86
f0cf92b063735164,win,Andrei Arlovski,Tanner Boser,0,0,34,68,0,0,0,0,Heavyweight,U-DEC,3,5:00,41dca66f9dadfc86
6ac3d588f9630f0a,win,Raoni Barcelos,Khalid Taha,0,0,120,49,2,0,1,0,Bantamweight,U-DEC,3,5:00,41dca66f9dadfc86
0fed97329b78b887,win,Giga Chikadze,Jamey Simmons,1,0,8,2,0,0,0,0,Featherweight,KO/TKO Kick,1,3:51,41dca66f9dadfc86
b76590c02f86e705,win,Yan Xiaonan,Claudia Gadelha,0,0,74,36,0,2,0,0,Women's Strawweight,U-DEC,3,5:00,41dca66f9dadfc86
fea7dd5904ab4c91,win,Trevin Giles,Bevon Lewis,2,0,38,26,1,0,0,0,Middleweight,KO/TKO Punches,3,1:26,41dca66f9dadfc86
2267d967d1daf08a,win,Alexandr Romanov,Marcos Rogerio de Lima,0,0,6,18,2,0,1,0,Heavyweight,SUB Forearm Choke,1,4:48,41dca66f9dadfc86
69fa167ba5d0fd82,win,Darren Elkins,Eduardo Garagorri,0,0,32,36,7,0,1,0,Featherweight,SUB Rear Naked Choke,3,2:22,41dca66f9dadfc86
55019da3a4bd5d54,win,Max Griffin,Ramiz Brahimaj,0,0,74,45,0,0,0,0,Welterweight,KO/TKO Elbow,3,2:03,41dca66f9dadfc86
