Participant;Sex;Age range;Do you have a mobile phone?;Is this mobile phone yours or do you share it ?;When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Searching for general information);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Discussion by email or on the digital social networks with friends or family);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Watching your social network feed);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Listening to the music);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Playing games);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Study or homeworks);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Viewing videos);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Other);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Searching for general information);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Discussion by email or on the digital social networks with friends or family);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Watching your social network feed);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Listening to the music);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Playing games);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Study or homeworks);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Viewing videos);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Telephone conversation);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Other);Do you use apps, social media or websites for your health?;Which social media platform/site (Facebook, Instagram, Twitter, Tiktok, Snapchat) is your favourite to use for your health? And what do you like about it?;Favourite platform/site for health: social media;Favourite platform/site for health: search engine;Favourite platform/site for health: unclear;Favourite platform/site for health: none;For searching health information, which app, social media or website do you use ?;For searching health information: social media;For searching health information: search engine;For searching health information: web site;For searching health information: unclear;For searching health information: none;For discussing health topics with other people online, which app, social media or website do you use ?;For discussing: social media;For discussing: search engine;For discussing: app;For discussing: web site;For discussing: unclear;For discussing: none
117;M;Between 16 and 17 inclusive;Yes;Not shared;Checked;Checked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Checked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Yes;Facebook. It help me to know more about  our health  or how to get  rid  of the  sick.;Checked;Unchecked;Unchecked;Unchecked;Social media ;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Website ;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked
118;M;Between 16 and 17 inclusive;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Checked;Checked;Unchecked;Unchecked;Unchecked;Checked;Checked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Yes;Tiktok;Checked;Unchecked;Unchecked;Unchecked;Facebook ;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Snap chat;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked
119;F;Between 16 and 17 inclusive;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Checked;Checked;Unchecked;No;;;;;;;;;;;;;;;;;;
120;F;Between 16 and 17 inclusive;No;;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
121;F;Lower than or equal 15;No;;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
122;F;Between 16 and 17 inclusive;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Checked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
123;M;Between 16 and 17 inclusive;No;;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
124;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
125;M;Lower than or equal 15;No;;Unchecked;Unchecked;Unchecked;Checked;Checked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
126;M;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Checked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Checked;Checked;Checked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
127;F;Between 16 and 17 inclusive;No;;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
128;F;Lower than or equal 15;Yes;Not shared;Checked;Checked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Checked;Checked;Unchecked;Checked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
129;F;Between 16 and 17 inclusive;No;;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
130;M;Between 16 and 17 inclusive;Yes;Not shared;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
131;M;Lower than or equal 15;No;;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
132;M;Greater than or equal to 18;No;;Unchecked;Unchecked;Unchecked;Checked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
133;M;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Checked;Checked;Unchecked;Checked;Checked;Checked;No;;;;;;;;;;;;;;;;;;
134;M;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Checked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Checked;Checked;Unchecked;Checked;Unchecked;No;;;;;;;;;;;;;;;;;;
135;F;Lower than or equal 15;No;;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
136;F;Lower than or equal 15;Yes;Not shared;Unchecked;Checked;Unchecked;Checked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Checked;Unchecked;Checked;Unchecked;Unchecked;Checked;Checked;Unchecked;No;;;;;;;;;;;;;;;;;;
137;F;Lower than or equal 15;No;;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
138;F;Lower than or equal 15;No;;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
139;F;Between 16 and 17 inclusive;No;;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
140;F;Between 16 and 17 inclusive;No;;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
141;F;Lower than or equal 15;Yes;Shared;Unchecked;Checked;Unchecked;Checked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
142;M;Lower than or equal 15;No;;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
143;F;Lower than or equal 15;No;;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
144;F;Between 16 and 17 inclusive;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Checked;Unchecked;Checked;Unchecked;Unchecked;Checked;Checked;Unchecked;No;;;;;;;;;;;;;;;;;;
145;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;No;;;;;;;;;;;;;;;;;;
146;M;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
147;M;Lower than or equal 15;Yes;Shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
