"Cell.ID","Time.point","Intensity","Area"
155,859,11228.5833333333,71.5
156,859,7871.80809595202,667
157,859,12993.6437125749,332.5
0,860,10390.0906432749,687
3,860,16614.1739130435,276
6,860,15286.0403726708,320.5
10,860,13689.3344481605,300
14,860,12153.9343283582,333
24,860,10724.7600732601,546
51,860,13406.8590604027,299.5
70,860,10065.5106382979,331
81,860,9438.14606741573,446.5
101,860,8135.97972972973,146
106,860,12098.4326241135,422.5
124,860,15238.0933333333,74.5
128,860,12491.7819148936,377.5
131,860,7828.88613861386,205
134,860,7630.81845238095,334.5
146,860,9967.93264248705,193.5
149,860,12130.8238341969,195.5
150,860,10166.3613138686,274
154,860,12947.8949771689,219
155,860,11178.5945945946,73
156,860,7780.94277108434,661.5
157,860,12567.1234567901,325
0,861,10442.17397882,658
3,861,16555.5854545455,274
6,861,15458.074433657,310.5
10,861,13720.7491525424,294.5
14,861,12037.8178913738,317
24,861,10750.3271719039,543
51,861,13602.619760479,333.5
70,861,10028.8171091445,340.5
81,861,9542.90740740741,433
101,861,8107.7619047619,146
106,861,12349.4147982063,442
124,861,15450.4657534247,71.5
128,861,12342.0989304813,379.5
131,861,7738.95260663507,214
134,861,7590.90196078431,353.5
146,861,9689.0942408377,190.5
149,861,12001.5561797753,176.5
150,861,10225.0379146919,211
154,861,12883.742081448,221
155,861,10914.8051948052,77
156,861,7847.0868902439,657.5
157,861,12854.9034482759,290.5
0,862,10522.8542635659,646.5
3,862,16786.8550185874,268.5
6,862,15604.1329113924,317.5
10,862,13564.1493506493,307
14,862,11834.75,337.5
24,862,10641.7411347518,563.5
51,862,13579.1501416431,350
70,862,9962.69340974212,351
81,862,9538.88838268793,437.5
101,862,8131.03870967742,152
106,862,12243.5531453362,458.5
124,862,15289.4324324324,73.5
128,862,12484.4047619048,381
131,862,7816.12637362637,184.5
134,862,7557.67084639498,319
146,862,9858.30693069307,200.5
149,862,11969.3867403315,181
150,862,9098.6880733945,328.5
154,862,12889.0138248848,219
155,862,10897.6219512195,83.5
156,862,7866.80917159763,677
157,862,12874.7137931034,290
0,863,10526.6180981595,651
3,863,16672.2592592593,271.5
6,863,15267.6656534954,329.5
10,863,13536.1428571429,306.5
14,863,12093.5433333333,302.5
24,863,10741.1384892086,555
51,863,13941.4970414201,337.5
70,863,10002.0771513353,336.5
81,863,9499.90519187359,441
101,863,8172.79577464789,141
106,863,12271.8217391304,459.5
124,863,14982.8684210526,75.5
128,863,12676.9285714286,380.5
131,863,7905.03608247423,199.5
134,863,7590.25076452599,324.5
146,863,9814.975,199.5
149,863,12248.7868852459,183.5
150,863,9167.19314641744,321.5
154,863,12814.1630901288,234
155,863,10699.9036144578,84.5
156,863,7735.91594202899,690
157,863,13115.4966442953,302
0,864,10539.0588235294,646.5
3,864,16586.0827338129,276.5
6,864,15251.7673716012,332
10,864,13657.2368421053,303
14,864,12029.9339622642,320
24,864,10854.0795660036,553
51,864,13932.3421052632,340.5
70,864,10049.761627907,345.5
81,864,9575.24590163934,428.5
101,864,8105.77124183007,149.5
106,864,12176.3004201681,473
124,864,15308.5342465753,71.5
128,864,12368.9791122715,386
131,864,7799.89285714286,198.5
134,864,7653.0202020202,298.5
146,864,9688.28837209302,212.5
149,864,12016.8054054054,183.5
150,864,9228.82550335571,296
154,864,12906.8502415459,207
155,864,10752.6585365854,82
156,864,7757.17142857143,695
157,864,13096.2240802676,297.5
0,865,10553.1684532925,653.5
3,865,16658.2945454545,275
6,865,15450.4625,322.5
10,865,13627.0131147541,305
14,865,12054.0903614458,334
24,865,10862.3121495327,532.5
51,865,14184.381097561,328.5
70,865,10047.3391304348,346
81,865,9472.39318181818,440.5
101,865,8170.40287769784,141.5
106,865,12314.5784946237,462.5
124,865,15596.652173913,69.5
128,865,12241.4465240642,381
131,865,7845.96315789474,194
134,865,7600.41176470588,285.5
146,865,9696.95,197.5
149,865,12161.2176165803,191.5
150,865,8798.6875,305.5
154,865,12818.0536585366,205
155,865,10910.1234567901,80.5
156,865,7748.01596516691,686
157,865,13150.975177305,281
159,865,7446.50806451613,248.5
0,866,10592.0393081761,634
3,866,16619.0620437956,273.5
6,866,15245.6055045872,326.5
10,866,13533.4627831715,310
14,866,12350.2507836991,326
24,866,10816.6163873371,537.5
51,866,14206.9146341463,326.5
70,866,10130.9523809524,336.5
81,866,9512.46279069767,430.5
101,866,8131.45517241379,143.5
106,866,12340.1833688699,466
124,866,15785.1818181818,67
128,866,12052.4507389163,408
131,866,7850.04639175258,195.5
134,866,7515.7746031746,315
146,866,9633.61904761905,208
149,866,12183.8445595855,196.5
150,866,8392.55431754875,360
154,866,12796.0601851852,216.5
155,866,10789.7195121951,81.5
156,866,7772.01744186046,690.5
157,866,13057.8677966102,294
159,866,7693.40804597701,349.5
0,867,10538.5720858896,652
3,867,16772.0817843866,271
6,867,15114.7727272727,332.5
10,867,13758.75,303
