id;name;typ;saison;jahr;temperatur_heisse_tage;temperatur_frosttage;temperatur_tropennaechte;temperatur_mittelwert;temperatur_heizgradtage;temperatur_kuehlgradtage;niederschlag_summe;starkniederschlag_20mm_tage;trockenperiode_tage_maximum
8416;Tübingen;kreis;winter_djf;1991;0;70;0;-0,31;1381;0;99,4;0;16
8416;Tübingen;kreis;winter_djf;1992;0;63;0;0,34;1330;0;97,1;0;25
8416;Tübingen;kreis;winter_djf;1993;0;56;0;1,16;1241;0;98,8;0;17
8416;Tübingen;kreis;winter_djf;1994;0;41;0;2,71;1102;0;210,8;0;21
8416;Tübingen;kreis;winter_djf;1995;0;46;0;2,77;1097;0;179,2;0;8
8416;Tübingen;kreis;winter_djf;1996;0;82;0;-1;1460;0;88,9;0;29
8416;Tübingen;kreis;winter_djf;1997;0;64;0;-0,28;1379;0;118,9;0;17
8416;Tübingen;kreis;winter_djf;1998;0;54;0;2,4;1129;0;139,1;0;27
8416;Tübingen;kreis;winter_djf;1999;0;61;0;0,88;1267;0;167,1;0;13
8416;Tübingen;kreis;winter_djf;2000;0;49;0;1,93;1185;0;233,6;1;9
8416;Tübingen;kreis;winter_djf;2001;0;46;0;2,84;1090;0;127,9;0;8
8416;Tübingen;kreis;winter_djf;2002;0;51;0;1,62;1200;0;132,5;0;19
8416;Tübingen;kreis;winter_djf;2003;0;57;0;0,4;1310;0;131,8;0;23
8416;Tübingen;kreis;winter_djf;2004;0;61;0;1,05;1265;0;182,5;1;14
8416;Tübingen;kreis;winter_djf;2005;0;71;0;-0,33;1383;0;169,8;0;14
8416;Tübingen;kreis;winter_djf;2006;0;75;0;-1,24;1466;0;95;0;17
8416;Tübingen;kreis;winter_djf;2007;0;45;0;3,88;997;0;153,5;0;21
8416;Tübingen;kreis;winter_djf;2008;0;60;0;2,2;1161;0;126,8;0;15
8416;Tübingen;kreis;winter_djf;2009;0;75;0;-0,8;1426;0;109,8;0;15
8416;Tübingen;kreis;winter_djf;2010;0;69;0;-0,24;1373;0;147,5;0;8
8416;Tübingen;kreis;winter_djf;2011;0;62;0;0,32;1318;0;170,8;1;16
8416;Tübingen;kreis;winter_djf;2012;0;48;0;0,83;1285;0;209,4;0;43
8416;Tübingen;kreis;winter_djf;2013;0;61;0;0,54;1298;0;175,7;1;8
8416;Tübingen;kreis;winter_djf;2014;0;53;0;3,24;1054;0;133,1;1;9
8416;Tübingen;kreis;winter_djf;2015;0;60;0;1,63;1199;0;138;0;18
8416;Tübingen;kreis;winter_djf;2016;0;44;0;3,72;1022;0;162,5;0;9
8416;Tübingen;kreis;winter_djf;2017;0;74;0;0,16;1332;0;64,6;0;28
8416;Tübingen;kreis;winter_djf;2018;0;53;0;1,81;1183;0;211,2;1;12
8416;Tübingen;kreis;winter_djf;2019;0;60;0;2,33;1136;0;164;0;17
8416;Tübingen;kreis;winter_djf;2020;0;50;0;3,63;1030;0;202;1;13
8416;Tübingen;kreis;winter_djf;2021;0;58;0;2,26;1142;0;173,5;0;10
8416;Tübingen;kreis;winter_djf;2022;0;52;0;2,95;1080;0;134,4;0;16
8416;Tübingen;kreis;winter_djf;2023;0;50;0;2,75;1098;0;100,5;0;18
8416;Tübingen;kreis;winter_djf;2024;0;35;0;4,21;978;0;171,3;0;8
8416;Tübingen;kreis;fruehjahr_mam;1961;0;17;0;9,09;545;0;175;0;14
8416;Tübingen;kreis;fruehjahr_mam;1962;0;29;0;6,33;805;0;201,4;0;14
8416;Tübingen;kreis;fruehjahr_mam;1963;0;22;0;7,86;660;0;162,6;1;15
8416;Tübingen;kreis;fruehjahr_mam;1964;0;18;0;8,31;637;2;237,6;2;8
8416;Tübingen;kreis;fruehjahr_mam;1965;0;21;0;7,01;738;0;313,2;2;12
