Borough Location,Sports Played,Sunday's Attendance,Saturday's Attendance,Attendance Sum
Brooklyn,"Fitness Friday, Soccer, Basketball, Dance,Track",0,0,0
Brooklyn,"Fitness Friday, Soccer, Basketball, Dance,Track",0,0,0
Brooklyn,"Fitness Friday, Soccer, Basketball, Dance,Track",0,0,0
Brooklyn,"Fitness Friday, Soccer, Basketball, Dance,Track",0,0,0
Brooklyn,"Fitness Friday, Soccer, Basketball, Dance,Track",0,0,0
Queens,Basketball Soccer Baseball,0,0,0
Queens,Lacrosse Basketball Soccer Basketball,0,0,0
Queens,Soccer Basketball Baseball,0,0,0
Brooklyn,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",0,0,0
Brooklyn,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",0,0,0
Staten Island,"basketball, bocce, flag football",0,0,0
Bronx,"Basketball, kickball, pickle Ball, soccer, Flag Football,",0,0,0
Bronx,"Basketball, soccer, Pickleball, kickball, Flag Football,",0,0,0
Bronx,"Basketball, Soccer,Flag Football, Kickball,",0,5,5
Brooklyn,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",0,0,0
Queens,Handball Basketball Soccer,0,0,0
Queens,Basketball Soccer Baseball,0,0,0
Queens,Lacrosse Basketball Soccer,0,0,0
Queens,"Flag football, lacrosse, volleyball, basketball, baseball, soccer",0,155,155
Manhattan,Basketball,0,0,0
Manhattan,Street Hockey,0,0,0
Manhattan,Track & Field,0,0,0
Manhattan,Softball,0,0,0
Manhattan,Soccer,0,0,0
Manhattan,Soccer,0,0,0
Manhattan,Flag Football,0,0,0
Queens,lacrosse basketball volleyball soccer,0,273,273
Brooklyn,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",0,0,0
Brooklyn,"Basketball, Track, Flag football, Softball, Lacrosse, Soccer, Rugby, Ultimate Frisbee, Field Hockey, Field Games, Volleyball, Tumbling",0,0,0
Staten Island,"flag football, basketball, bocce",0,32,32
Queens,basketball football soccer,0,202,202
Bronx,"Basketball, Soccer, Flag Football, Kickball",0,15,15
Bronx,"Track and Field, Soccer , Basketball, Tennis",0,2,2
Bronx,"Basketball, Pickleball, Tennis , Soccer",0,12,12
Bronx,"Basketball, Track and Field, Soccer, Pickle Ball, Tennis",0,10,10
Bronx,"Tennis, Soccer ,Kickball, Flag Football",0,12,12
Bronx,"Soccer, Basketball, Kickball, Track and Field,",0,11,11
Queens,Basketball soccer football baseball,0,195,195
Queens,"Basketball, football, soccer, flag football",28,60,88
Queens,"Basketball, Soccer, Football, Volleyball",22,55,77
Queens,"Basketball, Soccer, Football",21,50,71
Queens,none,0,0,0
Queens,football,0,65,65
Queens,soccer,0,42,42
Bronx,"Soccer, Basketball, Flag Football",0,5,5
Bronx,"Soccer, Basketball, Flag Football",0,5,5
Bronx,"Soccer , Basketball, flag football",0,5,5
Bronx,"Basketball, soccer, Flag Football, group Games",0,25,25
Bronx,"Basketball, Soccer, Volleyball, Flag football, group Games",0,16,16
Queens,basketball,11,40,51
Bronx,"basketball, soccer, volleyball, water games",0,0,0
Bronx,"soccer, basketball, flag football, arts n crafts, volleyball, water games",0,0,0
Bronx,"basketball, soccer,",0,0,0
Bronx,"Basketball, bingo, dodgeball, soccer",0,0,0
Staten Island,"flag football , basketball, soccer",0,15,15
Queens,Football,0,60,60
Staten Island,"Basketball, Flag football , T-ball",0,15,15
Brooklyn,"Basketball, Flag Football, Badmiton, Field Games, Soccer",0,0,0
Brooklyn,"T-Ball, Pickleball, Cornhole, Badmiton, Volleyball",0,0,0
Queens,Track & field,0,30,30
Queens,basketball,0,32,32
Staten Island,"Basketball, flag football",0,8,8
Staten Island,"Basketball, flag football, soccer",0,10,10
Brooklyn,"Bowling, Volleyball, Baskeball, Track & Field, Soccer, T Ball",0,0,0
Brooklyn,"Flag Football, Basketball, Volleyball, Bowling, Badmiton, Soccer, Track and Field",0,0,0
Brooklyn,"Soccer, Basketball, Structured Play, Badmiton, Volleyball, Ulimate Frisbee",0,0,0
Brooklyn,"Soccer, Basketball, Flag football, Kickball, Badmiton, Bowling, Volleyball",0,0,0
Queens,Dodge ball Soccer Track and field,0,109,109
Staten Island,"Flag football, Basketball, soccer",0,0,0
Queens,"Baseball, soccer, basketball, badminton, kickball, relay race",0,0,0
Queens,footbal track and field,0,37,37
Staten Island,"flag football , basketball, soccer",0,15,15
Bronx,"Soccer, group Games, basket ball, volley ball",0,2,2
Bronx,"soccer , basketball, volleyball, group games",0,10,10
Bronx,"Soccer, basketball, volleyball",0,22,22
Staten Island,"Flag Football, Basketball,Soccer",0,15,15
Queens,baseball basketball soccer,0,144,144
Queens,baseball,0,112,112
Staten Island,"Flag football,basketball,t-ball,soccer,track",0,20,20
Queens,soccer,0,60,60
Queens,soccer,0,60,60
Bronx,"Basketball, soccer, hockey",0,0,0
Bronx,Due to weather we played group games.,0,0,0
Bronx,Flag football and soccer,0,0,0
Bronx,"Soccer, Group games, volley Ball, Basketball",0,0,0
Queens,baseball volleyball basketball,0,0,0
Queens,"track and field, basketball",0,0,0
Queens,"Basketball, Soccer, Frisbee, Baseball",0,33,33
Queens,Soccer,0,0,0
Bronx,"soccer , basketball, volleyball, relay races",0,30,30
Queens,Basketball,0,0,0
Bronx,"Basketball, soccer , catch, obstacle course",0,0,0
Bronx,"Soccer, golf, group game- hula hoop tag",0,0,0
Bronx,"Hula Hoop, Volley Ball, Soccer, Catch, Basketball",0,0,0
Queens,"Soccer, football, basketball, softball",0,166,166
Queens,softball soccer,0,0,0
Staten Island,"Football, Basketball",0,0,0
Staten Island,"Football, Frisbee, Basketball",0,0,0
Staten Island,"Football, Frisbee, Soccer",0,0,0
Brooklyn,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",0,0,0
Brooklyn,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",0,0,0
Queens,Soccer Basketball,0,0,0
Queens,Soccer,0,0,0
Queens,Soccer Basketball,0,0,0
Queens,Basketball,0,0,0
Queens,Soccer basketball,0,0,0
Queens,Soccer basketball,0,0,0
Queens,Basketball,0,0,0
Queens,Soccer Basketball,0,0,0
Queens,Basketball,0,0,0
Queens,Soccer,0,0,0
Queens,Basketball,0,0,0
Queens,Basketball soccer,0,0,0
Queens,Soccer Basketball,0,0,0
Queens,Basketball,0,0,0
Queens,Soccer,0,0,0
Queens,Basketball,0,0,0
Queens,"Basketball, soccer, Flag football",0,0,0
Bronx,"Baseball, Volleyball, Soccer, Football, Tennis",0,0,0
Brooklyn,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",0,0,0
Bronx,"Baseball, Soccer,  Football, Tennis,",0,0,0
Staten Island,Soccer and football,0,0,0
Brooklyn,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",0,0,0
Bronx,"Baseball, Volleyball, Soccer, Football, Tennis",0,0,0
Staten Island,"Soccer, kickball, pickleball, basketball, football",0,0,0
Bronx,"Volleyball, Football, Baseball, Soccer, Tennis",0,0,0
Brooklyn,"Basketball, Volleyball, Pickleball, Street Hockey, Football, Soccer, Team Handball, Youth Strength, Frisbee, Senior Fitness.",0,0,0
Staten Island,"Basketball, Kickball, Frisbee",0,0,0
Bronx,"Baseball, Soccer, football",0,0,0
Brooklyn,"Street hockey, basketball, team handball, youth strength, kickball, volleyball, pickleball, soccer, frisbee, football, biking, carnival games, football, senior strength",0,0,0
Staten Island,"Football, Basketball, Kickball",0,0,0
Queens,"Basketball, Soccer",0,0,0
Queens,"Basketball, Flag football",0,0,0
Queens,"Basketball, Flag football",0,0,0
Queens,"Basketball, Soccer",0,0,0
Queens,"Basketball, Flag football",0,0,0
Queens,"Basketball, Flag football",0,0,0
Queens,"Basketball, Flag football",0,0,0
Queens,"Basketball, Soccer",0,0,0
Queens,"Basketball, Soccer",0,0,0
Queens,"Basketball, Soccer",0,0,0
Brooklyn,"Street hockey, basketball, team handball, youth strength, kickball, volleyball, pickleball, soccer, frisbee, football, biking, carnival games, football, senior strength",0,0,0
Bronx,"Tennis, Football, Hockey, Track & Field, Dodgeball",0,0,0
Staten Island,"Basketball, Soccer, Dodgeball",0,0,0
Brooklyn,"Street hockey, basketball, team handball, youth strength, kickball, volleyball, pickleball, soccer, frisbee, football, biking, carnival games, football, senior strength",0,0,0
Brooklyn,"Street hockey, basketball, team handball, youth strength, kickball, volleyball, pickleball, soccer, frisbee, football, biking, carnival games, football, senior strength",0,0,0
Bronx,"Street Hockey, Baseball, Fitness, Soccer, Track & Field",0,0,0
Bronx,"Football, Baseball, Soccer, Hockey",0,0,0
Bronx,"Football, Fitness, Hockey, Baseball, Soccer",0,0,0
Bronx,"Football, baseball, fitness, hockey, soccer",0,0,0
Bronx,"football, baseball, hockey, soccer fitness",0,0,0
Bronx,"Football, baseball, hockey, fitness, track & field",0,0,0
Bronx,"Hockey, Football, Baseball, Fitness, soccer",0,0,0
Bronx,"football, soccer, hockey, baseball, track",0,0,0
