"Date","Open","High","Low","Close","Adj.Close","Volume"
"2009-11-06",3.26,3.3575,3.22,3.29,3.018065,164111200
"2009-11-09",3.335,3.4125,3.3325,3.365,3.086867,81812400
"2009-11-10",3.3775,3.3775,3.24,3.2825,3.011186,78147200
"2009-11-11",3.3375,3.455,3.3325,3.375,3.09604,87151200
"2009-11-12",3.405,3.4625,3.355,3.365,3.086867,50586400
"2009-11-13",3.3625,3.4075,3.3475,3.39,3.1098,38852400
"2009-11-16",3.42,3.4775,3.4025,3.4375,3.153375,40282000
"2009-11-17",3.44,3.44,3.3675,3.4325,3.148787,35012400
"2009-11-18",3.4,3.4125,3.3225,3.38,3.100626,45551600
"2009-11-19",3.3075,3.3075,3.185,3.245,2.976785,83384000
"2009-11-20",3.17,3.24,3.1625,3.225,2.958438,42674800
"2009-11-23",3.2725,3.3325,3.235,3.25,2.981372,39092400
"2009-11-24",3.235,3.2575,3.1775,3.23,2.963025,41850400
"2009-11-25",3.2675,3.3125,3.245,3.2675,2.997425,44176000
"2009-11-27",3.15,3.235,3.1325,3.1975,2.933212,27993200
"2009-11-30",3.21,3.2675,3.175,3.265,2.995132,50983600
"2009-12-01",3.2825,3.3675,3.265,3.33,3.054759,46193600
"2009-12-02",3.3375,3.4375,3.3175,3.43,3.146494,60229200
"2009-12-03",3.47,3.5325,3.4525,3.4575,3.171722,66003600
"2009-12-04",3.5225,3.58,3.4675,3.565,3.270335,82456400
"2009-12-07",3.9625,4.1125,3.775,4.0225,3.690022,273218400
"2009-12-08",3.9575,3.975,3.805,3.8275,3.511139,107551200
"2009-12-09",3.8675,3.9525,3.83,3.9225,3.598286,67158800
"2009-12-10",3.95,3.975,3.84,3.8525,3.534073,41701200
"2009-12-11",3.885,3.89,3.7925,3.8025,3.488205,41674400
"2009-12-14",3.8575,3.93,3.815,3.9175,3.5937,40548800
"2009-12-15",3.89,3.9775,3.88,3.9125,3.589114,44615200
"2009-12-16",4.0525,4.2725,4.03,4.2275,3.878078,168340000
"2009-12-17",4.24,4.37,4.145,4.2075,3.859729,101613200
"2009-12-18",4.2425,4.2575,4.155,4.205,3.857437,81282800
"2009-12-21",4.23,4.3725,4.225,4.355,3.995039,42779200
"2009-12-22",4.355,4.515,4.35,4.47,4.100532,79304400
"2009-12-23",4.5125,4.545,4.455,4.5325,4.157867,44219600
"2009-12-24",4.545,4.5525,4.505,4.5225,4.148695,13681200
"2009-12-28",4.515,4.555,4.405,4.45,4.082186,46576000
"2009-12-29",4.435,4.5175,4.425,4.505,4.132638,47584800
"2009-12-30",4.5475,4.695,4.515,4.6675,4.281709,70400800
"2009-12-31",4.6775,4.7375,4.665,4.67,4.284001,70034000
"2010-01-04",4.6275,4.655,4.5275,4.6225,4.240429,80020400
