item,idx,token,surprisal
1.6,55,ither,16.301362991333008
1.6,56,g,6.420098781585693
1.6,57,es,1.9122059345245361
1.6,58,pan,14.903891563415527
1.6,59,nt,5.397317886352539
1.6,60,a,7.469829559326172
1.6,61,uf,0.9604621529579163
1.6,62,die,2.8035998344421387
1.6,63,Er,7.023716449737549
1.6,64,ge,6.323287487030029
1.6,65,bn,0.6607921123504639
1.6,66,isse,0.1842075139284134
1.6,67,g,6.077103137969971
1.6,68,ew,2.3164114952087402
1.6,69,art,11.328133583068848
1.6,70,et,6.164694786071777
1.6,71,ha,8.977743148803711
1.6,72,ben,0.33317992091178894
1.6,73,.,1.220078468322754
1.6,74,In,5.935649394989014
1.6,75,der,3.1680943965911865
1.6,76,he,9.971647262573242
1.6,77,ut,7.873810291290283
1.6,78,igen,3.8793129920959473
1.6,79,St,6.068474769592285
1.6,80,und,7.661693096160889
1.6,81,e,1.5997892618179321
1.6,82,w,6.015653133392334
1.6,83,urden,5.037415027618408
1.6,84,die,4.382410526275635
1.6,85,Pr,10.305167198181152
1.6,86,ü,0.5753108859062195
1.6,87,f,0.6549993753433228
1.6,88,ung,1.1873170137405396
1.6,89,en,3.4060251712799072
1.6,90,d,6.647450923919678
1.6,91,ann,5.985482692718506
1.6,92,end,13.96695613861084
1.6,93,lich,4.281163215637207
1.6,94,z,4.170646667480469
1.6,95,ur,2.803844928741455
1.6,96,ü,6.9327898025512695
1.6,97,ck,0.1148238480091095
1.6,98,ge,10.047825813293457
1.6,99,ge,6.707592487335205
1.6,100,ben,1.429236650466919
1.6,101,.,3.04537034034729
1.6,102,Peter,13.096282005310059
1.6,103,war,15.75754165649414
1.6,104,se,6.000960350036621
1.6,105,hr,2.624704122543335
1.6,106,g,6.472840785980225
1.6,107,es,1.4177595376968384
1.6,108,pan,11.845930099487305
1.6,109,nt,0.41151514649391174
1.6,110,a,4.847714900970459
1.6,111,uf,0.7188742160797119
1.6,112,se,6.709293365478516
1.6,113,ine,3.8169333934783936
1.6,114,Note,16.110109329223633
1.6,115,und,5.815121173858643
1.6,116,�,6.782382965087891
1.6,117,�,3.700878858566284
1.6,118,ff,0.30699437856674194
1.6,119,net,10.990933418273926
1.6,120,e,6.504096984863281
1.6,121,z,4.657860279083252
1.6,122,itter,18.856365203857422
1.6,123,nd,11.928862571716309
1.6,124,se,9.199189186096191
1.6,125,inen,2.868934154510498
1.6,126,U,9.67950439453125
1.6,127,ms,6.539816856384277
1.6,128,ch,1.1576917171478271
1.6,129,lag,4.431553363800049
1.6,130,.,3.871270179748535
1.6,131,Al,9.629478454589844
1.6,132,s,1.6351252794265747
1.6,133,er,6.454056262969971
1.6,134,sa,14.306925773620605
1.6,135,h,3.3061113357543945
1.6,136,",",10.235618591308594
1.6,137,d,4.247799396514893
1.6,138,ass,1.1366338729858398
1.6,139,er,3.6352784633636475
1.6,140,e,4.204156875610352
1.6,141,ine,2.3271126747131348
1.6,142,1,10.781813621520996
1.6,143,be,10.751202583312988
1.6,144,k,4.921692848205566
1.6,145,omm,2.6723012924194336
1.6,146,en,0.10240906476974487
1.6,147,hat,9.061019897460938
1.6,148,te,5.145463943481445
1.6,149,",",3.186725378036499
1.6,150,stra,16.026897430419922
1.6,151,hl,9.925429344177246
1.6,152,te,2.044910430908203
1.6,153,er,6.483803749084473
1.6,154,v,8.731241226196289
1.6,155,or,1.1428920030593872
1.6,156,Fre,12.313681602478027
1.6,157,ude,4.904748439788818
1.6,158,.,3.8416190147399902
1.6,159,Peter,5.770148754119873
1.6,160,f,6.712085247039795
1.6,161,iel,10.9805269241333
1.6,162,e,4.868013381958008
1.6,163,in,2.0912294387817383
1.6,164,Stein,11.514344215393066
1.6,165,vom,9.190939903259277
1.6,166,Her,11.153168678283691
1.6,167,zen,4.688492774963379
1.6,168,al,8.015847206115723
1.6,169,s,0.021743502467870712
1.6,170,er,5.4011921882629395
1.6,171,se,6.1842498779296875
1.6,172,ine,3.066392183303833
1.6,173,g,9.055816650390625
1.6,174,ute,10.890810012817383
1.6,175,Note,16.91905403137207
1.6,176,sa,11.303606033325195
1.6,177,h,0.5053766369819641
1.6,178,.,2.671306848526001
2.3,1,Eva,15.413300514221191
2.3,2,hat,15.891682624816895
2.3,3,s,12.436097145080566
2.3,4,ich,8.601369857788086
2.3,5,v,8.51530647277832
2.3,6,or,2.8248109817504883
2.3,7,k,7.68714714050293
2.3,8,ur,5.259186267852783
2.3,9,z,3.1810145378112793
2.3,10,em,10.15368938446045
2.3,11,von,8.60513687133789
2.3,12,i,7.257069110870361
2.3,13,h,1.4323810338974
2.3,14,rem,4.416433811187744
2.3,15,Fre,8.493712425231934
2.3,16,und,2.1795642375946045
2.3,17,Richard,17.642131805419922
2.3,18,get,13.418147087097168
2.3,19,ren,7.043364524841309
2.3,20,nt,9.237741470336914
2.3,21,.,2.62484073638916
2.3,22,Sie,6.590789794921875
2.3,23,m,5.892453670501709
2.3,24,ö,3.737532377243042
2.3,25,ch,3.298650026321411
2.3,26,te,2.1147055625915527
2.3,27,i,5.981400966644287
2.3,28,hn,2.898144006729126
2.3,29,n,6.054396152496338
2.3,30,icht,1.086302399635315
2.3,31,me,5.1127028465271
2.3,32,hr,1.0838475227355957
2.3,33,se,6.823211669921875
