"Cell.ID","x","y","Time.point","Intensity","Area"
57,41.6723113487819,39.6824123588829,1753,6183.86631016043,561
57,42.527850685331,39.8501020705745,1754,6170.91289198606,571.5
57,42.1633109619687,41.3962217250808,1755,6088.06128550075,670.5
57,42.5267629566695,41.7156612857547,1756,6157.35521885522,588.5
57,42.8685258964143,41.1123505976096,1757,6126.78571428571,627.5
57,42.2132034632035,40.985119047619,1758,6136.64820846906,616
57,43.055602358888,41.092951418141,1759,6155.27181208054,593.5
57,42.7385398981324,40.0164119977363,1760,6156.85519591141,589
57,42.4102564102564,40.5688405797101,1761,6147.21035058431,598
57,42.6729843561974,41.0006016847172,1762,6181.87027027027,554
57,43.1704240472356,41.9213633923779,1763,6127.89067524116,621
57,43.1270114942529,41.1945402298851,1764,6160.9089347079,580
57,41.9606109324759,42.0460878885316,1765,6128.85691318328,622
57,42.1141242937853,42.9918079096045,1766,6157.81694915254,590
57,41.9673617407072,40.5013599274705,1767,6192.88203266788,551.5
57,42.9705965507492,41.7206672321176,1768,6156.36440677966,589.5
57,43.4044483465028,41.4852209540533,1769,6159.17832167832,569.5
57,42.0610094287299,42.9392678868552,1770,6148.08528428094,601
57,40.862540192926,43.271436227224,1771,6129.34677419355,622
57,41.4241444354621,42.8496362166532,1772,6126.88548387097,618.5
57,42.0199127114021,42.7839607201309,1773,6129.8737704918,611
57,41.8527322404372,43.0666666666667,1774,6123.50572831424,610
57,41.3583896396396,42.9217342342342,1775,6144.53650254669,592
57,41.6353300055463,43.0377149195785,1776,6134.58166666667,601
57,41.5122807017544,43.1589743589744,1777,6137.78536585366,617.5
57,40.8934817170111,43.0651828298887,1778,6111.39968404423,629
57,39.3369963369963,43.9819667511975,1779,6151.09797297297,591.5
57,40.8980960042907,44.0812550281577,1780,6116.40032154341,621.5
57,39.83720309581,44.3597544702429,1781,6121.79066022544,624.5
57,39.3539264140582,44.1595277320154,1782,6133.8275862069,607
57,39.6024711254365,43.2164920762826,1783,6112.44677419355,620.5
57,39.5214521452145,44.3415841584158,1784,6138.8023255814,606
57,39.3655367231638,44.7717514124294,1785,6146.70489038786,590
57,40.320090166244,43.8892645815723,1786,6151.76351351351,591.5
57,38.685290148448,43.3600539811066,1787,6136.30894308943,617.5
57,38.682312383983,43.3338636966322,1788,6128.2112,628.5
57,39.6215161649944,44.4386845039019,1789,6149.9397993311,598
57,39.7527333894029,43.2724978973928,1790,6151.26722689076,594.5
57,38.6733925208502,42.725585149314,1791,6142.23414634146,619.5
57,39.3052543786489,43.192938559911,1792,6167.88313856427,599.5
57,38.92490545651,44.4451647757969,1793,6143.14146341463,617
57,38.4974847762775,43.9105109875563,1794,6141.31796502385,629.5
57,38.9780392156863,43.7126797385621,1795,6136.3934169279,637.5
57,38.9903570497785,44.1188428459734,1796,6134.35949764521,639.5
57,39.0286796536797,43.0175865800866,1797,6150.18770226537,616
57,38.4020467836257,44.8133528265107,1798,6083.69781021898,684
57,38.9652720809407,44.3374350560569,1799,6154.90131578947,609.5
57,39.5952584975721,44.2562125107112,1800,6185.85714285714,583.5
57,38.0791536050157,44.3260188087774,1801,6132.49921507064,638
57,37.9859799713877,44.7184549356223,1802,6177.12842465753,582.5
57,39.48744382765,43.5794343113931,1803,6136.14583333333,630.5
57,38.8700737350623,46.1037376048818,1804,6103.47846153846,655.5
57,38.1321483771252,44.9760432766615,1805,6106.42349304482,647
57,39.4725333333333,45.4576,1806,6145.25603864734,625
57,39.6671903639696,46.260539408222,1807,6138.09779179811,636.5
57,38.2089821710675,47.2380952380952,1808,6042.20923913043,738.5
57,38.6906862745098,47.4850490196078,1809,6091.1775147929,680
57,38.4068589243959,46.0802805923617,1810,6129.16509433962,641.5
57,38.6447136008075,47.1342417360585,1811,6108.34398782344,660.5
57,38.7373604727511,46.523528124316,1812,6017.26462765957,761.5
57,38.5498408033309,46.6857702669606,1813,6084.12573964497,680.5
57,39.7074247144341,45.2198857736241,1814,6107.521875,642
57,39.4519303557911,46.4471360080747,1815,6094.03647416413,660.5
57,38.8454035601073,46.6871494757376,1816,6081.970544919,683.5
57,37.525204359673,46.3208446866485,1817,6046.03021978022,734
57,38.7321428571429,46.4270186335404,1818,6107.05772230889,644
57,38.7944526993561,46.6054977711739,1819,6090.32835820896,673
57,38.534328358209,45.2320895522388,1820,6094.29657228018,670
57,37.8063026351535,46.6587883727248,1821,6143.82792207792,613.5
57,38.5069667738478,46.4753483386924,1822,6145.41129032258,622
57,38.5856394913987,46.6382448267265,1823,6101.87874251497,668.5
57,37.4047064908198,46.4305663304888,1824,6118.04192546584,644.5
57,37.8286403861625,45.8538482166801,1825,6146.91276252019,621.5
57,38.7498662386303,46.1278758694489,1826,6134.70786516854,623
57,38.9310624493106,47.2435793457691,1827,6139.27569331158,616.5
57,38.0553140096618,47.6012077294686,1828,6085.24489795918,690
57,37.9547222222222,46.5169444444444,1829,6160.34941763727,600
57,38.3537095088819,48.0940438871473,1830,6119.15987460815,638
57,38.222558667676,48.8268988140298,1831,6103.74548192771,660.5
57,38.1169510807736,47.0807736063709,1832,6049.93023255814,732.5
57,38.1086054950752,47.277345775013,1833,6130.32653061224,643
57,37.7677638453501,47.8853187042842,1834,6119.76025236593,638
57,38.4896882494005,47.7745803357314,1835,6068.03323699422,695
57,38.1770516717325,46.3733535967579,1836,6107.75799086758,658
57,38.8202764976959,47.3878648233487,1837,6120.40866873065,651
57,38.4312808521694,47.9825928812679,1838,6121.406885759,641.5
57,38.9018025289212,47.8574118913102,1839,6134.93993506493,619.5
57,38.117500622355,46.6514812048793,1840,6082.79248120301,669.5
57,38.1731859410431,47.202947845805,1841,6158.59215017065,588
57,37.5344596406543,47.4810941271118,1842,6125.60096930533,621.5
57,37.3459020686043,48.1440167583137,1843,6114.87203791469,636.5
57,37.3875338753388,48.6615176151762,1844,6135.74220032841,615
57,37.9363966770509,48.3268431983385,1845,6119.75981161695,642
57,36.8043355855856,48.3896396396396,1846,6147.01180438449,592
57,37.532005312085,47.9891102257636,1847,6120.61698717949,627.5
57,36.2804146208401,48.3281505728314,1848,6136.98360655738,611
57,37.6791699920192,49.8095238095238,1849,6122.12082670906,626.5
57,36.8225238813474,48.9499748617396,1850,6087.94081942337,663
57,36.7574645129711,49.3139990210475,1851,6080.54197349043,681
57,38.1239691407289,48.8520883213621,1852,6115.6848,626.5
57,36.7207488299532,49.8842953718149,1853,6110.11580594679,641
57,37.175519630485,47.4698486014883,1854,6104.44341085271,649.5
57,36.6873880787925,48.7441800972116,1855,6104.07503828484,651.5
57,37.6052126200274,47.7879286694101,1856,6136.20895522388,607.5
57,37.555376344086,49.4612903225806,1857,6124.4564516129,620
57,37.9847545219638,49.7498708010336,1858,6106.22015503876,645
57,37.6721672167217,49.1518151815182,1859,6151.98349834983,606
57,36.4208472686734,50.025641025641,1860,6149.87123745819,598
57,37.4897902869757,50.3747240618102,1861,6151.94029850746,604
57,38.3037908496732,47.7660130718954,1862,6119.01569858713,637.5
57,39.0385764737843,49.3588698723173,1863,6136.58360655738,613.5
57,37.8149078726968,50.07063093244,1864,6158.797319933,597
57,36.9522113386762,51.3259127337489,1865,6183.8375,561.5
57,38.2042628774423,49.6657785671995,1866,6165.65371024735,563
57,38.2673450508788,50.6361393771199,1867,6198.88497217069,540.5
57,38.088122605364,49.3902572523262,1868,6126.05747126437,609
57,37.0236641221374,50.8992366412214,1869,6101.94045801527,655
57,37.3054905022118,49.7096018735363,1870,6096.80093312597,640.5
57,36.9357652656622,50.1919111816019,1871,6107.60952380952,630.5
57,37.415270018622,49.341846235701,1872,6114.38178913738,626.5
57,37.3580536039552,49.8472547488941,1873,6097.84144427002,640.5
57,37.1941475826972,49.6503816793893,1874,6090.93568147014,655
57,38.280487804878,50.5628726287263,1875,6121.57235772358,615
57,36.546511627907,50.833850129199,1876,6092.16899224806,645
57,37.3384823848238,50.2073170731707,1877,6115.28292682927,615
57,36.3631678871711,50.2639001898563,1878,6112.55882352941,614.5
