Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition
2,1,1,55,2.418,1.1,50,Baseline
2,2,2,99,1.667,0.31,47,Baseline
2,2,2,99,1.563,0.63,47,Baseline
2,2,2,99,1.377,0.136,44,Baseline
2,2,2,99,1.357,0.066,44,Baseline
2,2,2,71,1.907,0.62,41,Baseline
2,1,1,89,1.912,1.325,41,Baseline
2,2,1,89,1.417,0.666,38,Baseline
2,2,1,56,1.392,1.046,41,Baseline
2,1,1,99,1.567,0.601,44,Baseline
2,1,1,99,0.887,0.27,44,Baseline
2,2,2,99,1.338,0.206,41,Baseline
2,2,2,99,1.262,0.086,41,Baseline
2,1,2,86,1.127,0.396,38,Baseline
2,2,2,99,1.855,0.116,41,Baseline
2,2,2,9,1.147,0.12,41,Baseline
2,2,2,99,2.842,0.501,38,Baseline
2,1,1,99,1.282,0.561,38,Baseline
2,1,2,66,1.833,0.64,35,Baseline
2,2,1,12,1.393,0.921,38,Baseline
2,2,2,65,1.593,0.376,41,Baseline
2,1,1,89,1.857,0.885,41,Baseline
2,1,1,90,1.758,0.42,38,Baseline
2,2,2,99,1.657,0.255,38,Baseline
2,1,1,99,1.593,1.61,35,Baseline
2,1,1,90,2.107,1.71,35,Baseline
2,1,1,85,2.273,0.415,32,Baseline
2,1,2,84,2.341,0.471,32,Baseline
2,2,1,42,2.383,0.93,35,Baseline
2,1,1,90,1.397,0.79,38,Baseline
2,1,1,85,2.593,0.535,38,Baseline
2,1,1,90,2.637,1.231,35,Baseline
2,2,1,75,3.003,0.886,35,Baseline
2,1,1,99,1.257,0.241,38,Baseline
2,2,1,99,1.548,1.031,38,Baseline
2,2,2,99,1.332,0.281,41,Baseline
2,1,2,89,2.223,0.281,41,Baseline
2,2,1,11,1.687,0.401,53,Baseline
2,2,2,99,1.42,0.135,56,Baseline
2,1,1,99,1.842,0.249,56,Baseline
2,1,1,99,1.017,0.561,53,Baseline
2,2,2,99,1.123,0.404,53,Baseline
2,2,2,9,1.032,0.091,50,Baseline
2,1,1,99,1.212,0.186,50,Baseline
2,1,2,11,1.352,0.165,47,Baseline
2,2,1,99,1.178,0.555,50,Baseline
2,1,2,99,1.982,0.365,53,Baseline
2,1,1,99,2.207,0.197,56,Baseline
2,1,1,99,1.252,0.386,56,Baseline
2,1,1,99,0.967,0.237,53,Baseline
2,2,2,99,1.148,0.054,53,Baseline
2,2,2,99,0.9,0.321,50,Baseline
2,2,2,99,1.027,0.386,50,Baseline
2,2,2,99,0.866,0.086,47,Baseline
2,2,1,12,1.366,0.176,47,Baseline
2,2,2,99,1.193,0.151,50,Baseline
2,1,1,99,1.142,0.15,50,Baseline
2,2,2,99,1.502,0.056,47,Baseline
2,1,1,99,0.837,0.231,47,Baseline
2,1,1,99,1.527,0.191,44,Baseline
2,1,1,99,1.347,0.451,44,Baseline
2,2,2,99,1.167,0.2,41,Baseline
2,2,2,85,1.472,0.346,41,Baseline
2,1,2,90,1.787,0.091,38,Baseline
2,1,1,99,1.802,0.436,41,Baseline
2,2,2,55,2.491,0.151,41,Baseline
2,1,2,88,2.597,0.511,38,Baseline
2,2,2,99,2.323,0.35,41,Baseline
2,1,1,89,1.346,0.551,41,Baseline
2,1,1,99,1.138,0.391,38,Baseline
2,1,2,89,2.227,0.785,38,Baseline
2,1,1,85,2.498,0.215,41,Baseline
2,1,2,99,1.372,0.121,41,Baseline
2,1,1,99,1.357,0.322,44,Baseline
2,2,2,99,1.427,0.221,44,Baseline
2,1,1,99,1.017,0.216,41,Baseline
2,1,1,99,1.118,0.07,41,Baseline
2,2,2,99,2.097,0.171,38,Baseline
2,2,2,99,1.092,0.062,38,Baseline
2,2,1,78,1.632,0.314,35,Baseline
2,1,1,89,1.132,0.191,38,Baseline
2,2,2,99,1.228,0.24,38,Baseline
2,2,2,99,1.577,0.176,35,Baseline
2,1,1,80,0.967,0.251,35,Baseline
2,1,1,78,1.867,0.296,32,Baseline
2,1,1,78,1.582,0.33,32,Baseline
2,2,1,65,1.797,0.415,29,Baseline
2,1,1,12,1.359,1.614,53,Fast
2,1,1,99,1.569,0.176,53,Fast
2,2,2,99,0.983,0.103,50,Fast
2,2,2,99,1.177,0.166,50,Fast
2,2,2,99,0.892,0.096,47,Fast
2,2,2,99,1.117,0.205,47,Fast
2,2,2,88,2.001,0.414,44,Fast
2,1,1,99,1.618,0.29,44,Fast
2,2,2,99,1.342,0.141,41,Fast
2,2,2,12,2.051,0.126,41,Fast
2,1,1,90,2.322,0.461,38,Fast
2,2,1,78,1.502,0.679,38,Fast
2,2,2,90,1.143,0.255,41,Fast
2,1,1,99,1.232,0.285,41,Fast
2,1,1,99,1.382,0.15,38,Fast
2,2,2,80,1.697,0.411,38,Fast
2,1,2,99,1.487,0.28,35,Fast
2,2,2,99,1.153,0.096,38,Fast
2,2,2,99,1.572,0.081,38,Fast
2,2,2,99,1.007,0.071,35,Fast
2,2,2,99,1.131,0.14,35,Fast
2,1,1,60,2.272,0.326,32,Fast
2,1,1,99,1.248,0.175,32,Fast
2,1,2,99,1.207,0.445,29,Fast
2,1,2,80,1.307,0.316,32,Fast
2,1,1,99,1.342,0.151,35,Fast
2,1,2,97,2.117,0.516,35,Fast
2,1,2,67,2.437,0.431,38,Fast
2,2,2,95,1.262,1.106,41,Fast
2,2,1,66,1.778,0.66,41,Fast
2,2,2,99,1.272,0.096,44,Fast
2,2,2,99,1.953,0.179,44,Fast
2,1,1,99,1.067,0.176,41,Fast
2,2,2,99,1.327,0.111,41,Fast
2,1,1,99,0.922,0.186,38,Fast
2,1,1,99,0.857,0.209,38,Fast
2,2,2,99,1.273,0.155,35,Fast
2,1,1,78,1.522,0.481,35,Fast
2,2,1,99,1.352,0.046,32,Fast
2,1,NaN,NaN,NaN,NaN,35,Fast
2,1,2,99,2.018,1.566,38,Fast
2,2,2,99,1.453,1.516,41,Fast
2,2,2,99,1.307,1.14,41,Fast
2,2,2,99,0.922,0.606,38,Fast
2,2,2,99,1.227,0.116,38,Fast
2,1,1,99,1.167,0.306,35,Fast
2,2,2,99,0.953,0.265,35,Fast
2,2,1,99,0.737,0.651,32,Fast
2,1,1,99,1.227,1.526,35,Fast
2,1,1,99,0.957,1.149,35,Fast
2,2,2,99,3.24,1.319,53,Slow
2,2,2,99,1.259,0.915,53,Slow
2,2,2,99,0.803,0.361,50,Slow
