participant,sex,age_range,do_you_have_a_mobile_phone,is_this_mobile_phone_yours_or_do_you_share_it,age_group,age_sex_group,mobile_phone_ownership,platform_for_health,platform_for_hisb,platform_for_health_topic,computer_searching,computer_socializing,computer_entertainment,computer_studying,computer_others,mobile_searching,mobile_socializing,mobile_entertainment,mobile_studying,mobile_others,hisb_rate
92,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,1,2,0,0,0,1,2,0,0,0
93,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,social media,search engine,none,1,0,2,1,0,1,1,3,1,0,1
94,F,Greater than or equal to 18,1,Not shared,>=18,>=18 F,2,,none,none,0,0,3,0,0,0,1,3,0,0,0
95,F,Greater than or equal to 18,1,Not shared,>=18,>=18 F,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
96,F,Greater than or equal to 18,1,Not shared,>=18,>=18 F,2,,none,none,0,0,0,1,0,0,0,2,1,0,0
97,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,,none,none,0,0,1,0,0,0,0,0,0,0,0
98,M,Lower than or equal 15,1,Shared,<=15,<=15 M,1,,none,none,1,0,2,1,0,1,2,0,1,0,0
99,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
100,F,Greater than or equal to 18,1,Not shared,>=18,>=18 F,2,social media,search engine,app,0,0,1,0,0,1,0,0,0,0,1
101,M,Between 16 and 17 inclusive,1,Shared,16-17,16-17 M,1,,none,none,0,0,1,0,0,0,0,1,0,0,0
102,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,social media,social media,social media,0,0,1,0,0,1,1,3,1,0,1
103,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,social media,none,none,1,0,1,1,0,0,0,0,0,0,0
104,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,social media,social media,social media,1,1,0,1,0,1,3,3,1,0,2
