Obj;Field;POS;Context;Number;Phase;HollowGlass;FlatGlass;Splitter;GlassChunk;Droplet;Slag;Tessera;Rod_yellow;Rod_orange;Rod_red;Rod_blue;Rod_white;Rod_greeen;Rod_Molten;Rod_Plychrome;Rod_Length;Rod_Dm;Pontil_yellow;Pontil_orange;Pontil_red;Pontil_bluee;Pontil_white;Pontil_green;OGW_yellow;OGW_orange;OGW_red;OGW_black;OGW_blue;OGW_green;OGW_white;Bead;RV;OvenPiece;Miscellaneous
1052;47;3785;2047;xx1;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;;2049;xx1;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3721;2050;201;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;46;3721;2050;202;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
1052;46;3721;2050;203;Umgelagert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3798;2051;201;Phase Petra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3798;2051;202;Phase Petra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;47;3798;2051;203;Phase Petra;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;46;3791;2053;201;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;46;3791;2053;202;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;46;3791;2053;203;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;46;3791;2053;204;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;46;3791;2053;205;Oberer Silt-älter als Gräber;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;46;3791;2053;206;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
1052;46;3791;2053;207;Oberer Silt-älter als Gräber;;;;;;;;1;;;;;;;;9;5;;;;;;;;;;;;;;;;;
1052;46;3791;2053;209;Oberer Silt-älter als Gräber;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;46;3791;2053;210;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3791;2053;211;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3791;2053;212;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3791;2053;213;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3791;2053;214;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3791;2053;215;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3791;2053;216;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3791;2053;217;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;46;3791;2053;218;Oberer Silt-älter als Gräber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
