Datum;Uhrzeit;ST;Mannschaft 1;Mannschaft 2;Gastgeber;Austragungsort/Ergebnis;Austragungsort;Ergebnis;Saison;Spielrunde;Geschlecht;Satzpunkte;Ballpunkte;Spieldauer;Zuschauerzahl;Satzpunkte 1;:;Satzpunkte 2;Satz 1 - Ballpunkte 1;:;Satz 1 - Ballpunkte 2;Satz 1 - Satzdauer;Satz 2 - Ballpunkte 1;:;Satz 2 - Ballpunkte 2;Satz 2 - Satzdauer;Satz 3 - Ballpunkte 1;:;Satz 3 - Ballpunkte 2;Satz 3 - Satzdauer;Satz 4 - Ballpunkte 1;:;Satz 4 - Ballpunkte 2;Satz 4 - Satzdauer;Satz 5 - Ballpunkte 1;:;Satz 5 - Ballpunkte 2;Satz 5 - Satzdauer
07.01.2023;17:30:00;Spieltag 14;BERLIN RECYCLING Volleys;Energiequelle Netzhoppers KW-Bestensee;BERLIN RECYCLING Volleys;3:0 / 75:45;Max-Schmeling-Halle (10437 Berlin);3:0 / 75:45;2022/23;1. Bundesliga Männer;männlich;03:00;75:45:00;73;5438;3;:;0;25;:;16;29;25;:;12;21;25;:;17;23;;;;;;;;
07.01.2023;20:00:00;Spieltag 14;VfB Friedrichshafen;WWK Volleys Herrsching;VfB Friedrichshafen;1:3 / 88:97;SPACETECH ARENA (88046 Friedrichshafen);1:3 / 88:97;2022/23;1. Bundesliga Männer;männlich;01:03;88:97;112;1000;1;:;3;22;:;25;27;25;:;22;27;19;:;25;29;22;:;25;29;;;;
08.01.2023;15:00:00;Spieltag 14;SVG Lüneburg;TSV Haching München;SVG Lüneburg;3:0 / 75:58;LKH Arena (21339 Lüneburg);3:0 / 75:58;2022/23;1. Bundesliga Männer;männlich;03:00;75:58:00;73;2150;3;:;0;25;:;20;23;25;:;18;26;25;:;20;24;;;;;;;;
11.01.2023;18:00:00;Spieltag 12;VCO Berlin;Energiequelle Netzhoppers KW-Bestensee;VCO Berlin;0:3 / 53:75;Sportforum Berlin (13053 Berlin);0:3 / 53:75;2022/23;1. Bundesliga Männer;männlich;00:03;53:75;76;68;0;:;3;20;:;25;25;17;:;25;27;16;:;25;24;;;;;;;;
14.01.2023;17:30:00;Spieltag 15;Helios GRIZZLYS Giesen;BERLIN RECYCLING Volleys;Helios GRIZZLYS Giesen;3:0 / 75:58;Volksbank-Arena Hildesheim (31137 Hildesheim);3:0 / 75:58;2022/23;1. Bundesliga Männer;männlich;03:00;75:58:00;83;1713;3;:;0;25;:;20;26;25;:;16;25;25;:;22;32;;;;;;;;
14.01.2023;19:00:00;Spieltag 15;Energiequelle Netzhoppers KW-Bestensee;VfB Friedrichshafen;Energiequelle Netzhoppers KW-Bestensee;0:3 / 58:75;Landkost-Arena Bestensee (15741 Bestensee);0:3 / 58:75;2022/23;1. Bundesliga Männer;männlich;00:03;58:75;79;410;0;:;3;22;:;25;26;16;:;25;24;20;:;25;29;;;;;;;;
14.01.2023;20:00:00;Spieltag 15;WWK Volleys Herrsching;SVG Lüneburg;WWK Volleys Herrsching;0:3 / 62:75;BMW Park (81373 München);0:3 / 62:75;2022/23;1. Bundesliga Männer;männlich;00:03;62:75;81;1100;0;:;3;23;:;25;27;23;:;25;29;16;:;25;25;;;;;;;;
15.01.2023;16:00:00;Spieltag 15;TSV Haching München;VCO Berlin;TSV Haching München;3:0 / 75:65;Geothermie Arena (82008 Unterhaching);3:0 / 75:65;2022/23;1. Bundesliga Männer;männlich;03:00;75:65;78;350;3;:;0;25;:;20;24;25;:;23;28;25;:;22;26;;;;;;;;
18.01.2023;19:00:00;Spieltag 16;SVG Lüneburg;Energiequelle Netzhoppers KW-Bestensee;SVG Lüneburg;3:1 / 97:82;LKH Arena (21339 Lüneburg);3:1 / 97:82;2022/23;1. Bundesliga Männer;männlich;03:01;97:82;101;1430;3;:;1;25;:;19;26;25;:;17;24;22;:;25;25;25;:;21;26;;;;
18.01.2023;19:30:00;Spieltag 16;BERLIN RECYCLING Volleys;SWD powervolleys Düren;BERLIN RECYCLING Volleys;3:1 / 108:95;Max-Schmeling-Halle (10437 Berlin);3:1 / 108:95;2022/23;1. Bundesliga Männer;männlich;03:01;108:95;140;3691;3;:;1;31;:;33;56;27;:;25;32;25;:;17;25;25;:;20;27;;;;
18.01.2023;20:00:00;Spieltag 16;VfB Friedrichshafen;Helios GRIZZLYS Giesen;VfB Friedrichshafen;3:1 / 98:89;SPACETECH ARENA (88046 Friedrichshafen);3:1 / 98:89;2022/23;1. Bundesliga Männer;männlich;03:01;98:89;107;938;3;:;1;23;:;25;28;25;:;19;24;25;:;23;27;25;:;22;28;;;;
20.01.2023;18:00:00;Spieltag 17;VCO Berlin;BERLIN RECYCLING Volleys;VCO Berlin;0:3 / 55:75;Sportforum Berlin (13053 Berlin);0:3 / 55:75;2022/23;1. Bundesliga Männer;männlich;00:03;55:75;71;387;0;:;3;18;:;25;23;14;:;25;22;23;:;25;26;;;;;;;;
21.01.2023;17:30:00;Spieltag 17;Energiequelle Netzhoppers KW-Bestensee;WWK Volleys Herrsching;Energiequelle Netzhoppers KW-Bestensee;1:3 / 80:94;Landkost-Arena Bestensee (15741 Bestensee);1:3 / 80:94;2022/23;1. Bundesliga Männer;männlich;01:03;80:94;95;411;1;:;3;25;:;19;22;19;:;25;25;17;:;25;24;19;:;25;24;;;;
21.01.2023;20:00:00;Spieltag 17;Helios GRIZZLYS Giesen;SVG Lüneburg;Helios GRIZZLYS Giesen;0:3 / 62:75;Volksbank-Arena Hildesheim (31137 Hildesheim);0:3 / 62:75;2022/23;1. Bundesliga Männer;männlich;00:03;62:75;86;2110;0;:;3;21;:;25;29;18;:;25;27;23;:;25;30;;;;;;;;
22.01.2023;17:30:00;Spieltag 17;SWD powervolleys Düren;VfB Friedrichshafen;SWD powervolleys Düren;2:3 / 101:109;Arena Kreis Düren (52349 Düren);2:3 / 101:109;2022/23;1. Bundesliga Männer;männlich;02:03;101:109;117;2200;2;:;3;22;:;25;24;26;:;24;30;25;:;20;25;17;:;25;24;11;:;15;14
28.01.2023;19:15:00;Spieltag 18;TSV Haching München;Energiequelle Netzhoppers KW-Bestensee;TSV Haching München;3:2 / 96:100;Geothermie Arena (82008 Unterhaching);3:2 / 96:100;2022/23;1. Bundesliga Männer;männlich;03:02;96:100;108;350;3;:;2;25;:;18;23;25;:;20;25;14;:;25;22;17;:;25;23;15;:;12;15
28.01.2023;19:30:00;Spieltag 18;SVG Lüneburg;SWD powervolleys Düren;SVG Lüneburg;2:3 / 94:104;LKH Arena (21339 Lüneburg);2:3 / 94:104;2022/23;1. Bundesliga Männer;männlich;02:03;94:104;120;3050;2;:;3;20;:;25;26;25;:;16;24;13;:;25;25;25;:;23;29;11;:;15;16
28.01.2023;19:45:00;Spieltag 18;VfB Friedrichshafen;VCO Berlin;VfB Friedrichshafen;3:0 / 75:58;SPACETECH ARENA (88046 Friedrichshafen);3:0 / 75:58;2022/23;1. Bundesliga Männer;männlich;03:00;75:58:00;72;1000;3;:;0;25;:;18;23;25;:;21;24;25;:;19;25;;;;;;;;
28.01.2023;20:00:00;Spieltag 18;WWK Volleys Herrsching;Helios GRIZZLYS Giesen;WWK Volleys Herrsching;0:3 / 60:75;BMW Park (81373 München);0:3 / 60:75;2022/23;1. Bundesliga Männer;männlich;00:03;60:75;76;1800;0;:;3;20;:;25;24;21;:;25;28;19;:;25;24;;;;;;;;
